"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"country_uk";"Great Britain";"Royaume-Uni";"Gran Bretagna";"Großbritannien";"Gran Bretaña";"Британия";"Велика Британія";"Wielka Brytania";"Grã-Bretanha";"Büyük Britanya";"Velká Británie";"Great Britain";"Britania Raya";"Great Britain";"영국";"英\t国";"イギリス";"英\t國";;
"country_china";"China";"Chine";"Cina";"China";"China";"Китай";"Китай";"Chiny";"China";"Çin";"Čína";"China";"Tiongkok";"China";"중국";"中\t国";"中国";"中\t國";;
"country_germany";"Germany";"Allemagne";"Germania";"Deutschland";"Alemania";"Германия";"Німеччина";"Niemcy";"Alemanha";"Almanya";"Německo";"Germany";"Jerman";"Germany";"독일";"德\t国";"ドイツ";"德\t國";;
"country_japan";"Japan";"Japon";"Giappone";"Japan";"Japón";"Япония";"Японія";"Japonia";"Japão";"Japonya";"Japonsko";"Japan";"Jepang";"Japan";"일본";"日\t本";"日本";"日\t本";;
"country_usa";"USA";"États-Unis";"USA";"USA";"EEUU";"США";"США";"USA";"EUA";"ABD";"USA";"USA";"AS";"USA";"미국";"美\t国";"アメリカ";"美\t國";;
"country_ussr";"USSR";"URSS";"URSS";"UdSSR";"URSS";"СССР";"СРСР";"ZSRR";"URSS";"SSCB";"SSSR";"USSR";"Uni Soviet";"USSR";"소련";"苏\t联";"ソビエト\t連邦";"蘇\t聯";;
"country_france";"France";"France";"Francia";"Frankreich";"Francia";"Франция";"Франція";"Francja";"França";"Fransa";"Francie";"France";"Prancis";"France";"프랑스";"法\t国";"フランス";"法\t國";;
"country_italy";"Italy";"Italie";"Italia";"Italien";"Italia";"Италия";"Італія";"Włochy";"Itália";"İtalya";"Itálie";"Italy";"Italia";"Italy";"이탈리아";"意\t大\t利";"イタリア";"義\t大\t利";;
"country_sweden";"Sweden";"Suède";"Svezia";"Schweden";"Suecia";"Швеция";"Швеція";"Szwecja";"Suécia";"İsveç";"Švédsko";"Sweden";"Swedia";"Sweden";"스웨덴";"瑞\t典";"スウェーデン";"瑞\t典";;
"country_israel";"Israel";"Israël";"Israele";"Israel";"Israel";"Израиль";"Ізраїль";"Izrael";"Israel";"İsrail";"Izrael";"Israel";"Israel";"Israel";"이스라엘";"以\t色\t列";"イスラエル";"以\t色\t列";;
"country_argentina";"Argentina";"Argentine";"Argentina";"Argentinien";"Argentina";"Аргентина";"Аргентина";"Argentyna";"Argentina";"Arjantin";"Argentina";"Argentina";"Argentina";"Argentina";"아르헨티나";"阿\t根\t廷";"アルゼンチン";"阿\t根\t廷";;
"country_italy_kingdom";"Kingdom of Italy";"Royaume d'Italie";"Regno d'Italia";"Königreich Italien";"Reino de Italia";"Королевство Италия";"Королівство Італія";"Królestwo Włoch";"Reino da Itália";"İtalya Kralllığı";"Království Itálie";"Kingdom of Italy";"Kerajaan Italia";"Kingdom of Italy";"이탈리아 왕국";"意\t大\t利\t王\t国";"イタリア\t王国";"義\t大\t利\t王\t國";;
"country_republic_china";"China";"Chine";"Cina";"China";"China";"Китай";"Китай";"Chiny";"China";"Çin";"Čína";"China";"Tiongkok";"China";"중국";"中\t国";"中国";"中\t國";;
"country_canada";"Canada";"Canada";"Canada";"Kanada";"Canadá";"Канада";"Канада";"Kanada";"Canadá";"Kanada";"Kanada";"Canada";"Kanada";"Canada";"캐나다";"加\t拿\t大";"カナダ";"加\t拿\t大";;
"country_canada_modern";"Canada";"Canada";"Canada";"Kanada";"Canadá";"Канада";"Канада";"Kanada";"Canadá";"Kanada";"Kanada";"Canada";"Kanada";"Canada";"캐나다";"加\t拿\t大";"カナダ";"加\t拿\t大";;
"country_czech";"Czech Republic";"République tchèque";"Repubblica Ceca";"Tschechische Republik";"República Checa";"Чехия";"Чехія";"Republika Czeska";"República Checa";"Çek Cumhuriyeti";"Česká republika";"Czech Republic";"Republik Ceko";"Czech Republic";"체코";"捷\t克\t共\t和\t国";"チェコ\t共和国";"捷\t克\t共\t和\t國";;
"country_germany_modern";"Germany";"Allemagne";"Germania";"Deutschland";"Alemania";"Германия";"Німеччина";"Niemcy";"Alemanha";"Almanya";"Německo";"Germany";"Jerman";"Germany";"독일";"德\t国";"ドイツ";"德\t國";;
"country_turkey";"Turkey";"Turquie";"Turchia";"Türkei";"Turquía";"Турция";"Туреччина";"Turcja";"Turquia";"Türkiye";"Turecko";"Turkey";"Turki";"Turkey";"튀르키예";"土\t耳\t其";"トルコ";"土\t耳\t其";;
"country_pakistan";"Pakistan";"Pakistan";"Pakistan";"Pakistan";"Pakistán";"Пакистан";"Пакистан";"Pakistan";"Paquistão";"Pakistan";"Pákistán";"Pakistan";"Pakistan";"Pakistan";"파키스탄";"巴\t基\t斯\t坦";"パキスタン";"巴\t基\t斯\t坦";;
"country_russia";"Russia";"Russie";"Russia";"Russland";"Rusia";"Россия";"Росія";"Rosja";"Rússia";"Rusya";"Rusko";"Russia";"Rusia";"Russia";"러시아";"俄\t罗\t斯";"ロシア";"俄\t羅\t斯";;
"country_finland";"Finland";"Finlande";"Finlandia";"Finnland";"Finlandia";"Финляндия";"Фінляндія";"Finlandia";"Finlândia";"Finlandiya";"Finsko";"Finland";"Finlandia";"Finland";"핀란드";"芬\t兰";"フィンランド";"芬\t蘭";;
"country_norway";"Norway";"Norvège";"Norvegia";"Norwegen";"Noruega";"Норвегия";"Норвегія";"Norwegia";"Noruega";"Norveç";"Norsko";"Norway";"Norwegia";"Norway";"노르웨이";"挪\t威";"ノルウェー";"挪\t威";;
"country_slovakia";"Slovakia";"Slovaquie";"Slovacchia";"Slowakei";"Eslovaquia";"Словакия";"Словаччина";"Słowacja";"Eslováquia";"Slovakya";"Slovensko";"Slovakia";"Slowakia";"Slovakia";"슬로바키아";"斯\t洛\t伐\t克";"スロバキア";"斯\t洛\t伐\t克";;
"country_poland";"Poland";"Pologne";"Polonia";"Polen";"Polonia";"Польша";"Польща";"Polska";"Polónia";"Polonya";"Polsko";"Poland";"Polandia";"Poland";"폴란드";"波\t兰";"ポーランド";"波\t蘭";;
"country_south_africa";"South Africa";"Afrique du Sud";"Sudafrica";"Südafrika";"Sudáfrica";"Южная Африка";"Південна Африка";"Południowa Afryka";"África do Sul";"Güney Afrika";"Jižní Afrika";"South Africa";"Afrika Selatan";"South Africa";"남아프리카 공화국";"南\t非";"南\tアフリカ";"南\t非";;
"country_south_africa_modern";"South Africa";"Afrique du Sud";"Sudafrica";"Südafrika";"Sudáfrica";"ЮАР";"Південна Африка";"Republika Południowej Afryki";"África do Sul";"Güney Afrika";"Jižní Afrika";"South Africa";"Afrika Selatan";"South Africa";"남아프리카 공화국";"南\t非";"南\tアフリカ";"南\t非";;
"country_hungary";"Hungary";"Hongrie";"Ungheria";"Ungarn";"Hungría";"Венгрия";"Угорщина";"Węgry";"Hungria";"Macaristan";"Maďarsko";"Hungary";"Hungaria";"Hungary";"헝가리";"匈\t牙\t利";"ハンガリー";"匈\t牙\t利";;
"country_hungary_modern";"Hungary";"Hongrie";"Ungheria";"Ungarn";"Hungría";"Венгрия";"Угорщина";"Węgry";"Hungria";"Macaristan";"Maďarsko";"Hungary";"Hungaria";"Hungary";"헝가리";"匈\t牙\t利";"ハンガリー";"匈\t牙\t利";;
"country_australia";"Australia";"Australie";"Australia";"Australien";"Australia";"Австралия";"Австралія";"Australia";"Austrália";"Avustralya";"Austrálie";"Australia";"Australia";"Australia";"호주";"澳\t大\t利\t亚";"オーストラリア";"澳\t大\t利\t亞";;
"country_syria";"Syria";"Syrie";"Siria";"Syrien";"Siria";"Сирия";"Сирія";"Syria";"Síria";"Suriye";"Sýrie";"Syria";"Suriah";"Syria";"시리아";"叙\t利\t亚";"シリア";"敘\t利\t亞";;
"country_jordan";"Jordan";"Jordanie";"Giordania";"Jordanien";"Jordania";"Иордания";"Йорданія";"Jordania";"Jordânia";"Ürdün";"Jordán";"Jordan";"Yordania";"Jordan";"요르단";"约\t旦";"ヨルダン";"約\t旦";;
"country_kuwait";"Kuwait";"Koweït";"Kuwait";"Kuwait";"Kuwait";"Кувейт";"Кувейт";"Kuwejt";"Kuwait";"Kuveyt";"Kuvajt";"Kuwait";"Kuwait";"Kuwait";"쿠웨이트";"科\t威\t特";"クウェート";"科\t威\t特";;
"country_india";"India";"Inde";"India";"Indien";"India";"Индия";"Індія";"Indie";"Índia";"Hindistan";"Indie";"India";"India";"India";"인도";"印\t度";"インド";"印\t度";;
"country_bangladesh";"Bangladesh";"Bangladesh";"Bangladesh";"Bangladesch";"Bangladés";"Бангладеш";"Бангладеш";"Bangladesz";"Bangladesh";"Bangladeş";"Bangladéš";"Bangladesh";"Bangladesh";"Bangladesh";"방글라데시";"孟\t加\t拉\t国";"バングラデシュ";"孟\t加\t拉";;
"country_south_korea";"Republic of Korea";"République de Corée";"Repubblica di Corea";"Republik Korea";"República de Corea";"Республика Корея";"Південна Корея";"Republika Korei";"República da Coreia";"Kore Cumhuriyeti";"Korejská republika";"Republic of Korea";"Korea Selatan";"Republic of Korea";"대한민국";"韩\t国";"韓国";"韓\t國";;
"country_netherlands";"Netherlands";"Pays-Bas";"Paesi Bassi";"Niederlande";"Países Bajos";"Нидерланды";"Нідерланди";"Holandia";"Holanda";"Hollanda";"Nizozemsko";"Netherlands";"Belanda";"Netherlands";"네덜란드";"荷\t兰";"オランダ";"荷\t蘭";;
"country_frg";"Germany";"Allemagne";"Germania";"Deutschland";"Alemania";"Германия";"Німеччина";"Niemcy";"Alemanha";"Almanya";"Německo";"Germany";"Jerman";"Germany";"독일";"德\t国";"ドイツ";"德\t國";;
"country_spain_kingdom";"Spain";"Espagne";"Spagna";"Spanien";"España";"Испания";"Іспанія";"Hiszpania";"Espanha";"İspanya";"Španělsko";"Spain";"Spanyol";"Spain";"스페인";"西\t班\t牙";"スペイン";"西\t班\t牙";;
"country_thailand";"Thailand";"Thaïlande";"Tailandia";"Thailand";"Tailandia";"Таиланд";"Таїланд";"Tajlandia";"Tailândia";"Tayland";"Thajsko";"Thailand";"Thailand";"Thailand";"태국";"泰\t国";"タイ";"泰\t國";;
"country_romania";"Romania";"Roumanie";"Romania";"Rumänien";"Rumania";"Румыния";"Румунія";"Rumunia";"Roménia";"Romanya";"Rumunsko";"Romania";"Rumania";"Romania";"루마니아";"罗\t马\t尼\t亚";"ルーマニア";"羅\t馬\t尼\t亞";;
