"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"key/RMB";"RMB";"BDS";"PDM";"RMT";"BDR";"ПКМ";"ПКМ";"PPM";"RMB";"Sağ Fare Tuşu";"우클릭";"鼠\t标\t右\t键";"マウス\t右\tクリック";"滑\t鼠\t右\t鍵";;
"key/LMB";"LMB";"BGS";"PSM";"LMT";"BIR";"ЛКМ";"ЛКМ";"LPM";"LMB

";"Sol Fare Tuşu";"좌클릭";"鼠\t标\t左\t键";"マウス\t左\tクリック";"滑\t鼠\t左\t鍵";;
"key/MMB";"MMB";"BMS";"PCM";"MMT";"BCR";"СКМ";"СКМ";"ŚPM";"MMB";"Orta Fare Tuşu";"휠 버튼";"鼠\t标\t中\t键";"マウスホイールボタン";"滑\t鼠\t中\t鍵";;
"key/M4B";"MB4";"M.Bouton 4";"Pulsante mouse 4";"MT4";"BR4";"4КМ";"4КМ";"4PM";"MB4";"Fare Tuşu 4";"마우스 버튼 4";"鼠\t标 4 键";"マウスボタン 1";"滑\t鼠 4 鍵";;
"key/M5B";"MB5";"M.Bouton 5";"Pulsante mouse 5";"MT5";"BR5";"5КМ";"5КМ";"5PM";"MB5";"Fare Tuşu 5";"마우스 버튼 5";"鼠\t标 5 键";"マウスボタン 2";"滑\t鼠 5 鍵";;
"key/MWUp";"M.Wheel Up";"Roulette souris haut";"Rot. Mouse Su";"M.Rad hoch";"Rueda Ratón Arriba";"Колесо вверх";"Колесико вгору";"Kółko myszy w górę";"Roda do rato para cima";"F. Tekerleği Yukarı";"휠 위로";"鼠\t标\t滚\t轮\t上\t滚";"マウススクロールアップ";"滑\t鼠\t滾\t輪\t上\t滾";;
"key/MWDown";"M.Wheel Down";"Roulette souris bas";"Rot. Mouse Giù";"M.Rad runter";"Rueda Ratón Abajo";"Колесо вниз";"Колесико вниз";"Kółko myszy w dół";"Roda do rato para baixo";"F. Tekerleği Aşağı";"휠 아래로";"鼠\t标\t滚\t轮\t下\t滚";"マウススクロールダウン";"滑\t鼠\t滾\t輪\t下\t滾";;
"key/Esc";"Esc";"échap";"ESC";"Esc";"Esc";"Esc";"Esc";"Esc";"Esc";"Esc";"Esc";"Esc";"Esc";"Esc";;
"key/Backspace";"Backspace";"Retour";"BACKSPACE";"Rücktaste";"Retroceso";"Backspace";"Backspace";"Backspace";"Backspace";"Backspace";"백스페이스";"退\t格";"Backspace";"Backspace";;
"key/Backspace/short";"Bksp";"Retour arrière";"BKSP";"Rück";"Re";"Bksp";"Bksp";"Bksp";"Bksp";"Bksp";"BSpace";"退\t格";"Bksp";"Bksp";;
