"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"warpoints/short";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";;
"warpoints/short/colored";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";;
"gold/short";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";;
"gold/short/colored";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";;
"experience/short";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";;
"currency/researchPoints/sign";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";;
"currency/researchPoints/sign/colored";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";;
"currency/freeResearchPoints/sign";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";;
"currency/freeResearchPoints/sign/colored";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";;
"currency/skillPoints/sign";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";;
