"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"controls/on";"On";"Activé";"On";"An";"Activado";"Вкл.";"Увімк.";"Włączone";"Ligado";"Açık";"Zap";"On";"Aktif";"เปิด";"켬";"开";"オン";"開";;
"controls/off";"Off";"Désactivé";"Off";"Aus";"Desactivado";"Выкл.";"Вимк.";"Wyłączone";"Desligado";"Kapalı";"Vyp";"Off";"Nonaktif";"ปิด";"비활성화";"关";"オフ";"關";;
"controls/gunner/gun_jammed";"Gun jammed";"Arme enrayée";"Arma inceppata";"Waffe klemmt";"Arma atascada";"Оружие заклинило";"Гармату заклинило";"Broń się zacięła";"Arma encravada";"Silah tutukluluk yaptı";"Zbraň se zasekla";"Εμπλοκή όπλου";"Senapan macet";"ปืนขัดลำกล้อง";"기총 걸림";"武\t器\t卡\t壳";"弾詰まり";"砲\t管\t堵\t塞";;
"options/skip";"Skip";"Passer";"Salta";"Überspringen";"Omitir";"Пропустить";"Пропустити";"Pomiń";"Passar";"Atla";"Přeskočit";"Παράλειψη";"Lewati";"ข้าม";"건너뛰기";"跳\t过";"スキップ";"略\t過";;
"controls/airbrakeOn";"Airbrake: Extended";"Aérofrein : Étendu";"Aerofreno: esteso";"Bremsklappen: Ausgefahren";"Frenos de aire: Extendidos";"Воздушный тормоз: вкл.";"Повітряні гальма: увімк.";"Hamulec aerodynamiczny: Wysunięty";"Freio aerodinâmico: Aberto";"Hava Freni: Kullanılıyor";"Vysouvání aerodynamické brzdy";"Αερόφρενο: Εκτεταμένο";"Rem Udara: Aktif";"เบรกลม: เปิด";"에어브레이크 펼침";"减\t速\t板：\t打\t开";"エアブレーキ:展開";"減\t速\t板：\t打\t開";;
"controls/airbrakeOff";"Airbrake: Retracted";"Aérofrein : Rétracté";"Aerofreno: ritratto";"Bremsklappen: Eingefahren";"Frenos de aire: Retraídos";"Воздушный тормоз: выкл.";"Повітряні гальма: вимк.";"Hamulec aerodynamiczny: Schowany";"Freio aerodinâmico: Fechado";"Hava Freni: Kapatıldı";"Zasouvání aerodynamické brzdy";"Αερόφρενο: Ανεβασμένο";"Rem Udara: Nonaktif";"เบรกลม: ปิด";"에어브레이크 접음";"减\t速\t板：\t收\t起";"エアブレーキ:格納";"減\t速\t板：\t收\t起";;
"controls/noAirbrake";"No Airbrake";"Pas d'aérofrein";"Nessun aerofreno";"Keine Bremsklappen vorhanden";"Sin Frenos de Aire";"Нет воздушного тормоза";"Немає повітряного гальма";"Brak hamulca aerodynamicznego";"Sem Freio aerodinâmico";"Hava freni yok";"Bez aerodynamické brzdy";"Χωρίς αερόφρενο";"Tanpa Rem Udara";"ไม่มีเบรกลม";"에어브레이크 없음";"无\t减\t速\t板";"この\t機体には\tエアブレーキがありません";"沒\t有\t減\t速\t板";;
"controls/mechBlocksAirbrake";"Airbrake blocked by other mechanization";"Aérofrein bloqué par d'autres mécanismes";"Aerofreno bloccato da altri meccanismi";"Luftbremsen durch andere Mechanismen blockiert";"Frenos de aire bloqueados por otro mecanismo";"Воздушный тормоз заблокирован другой механизацией";"Повітряне гальмо заблоковано іншим механізмом";"Hamulec aerodynamiczny zablokowany przez inną mechanizację";"Freio aerodinâmico bloqueado por outra mecanização";"Hava freni başka bir mekanizasyon tarafından engelleniyor";"Aerodynamická brzda blokována jiným mechanismem";"Το αερόφρενο είναι μπλοκαρισμένο από άλλη μηχανοποίηση";"Rem udara terhalang oleh mekanisasi lain";"เบรกลมถูกขวางโดยกลไกอื่น";"에어브레이크가 다른 장치에 의해 막혀 있습니다.";"其\t他\t装\t置\t影\t响\t了\t减\t速\t板\t收\t放";"エアブレーキは\t他の\t機器によって\t制限されています";"減\t速\t板\t被\t其\t他\t機\t關\t阻\t擋";;
"HUD_CRIT_AIRBRAKE";"Retract Airbrake";"Rétracter Aérofreins";"Ritrai Aerofreni";"Bremsklappen Einfahren";"Retraer Freno de Aire";"Уберите воздушный тормоз";"Приберіть повітряні гальма";"Schowaj hamulec aerodynamiczny";"Freio Aerodinâmico Retrátil";"Hava frenini kapat";"Zasuň aerodynamickou brzdu";"Κλείστε το αερόφρενο";"Tarik Rem Udara";"เก็บเบรกลม";"에어브레이크를 접으십시오!";"收\t起\t减\t速\t板";"エアブレーキを\t格納する";"收\t起\t減\t速\t板";;
"controls/action/airbrakeOn";"Activate air brake";"Activer l'aérofrein";"Attiva l'aerofreno";"Luftbremse aktivieren";"Activar el freno de aire";"Включить воздушный тормоз";"Активувати пневматичне гальмо";"Wysuń hamulec aerodynamiczny";"Ativar freio aerodinâmico";"Hava frenini etkinleştir";"Aktivace aerodynamické brzdy";"Ενεργοποίηση αερόφρενου";"Aktifkan rem udara";"ใช้งานเบรกลม";"에어브레이크 전개";"开\t启\t减\t速\t板";"エアブレーキを\t有効にする";"開\t啟\t空\t中\t煞\t車";;
"controls/action/airbrakeOff";"Deactivate air brake";"Désactiver l'aérofrein";"Disattiva l'aerofreno";"Luftbremse deaktivieren";"Desactivar el freno de aire";"Выключить воздушный тормоз";"Вимкнути пневматичне гальмо";"Schowaj hamulec aerodynamiczny";"Desativar freio aerodinâmico";"Hava frenini devre dışı bırak";"Deaktivace aerodynamické brzdy";"Απενεργοποίηση αερόφρενου";"Nonaktifkan rem udara";"เลิกใช้งานเบรกลม";"에어브레이크 접기";"收\t起\t减\t速\t板";"エアブレーキを\t無効にする";"關\t閉\t空\t中\t煞\t車";;
"hotkeys/ID_NEXT_BULLET_TYPE";"Next shell type";"Type d'obus suivant";"Prossimo tipo di proiettile";"Nächste Munitionsart";"Siguiente tipo de proyectil";"Следующий тип снаряда";"Наступний тип снарядів";"Następny typ pocisku";"Tipo seguinte de munição";"Sonraki mermi tipi";"Další typ munice";"Επόμενος τύπος βλήματος";"Jenis selongsong berikutnya";"ลูกปืนชนิดถัดไป";"다음 탄종";"下\t一\t弹\t种";"次の\t弾薬の\t種類";"下\t一\t個\t砲\t彈\t類\t型";;
"hotkeys/ID_FIRE_COURSE_GUNS";"Course guns";"Tir canon et mitrailleuses";"Armi veloci";"Waffen-Kurs";"Cañones de rumbo";"Курсовое вооружение";"Курсові гармати";"Ogień łączony";"Course guns";"Silahları yönlendir";"Střelba vším";"Όπλα πορείας";"Senapan course";"ปืนติดลำเครื่องบิน";"기총 발사 (전체)";"齐\t射";"コース\t銃";"訓\t練\t用\t槍\t砲";;
"hotkeys/submarine_main_engine_rangeMin";"Back main engine";"Machine arrière moteur principal";"Motore principale indietro";"Hauptmaschine zurück";"Motor principal atrás";"Назад";"Задній основний двигун";"Silnik główny wstecz";"Motor principal para trás";"Ana motor geri";"Hlavní motor zpět";"Πίσω κύριος κινητήρας";"Mesin utama belakang";"เครื่องยนต์หลักด้านหลัง";"주 기관 감속";"中\t车\t后\t退";"主\tエンジン\t減速";"後\t置\t主\t要\t引\t擎";;
"hotkeys/submarine_main_engine_rangeMax";"Ahead main engine";"Machine avant moteur principal";"Motore principale avanti";"Hauptmaschine voraus";"Motor principal adelante";"Вперёд";"Передній основний двигун";"Silnik główny naprzód";"Motor principal avançar";"Ana motor ileri";"Hlavní motor vpřed";"Μπροστινός κύριος κινητήρας";"Mesin utama depan";"เครื่องยนต์หลักด้านหน้า";"주 기관 가속";"中\t车\t前\t进";"主\tエンジン\t加速";"前\t置\t主\t要\t引\t擎";;
"controls/submarine_depth";"Depth control";"Contrôle de profondeur";"Controllo profondità";"Tiefenkontrolle";"Control de profundidad";"Глубина погружения";"Глибина занурення";"Kontrola zanurzenia";"Controlo de profundidade";"Derinlik kontrolü";"Ovládání ponoření";"Έλεγχος βάθους";"Kontrol kedalaman";"ควบคุมความลึก";"심도 조절";"深\t度\t控\t制";"深度制御";"深\t度\t控\t制";;
"controls/submarine_on_water";"On the surface";"Passer à la surface";"In superficie";"Aufgetaucht";"En la superficie";"На поверхности";"На поверхні";"Na powierzchni";"Na superfície";"Yüzeyde";"Na povrchu";"Πάνω στην επιφάνεια";"Di permukaan";"บนผิวน้ำ";"해상";"上\t浮";"海上";"地\t面";;
"controls/lack_of_oxygen";"Lack of oxygen";"Manque d'oxygène";"Mancanza di ossigeno";"Sauerstoffmangel";"Falta de oxígeno";"Нехватка кислорода";"Нестача кисню";"Brak tlenu";"Oxigénio insuficiente";"Oksijen eksikliği";"Nedostatek kyslíku";"Έλλειψη οξυγόνου";"Kekurangan oksigen";"ขาดออกซิเจน";"산소 부족";"缺\t氧";"酸素不足";"缺\t氧";;
"controls/submarine_depth_periscope";"At the depth of the periscope";"Passer à hauteur de périscope";"Alla profondità del periscopio";"Seerohrtiefe";"En la profundidad del periscopio";"На глубине перископа";"На глибині перископа";"Na głębokości peryskopowej";"À profundidade do periscópio";"Periskop derinliğinde";"Na hloubku periskopu";"Σε βάθος περισκοπίου";"Di kedalaman periskop";"ณ ความลึกที่ยกกล้องตาเรือได้";"잠망경 심도";"潜\t望\t镜\t深\t度";"潜望鏡深度にて";"潛\t望\t鏡\t深\t度";;
