"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"dm_viewer/mode/none";"Off";"Off";"Off";"Aus";"Desactivado";"Выкл.";"Вимк.";"Wył.";"Desativado";"Kapalı";"Vyp";"Off";"Nonaktif";"ปิด";"끔";"关\t闭";"オフ";"關";"Better as short as possible";
"dm_viewer/mode/armor";"Armor";"Blindage";"Corazza";"Panzerung";"Armadura";"Броня";"Броня";"Pancerz";"Blindagem";"Zırh";"Pancíř";"Θωράκιση";"Armor";"เกราะ";"장갑";"装\t甲";"装甲";"裝\t甲";"Better as short as possible";
"dm_viewer/mode/xray";"X-Ray";"Rayons-X";"Raggi X";"Röntgen";"Rayos X";"Рентген";"Рентген";"Wnętrze";"Raio-X";"X-Ray";"Rentgen";"Ακτίνες Χ";"Sinar-X";"เอ็กซ์เรย์";"내부";"内\t构";"X\t線";"内\t構";"Better as short as possible";
"mainmenu/btnProtectionAnalysis";"Protection Analysis";"Analyse de la protection";"Analisi della Protezione";"Schutzanalyse";"Análisis de Protección";"Анализ защищённости";"Аналіз захисту";"Analizy Osłony";"Análise de Proteção";"Koruma Analizi";"Analýza ochrany";"Protection Analysis";"Analisis Perlindungan";"Protection Analysis";"방어력 분석";"防\t护\t分\t析";"防護分析";"防\t護\t分\t析";;
"mainmenu/btnSimulation";"Simulation";"Simulation";"Simulazione";"Simulation";"Simulación";"Симуляция";"Моделювання";"Symulacja";"Simulação";"Simülasyon başlat";"Simulace";"Simulation";"Simulasi";"Simulation";"시험 사격";"模\t拟\t射\t击";"シミュレーション";"模\t擬\t射\t擊";"Label for a button which starts the shot simulation";
"protection_analysis/attacker";"Attacking vehicle and ammo";"Véhicule d'attaque et munitions";"Munizione e veicolo dell'attaccante";"Fahrzeug und Munition angreifen";"Vehículo atacante y munición";"Атакующая техника и снаряд";"Атакуюча техніка та боєприпаси";"Maszyna napastnika i amunicja";"Veículo e munições de ataque";"Mühimmata ve cephaneliğe saldırma";"Útočící stroj a munice";"Attacking vehicle and ammo";"Kendaraan penyerang dan amunisi";"Attacking vehicle and ammo";"공격 장비와 탄종";"攻\t击\t方\t载\t具\t与\t弹\t药";"攻撃車両および\t弾薬";"攻\t擊\t方\t載\t具\t與\t彈\t藥";;
"protection_analysis/result/not_penetrated";"Penetration not possible";"Pénétration impossible";"Penetrazione non possibile";"Kein Durchschlag möglich";"Penetración imposible";"Пробитие невозможно";"Проникнення неможливе";"Penetracja niemożliwa";"Sem penetração";"Delme mümkün değil";"nelze prorazit";"Penetration not possible";"Penetrasi tidak mungkin";"Penetration not possible";"관통 불가능";"无\t法\t击\t穿";"貫通不可";"無\t法\t擊\t穿";;
"protection_analysis/result/ineffective";"No damage of critical vehicle parts";"Pas de dégâts critiques du véhicule";"Nessun danno critico causato";"Kein Schaden an kritischen Fahrzeugkomponenten";"Sin daños a partes esenciales del vehículo";"Нет поражения критичных узлов машины";"При пошкодженні, не вважається критично важливою деталлю";"Brak uszkodzeń krytycznych elementów";"Sem danos críticos aos componentes do veículo";"Kritik araç parçalarında hasar yok";"bez kritického poškození vozidla";"No damage of critical vehicle parts";"Tidak ada damage terhadap bagian kendaraan kritis";"No damage of critical vehicle parts";"주요 부품 손상 없음";"未\t造\t成\t致\t命\t伤\t害";"兵器の\t重要部品に\t損傷なし";"未\t造\t成\t致\t命\t傷\t害";;
"protection_analysis/result/possible_effective";"Penetration possibility is low";"Probabilité de pénétration faible";"Bassa possibilità di penetrazione";"Geringe Durchschlagswahrscheinlichkeit";"Baja posibilidad de penetración";"Пробитие маловероятно";"Можливість проникнення низька";"Niskie prawdopodobieństwo penetracji";"Baixa possibilidade de penetração";"Delme olasılığı düşük";"nízká šance na průraz";"Penetration possibility is low";"Kemungkinan penetrasi rendah";"Penetration possibility is low";"관통 가능성 낮음";"击\t穿\t几\t率\t较\t低";"貫通可能性：\t低";"擊\t穿\t機\t率\t較\t低";;
"protection_analysis/result/effective";"Penetration is possible";"Pénétration possible";"Penetrazione possibile";"Durchschlag möglich";"Penetración posible";"Пробитие возможно";"Проникнення можливе";"Możliwa penetracja";"Penetração possível";"Delme mümkün";"šance na průraz";"Penetration is possible";"Penetrasi memungkinkan";"Penetration is possible";"관통 가능";"能\t够\t击\t穿";"貫通可能性：\t高";"可\t以\t擊\t穿";;
"protection_analysis/hint/headingAngle";"Heading angle";"Angle d'attaque";"Angolazione della mira";"Richtungswinkel";"Ángulo de impacto";"Курсовой угол";"Курсовий кут";"Kurs";"Ângulo de impacto";"Geliş açısı";"Směr pohybu";"Heading angle";"Sudut arah";"Heading angle";"입사각";"攻\t击\t方\t位\t角";"ヨー\t角";"航\t向\t角";;
"protection_analysis/hint/armor";"Equivalent protection against the specified ammo";"Protection équivalente contre la munition spécifiée";"Protezione equivalente contro la munizione specificata";"Panzerungsäquivalent gegen den gewählten Granatentyp";"Protección equivalente contra la munición especificada";"Эквивалент защиты от указанного боеприпаса";"Еквівалентний захист від зазначених боєприпасів";"Ekwiwalent osłony dla wybranej amunicji";"Proteção equivalente contra a munição especificada";"Seçilen mühimmata karşı eşdeğer koruma";"ekvivalentní ochrana proti vybrané munici";"Equivalent protection against the specified ammo";"Perlindungan yang setara terhadap amunisi tertentu";"Equivalent protection against the specified ammo";"해당 탄약에 대한 방어력";"对\t指\t定\t弹\t种\t的\t等\t效\t装\t甲\t厚\t度";"特定の\t弾薬に\t対抗し\t得る\t防御力";"對\t指\t定\t彈\t種\t的\t等\t效\t裝\t甲\t厚\t度";;
"protection_analysis/hint/ricochetProb";"Probability of ricochet";"Probabilité de ricochet";"Probabilità di rimbalzo";"Wahrscheinlichkeit für einen Abpraller";"Probabilidad de rebote";"Вероятность рикошета";"Імовірність рикошета";"Prawdopodobieństwo rykoszetu";"Probabilidade de ricochete";"Sekme olasılığı";"pravděpodobnost odrazu";"Probability of ricochet";"Kemungkinan memantul";"Probability of ricochet";"도탄 가능성";"跳\t弹\t几\t率";"跳弾確率";"跳\t彈\t機\t率";;
"protection_analysis/hint/parts/list";"Possible damage";"Dégâts possibles";"Danno possibile";"Möglicher Schaden";"Daño posible";"Вероятные повреждения";"Можливі пошкодження";"Możliwe uszkodzenia";"Danos possíveis";"Olası hasar";"možné poškození";"Possible damage";"Kemungkinan damage";"Possible damage";"피해를 줄 수 있는 부분";"预\t期\t伤\t害";"損傷する\t可能性";"預\t計\t傷\t害";;
"armor_class/no_armoring/common";"There is no armor protection on this vehicle.";"Il n'y a pas de blindage sur ce véhicule.";"Non c'è nessuna corazzatura su questa unità.";"Dieses Fahrzeug verfügt über keine Panzerung.";"No hay protección de blindaje en este vehículo.";"На данной технике отсутствует бронирование.";"На цій техніці відсутнє бронювання.";"Ta maszyna nie posiada pancerza ochronnego.";"Não há proteção de blindagem neste veículo.";"Bu araçta zırh koruması yoktur.";"Tento stroj nemá žádné pancéřování";"Το όχημα αυτό δεν διαθέτει προστασία θωράκισης.";"Tidak ada perlindungan armor di kendaraan ini.";"ไม่มีการหุ้มเกราะป้องกันบนพาหนะนี้";"이 장비에는 장갑이 없습니다.";"该\t载\t具\t没\t有\t任\t何\t装\t甲\t防\t护。";"この\t兵器には\t装甲がありません。";"載\t具\t不\t具\t備\t任\t何\t裝\t甲\t防\t護。";;
"armor_class/thickness";"Thickness";"Épaisseur";"Spessore";"Panzerungsstärke";"Grosor";"Толщина";"Товщина";"Grubość";"Espessura";"Kalınlık";"Tloušťka";"Thickness";"Ketebalan";"ความหนา";"방호력";"厚\t度";"厚さ";"厚\t度";;
"armor_class/effective_thickness";"Effective thickness";"Épaisseur effective";"Spessore effettivo";"Effektive Panzerungsstärke";"Grosor efectivo";"Приведённая толщина";"Ефективна товщина";"Grubość efektywna";"Espessura efetiva";"Etkili kalınlık";"Efektivní tloušťka";"Effective thickness";"Ketebalan efektif";"ความหนาที่มีประสิทธิภาพ";"유효 방호력";"等\t效\t厚\t度";"実質的な\t厚さ";"等\t效\t厚\t度";;
"armor_class/impact_angle";"Impact angle";"Angle d'impact";"Angolo d'impatto";"Einschlagswinkel";"Ángulo de impacto";"Угол встречи";"Кут зіткнення";"Kąt uderzenia";"Ângulo de impacto";"Etki açısı";"Úhel dopadu";"Impact angle";"Sudut benturan";"มุมกระทบ";"착탄각";"入\t射\t角";"弾着角";"入\t射\t角";;
"armor_class/normal_angle";"Constructional armor slope angle";"Angle d'inclinaison du blindage";"Angolo inclinazione corazza";"Konstruktionsbedingter Neigungswinkel der Panzerung";"Ángulo de inclinación del blindaje estructural";"Конструктивный угол наклона брони";"Конструктивний кут нахилу броні";"Konstrukcyjny kąt nachylenia pancerza";"Ângulo de inclinação da armadura de construção";"Yapısal zırh eğim açısı";"Konstrukční úhel sklonu pancíře";"Γωνία κλίσης θωράκισης του κατασκευαστή";"Sudut kemiringan armor konstruksi";"มุมลาดเอียงโครงเกราะ";"장갑 경사각";"垂\t直\t倾\t角：";"装甲の\t傾斜角度";"垂\t直\t傾\t角";;
"armor_class/variable_thickness_armor";"Variable thickness armor";"Armure à épaisseur variable";"Corazza a spessore variabile";"Variable Panzerungsdicke";"Blindaje de espesor variable";"Броня переменной толщины";"Броня змінної товщини";"Zmienna grubość pancerza";"Blindagem de espessura variável";"Değişken kalınlıkta zırh";"Různá šířka pancíře";"Θωράκιση μεταβλητού πάχους";"Armor ketebalan variabel";"เกราะหนาไม่สม่ำเสมอ";"가변 두께 장갑";"可\t变\t厚\t度\t装\t甲";"装甲の\t厚さの\t変数";"可\t變\t厚\t度\t實\t體\t裝\t甲";;
"armor_class/armor_dimensions_at_point";"Armor dimensions at point";"Épaisseur du blindage à cet angle";"Spessore corazza nel punto";"Panzerungsmaße an der Stelle";"Dimensiones de blindaje en el punto";"Габарит бронирования в указанной точке";"Розмір бронювання в зазначеній точці";"Wymiary pancerza w punkcie";"Dimensões da blindagem no ponto";"Noktadaki zırh ölçüleri";"Rozměry pancíře v bodě";"Διαστάσεις θωράκισης στο σημείο";"Dimensi armor pada titik";"ขนาดเกราะ ณ ตำแหน่ง";"해당 각도에서의 장갑 두께";"该\t处\t装\t甲\t参\t数";"側面毎の\t装甲面積";"該\t處\t裝\t甲\t參\t數";;
"armor_class/driver";"Driver";"Pilote";"Pilota";"Fahrer";"Conductor";"Водитель";"Водій";"Kierowca";"Piloto";"Sürücü";"Řidič";"Driver";"Pengemudi";"คนขับ";"조종수";"驾\t驶\t员";"操縦手";"駕\t駛\t員";;
"armor_class/machine_gunner";"Machine gunner";"Mitrailleur";"Mitragliere";"MG-Schütze";"Ametrallador";"Стрелок-радист";"Кулеметник";"Operator KM-u";"Metralhador";"Makineli tüfekçi";"Kulometčík";"Machine gunner";"Penembak senapan mesin";"พลปืนกล";"전방사수";"机\t枪\t手";"機銃手";"機\t槍\t手";;
"armor_class/loader";"Loader";"Chargeur";"Servente";"Ladeschütze";"Cargador";"Заряжающий";"Зарядник";"Ładowniczy";"Carregador";"Yükleyici";"Nabíječ";"Loader";"Pengisi amunisi";"พลบรรจุกระสุน";"탄약수";"装\t填\t手";"装填手";"裝\t填\t手";;
"armor_class/commander";"Commander";"Commandant";"Comandante";"Kommandant";"Comandante";"Командир";"Командир";"Dowódca";"Comandante";"Komutan";"Velitel";"Commander";"Komandan";"ผู้บังคับบัญชา";"전차장";"车\t长";"車長";"車\t長";;
"armor_class/gunner";"Gunner";"Tireur";"Artigliere";"Richtschütze";"Artillero";"Наводчик";"Навідник";"Celowniczy";"Artilheiro";"Nişancı";"Střelec";"Gunner";"Penembak";"มือปืน";"포수";"炮\t手";"砲手";"炮\t手";;
"armor_class/gunner_aircraft";"Gunner";"Mitrailleur";"Mitragliere";"Richtschütze";"Artillero";"Стрелок";"Навідник";"Strzelec";"Artilheiro";"Nişancı";"Střelec";"Gunner";"Penembak";"มือปืน";"사수";"机\t枪\t手";"銃手";"機\t槍\t手";;
"armor_class/gunner_tank";"Gunner";"Tireur";"Artigliere";"Richtschütze";"Artillero";"Наводчик";"Навідник";"Celowniczy";"Artilheiro";"Nişancı";"Střelec";"Gunner";"Penembak";"มือปืน";"포수";"炮\t手";"砲手";"炮\t手";;
