"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"matching/OPERATION_NOT_SUPPORTED";"Operation not supported.";"Opération non prise en charge.";"Operazione non supportata.";"Vorgang nicht unterstützt.";"Operación no admitida.";"Операция недоступна.";"Операція недоступна.";"Operacja nie jest obsługiwana.";"Operação não suportada.";"İşlem desteklenmiyor.";"지원되지 않는 작전입니다.";"无\t法\t实\t施\t该\t操\t作。";"操作は\tサポートされていません。";"無\t法\t實\t施\t該\t操\t作";;
"matching/SERVER_ERROR_INTERNAL";"Internal server error.";"Erreur de serveur interne.";"Errore interno del server.";"Interner Serverfehler.";"Error interno del servidor.";"Внутренняя ошибка сервера.";"Внутрішня помилка сервера.";"Błąd wewnętrzny serwera.";"Erro interno do servidor.";"Dahili sunucu hatası.";"내부 서버 오류";"内\t部\t错\t误。";"内部\tサーバーエラー。";"內\t部\t伺\t服\t器\t錯\t誤";;
"matching/SERVER_ERROR_PEER_NOT_EXISTS";"Player not found.";"Joueur introuvable.";"Giocatore non trovato.";"Spieler nicht gefunden.";"Jugador no encontrado.";"Игрок не найден.";"Гравець не знайдений.";"Nie znaleziono gracza.";"Jogador não encontrado.";"Oyuncu bulunamadı.";"플레이어를 찾을 수 없습니다.";"找\t不\t到\t该\t玩\t家。";"プレイヤーが\t見つかりませんでした。";"沒\t有\t找\t到\t玩\t家";;
"matching/SERVER_ERROR_REQUEST_TIMEOUT";"Operation timed out.";"L'opération a expirée.";"Richiesta scaduta.";"Zeitüberschreitung des Vorgangs.";"Agotado el tiempo de la operación.";"Время ожидания ответа от сервера истекло.";"Час очікування відповіді від сервера закінчився.";"Upłynął limit czasu operacji.";"Operação expirada.";"İşlem zaman aşımına uğradı.";"작업 시간 초과";"操\t作\t超\t时。";"操作\tタイムアウト。";"操\t作\t超\t時";;
"matching/SERVER_ERROR_PEER_LOGOUT";"The player logged out during the request performance.";"Le joueur s'est déconnecté pendant l'exécution de la demande.";"Il giocatore si è disconnesso durante la richiesta.";"Der Spieler hat sich während der Anfrage ausgeloggt.";"El jugador salió de la sesión durante la ejecución de la solicitud.";"Игрок вышел из сети во время выполнения запроса.";"Під час виконання запиту гравець вийшов з мережі.";"Gracz wylogował się w trakcie żądania operacji.";"Jogador desconectado durante a realização do pedido.";"Oyuncu oyun isteği sırasında çıkış yaptı.";"요청을 수행 중 플레이어가 접속을 종료하였습니다.";"该\t玩\t家\t已\t登\t出。";"リクエスト\t実施中に\tプレイヤーが\tログアウトしました。";"玩\t家\t已\t經\t登\t出";;
"matching/SERVER_ERROR_PROTOCOL_MISMATCH";"New update is available. Please update the game via the launcher.";"Nouvelle mise à jour disponible. Veuillez mettre à jour le jeu à partir de l'interface de lancement.";"È disponibile un nuovo aggiornamento. Aggiorna il gioco tramite il launcher.";"Neues Update verfügbar. Bitte aktualisiere das Spiel über den Launcher.";"Hay disponible una nueva actualización. Actualiza el juego mediante el iniciador.";"Доступно обновление. Используйте программу запуска для его загрузки.";"Доступне нове оновлення. Оновіть гру за допомогою лончера.";"Dostępna jest nowa aktualizacja. Zaktualizuj grę za pomocą programu startowego.";"Nova atualização está disponível. Por favor atualize o jogo via launcher.";"Yeni güncelleme mevcut. Lütfen başlatıcı aracılığıyla oyunu güncelle.";"새로운 업데이트가 나왔습니다. 런처를 통해 게임을 업데이트 하십시오.";"有\t更\t新\t可\t用。\t请\t通\t过\t启\t动\t器\t更\t新\t游\t戏。";"最新版があります。\tランチャーで\tゲームを\t更新して\t下さい。";"有\t新\t的\t更\t新\t項\t目，\t請\t透\t過\t啟\t動\t器\t更\t新\t遊\t戲";;
"matching/SERVER_ERROR_INVALID_VERSION";"New update is available. Please update the game via the launcher.";"Nouvelle mise à jour disponible. Veuillez mettre à jour le jeu à partir de l'interface de lancement.";"È disponibile un nuovo aggiornamento. Aggiorna il gioco tramite il launcher.";"Neues Update verfügbar. Bitte aktualisiere das Spiel über den Launcher.";"Hay disponible una nueva actualización. Actualiza el juego mediante el iniciador.";"Доступно обновление. Используйте программу запуска для его загрузки.";"Доступне нове оновлення. Оновіть гру за допомогою лончера.";"Dostępna jest nowa aktualizacja. Zaktualizuj grę za pomocą programu startowego.";"Nova atualização está disponível. Por favor atualize o jogo via launcher.";"Yeni güncelleme mevcut. Lütfen başlatıcı aracılığıyla oyunu güncelle.";"새로운 업데이트가 나왔습니다. 런처를 통해 게임을 업데이트 하십시오.";"有\t更\t新\t可\t用。\t请\t通\t过\t启\t动\t器\t更\t新\t游\t戏。";"最新版があります。\tランチャーで\tゲームを\t更新して\t下さい。";"有\t新\t的\t更\t新\t項\t目，\t請\t透\t過\t啟\t動\t器\t更\t新\t遊\t戲";;
"matching/SERVER_ERROR_PEER_AUTH_FAILED";"The game hasn't been activated for your account.";"Le jeu n'a pas été activé pour votre compte.";"Il gioco non è stato attivato per il tuo account.";"Das Spiel wurde für dein Konto nicht aktiviert.";"El juego no ha sido activado para su cuenta.";"Игра не активирована для вашей учётной записи.";"Гра не активована для вашого облікового запису.";"Gra nie została aktywowana dla Twojego konta.";"Jogo não foi ativado para sua conta";"Oyun hesabınız henüz aktif değil.";"이 계정으로는 접속할 수 없습니다.";"账\t户\t未\t激\t活。";"あなたの\tアカウントで\tゲームが\tアクティベートされていません。";"此\t帳\t號\t尚\t未\t激\t活";;
"matching/SERVER_ERROR_MAINTENANCE";"The server is under maintenance. We are updating the game and making it better. Please check the server status on wtmobile.com.";"Les serveurs sont en maintenance. Vous pouvez consulter le statut des serveurs sur wtmobile.com.";"Il server è in manutenzione. Stiamo migliorando il gioco. Consulta le notizie del server sul wtmobile.com.";"Der Server wird gerade gewartet. Wir aktualisieren das Spiel und machen es besser. Bitte überprüfe den Serverstatus auf wtmobile.com.";"El servidor está bajo mantenimiento. Estamos actualizando el juego y haciéndolo mejor. Por favor revisa el estado del servidor en wtmobile.com.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте wtmobile.com.";"Сервер перебуває на обслуговуванні. Зараз ми оновлюємо гру і робимо її кращою. Перевірте стан сервера на сайті wtmobile.com.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę w celu jej usprawnienia. Sprawdź status serwera na wtmobile.com.";"O servidor está em manutenção. Estamos a atualizar o jogo e a torná-lo melhor. Por favor consulte o estado do servidor em wtmobile.com.";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen wtmobile.com adresinden sunucu durumunu kontrol edin.";"서버가 현재 점검 중입니다. 더 나은 게임을 위해 작업 중이니 잠시만 기다려 주세요. wtmobile.com에서 서버 상태를 확인하실 수 있습니다.";"服\t务\t器\t维\t护\t中。\t我\t们\t正\t在\t更\t新\t游\t戏\t以\t改\t善\t玩\t家\t体\t验，\t请\t前\t往\t官\t方\t网\t站 wtmobile.com 查\t看\t服\t务\t器\t状\t态。";"サーバーは\tメンテナンス\t中です。\tより\t良い\tコンテンツをお\t届けするために、\tゲームを\tアップデートしています。\tサーバーの\t状態は\twtmobile.comからご\t確認ください。";"伺\t服\t器\t維\t護\t中，\t我\t們\t正\t在\t更\t新\t遊\t戲\t並\t讓\t它\t變\t得\t更\t好，\t請\t在 wtmobile.com 上\t查\t看\t伺\t服\t器\t狀\t態";;
"matching/SERVER_ERROR_ACCESS_DENIED";"The game hasn't been activated for your account.";"Le jeu n'a pas été activé pour votre compte.";"Il gioco non è stato attivato per il tuo account.";"Das Spiel wurde nicht für dein Konto aktiviert.";"El juego no ha sido activado para su cuenta.";"Игра не активирована для вашей учётной записи.";"Гра не активована для вашого облікового запису.";"Gra nie została aktywowana dla Twojego konta.";"Jogo não foi ativado para sua conta";"Oyun hesabınız henüz aktif değil.";"이 계정으로는 접속할 수 없습니다.";"账\t户\t未\t激\t活。";"あなたの\tアカウントで\tゲームが\tアクティベートされていません。";"此\t帳\t號\t尚\t未\t激\t活";;
