"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"clan/name";"Squadron";"Escadron";"Squadriglia";"Kampfgruppe";"Escuadrón";"Полк";"Dywizjon";"Esquadrão";"Filo";"비행대";"联\t队";"部隊";"聯\t隊";;
"clan/error/empty_name";"Squadron Name cannot be shorter than 3 symbols.";"Le nom de l'escadron ne peut être plus court que 3 symboles.";"Il nome della Squadriglia non può essere più corto di 3 lettere.";"Der Name der Kampfgruppe darf nicht kürzer als drei Zeichen sein.";"El nombre del escuadrón no puede ser inferior a 3 caracteres.";"Имя полка не может быть короче трёх символов.";"Nazwa Dywizjonu nie może być krótsza niż 3 znaki.";"O nome do esquadrão não pode ter menos de 3 símbolos.";"Filo Adı 3 karakterden kısa olamaz.";"비행대 이름은 세 글자 이상이어야 합니다.";"联\t队\t名\t称\t不\t得\t少\t于 3 个\t字\t符";"部隊名は 3 文字以上である\t必要があります。";"聯\t隊\t名\t稱\t不\t得\t少\t於 3 個\t字\t元";;
"clan/error/empty_tag";"Squadron Tag cannot be empty";"Le tag de l'escadron ne peut pas être vide";"La tag della Squadriglia non può essere lasciata vuota";"Es muss ein Kürzel ('Tag') für die Kampfgruppe definiert werden.";"La etiqueta del escuadrón no puede quedar vacía";"Тег полка не может быть пустым";"Etykieta Dywizjonu nie może być pusta";"Tag do esquadrão não pode estar vazia";"Filo Etiketi boş bırakılamaz";"비행대의 태그를 채워 주세요.";"联\t队\t缩\t写\t不\t能\t为\t空";"部隊\tタグは\t空にはできません";"聯\t隊\t縮\t寫\t不\t能\t為\t空";;
"clan/error/tag_length";"Squadron tag cannot be longer than {maxLength} symbols.";"Le tag de l'escadron ne peut excéder {maxLength} caractères.";"La tag Squadriglia non può essere più lunga di {maxLength} caratteri.";"Das Kampfgruppen-Kürzel darf nicht mehr als {maxLength} Zeichen enthalten.";"La etiqueta de Escuadrón no puede tener más de {maxLength} símbolos.";"Тег полка не может быть длиннее {maxLength} символов.";"Etykieta Dywizjonu nie może być dłuższa niż {maxLength} znaków.";"A sigla do esquadrão não pode ter mais do que {maxLength} símbolos.";"Filo etiketi {maxLength} karakterden uzun olamaz.";"비행대 태그는 {maxLength}자보다 길게 만들 수 없습니다.";"联\t队\t缩\t写\t不\t得\t超\t过 {maxLength} 个\t字\t符";"部隊\tタグは {maxLength} より\t長くすることはできません。";"聯\t隊\t縮\t寫\t不\t得\t超\t過 {maxLength} 個\t字\t元";;
"clan/error/bad_words_in_clanTag";"You cannot use this squadron tag";"Vous ne pouvez pas utiliser ce tag d'escadron";"Non è possibile utilizzare questo tag di Squadriglia";"Dieses Kampfgruppen-Kürzel ist unzulässig";"No puedes utilizar esta etiqueta para el escuadrón";"Нельзя использовать подобный тег полка";"Nie możesz użyć takiej etykiety dywizjonu";"Não pode usar essa tag do esquadrão";"Bu filo etiketini kullanamazsın";"이 비행대 태그는 사용할 수 없습니다.";"联\t队\t缩\t写\t非\t法";"その\tクランタグは\t使用できません";"無\t法\t使\t用\t此\t聯\t隊\t縮\t寫";;
"clan/error/empty_slogan";"Squadron Motto cannot be empty";"La devise de l'escadron ne peut pas être vide";"Il motto della Squadriglia non può essere lasciato vuoto";"Es muss ein Motto für die Kampfgruppe definiert werden.";"El lema del escuadrón no puede quedar vacío";"Девиз полка не может быть пустым";"Motto Dywizjonu nie może być puste";"Lema do esquadrão não pode estar vazio";"Filo sloganı boş bırakılamaz";"비행대 좌우명을 입력해 주세요.";"联\t队\t队\t训\t不\t能\t为\t空";"部隊\tモットーは\t空にはできません";"聯\t隊\t宗\t旨\t不\t能\t為\t空";;
"clan/error/empty_description";"Squadron Description cannot be empty";"La description de l'escadron ne peut pas être vide";"La descrizione della Squadriglia non può essere lasciata vuota";"Es muss eine Beschreibung der Kampfgruppe definiert werden.";"La descripción del escuadrón no puede estar vacía";"Описание полка не может быть пустым";"Opis Dywizjonu nie może być pusty";"Descrição do esquadrão não pode estar vazia";"Filo açıklaması boş bırakılamaz";"비행대 소개를 넣어주세요.";"联\t队\t简\t介\t不\t能\t为\t空";"部隊説明は\t空にはできません";"聯\t隊\t簡\t介\t不\t能\t為\t空";;
"clan/create_clan_success";"Squadron created successfully";"Escadron créé avec succès";"Squadriglia creato con successo";"Die Kampfgruppe wurde erfolgreich gegründet.";"Escuadrón creado con éxito";"Полк успешно создан";"Dywizjon został utworzony pomyślnie";"Esquadrão criado com sucesso";"Filo başarıyla kuruldu";"비행대가 창설되었습니다.";"已\t成\t功\t创\t建\t联\t队";"部隊の\t結成に\t成功しました。";"已\t經\t成\t功\t創\t建\t聯\t隊";;
"clan/create_clan_submit_button";"Create a Squadron";"Créer un escadron";"Crea una Squadriglia";"Kampfgruppe gründen";"Crear un escuadrón";"Создать полк";"Stwórz Dywizjon";"Criar um esquadrão";"Bir Filo Kur";"비행대 창설";"创\t建\t联\t队";"部隊を\t結成します。";"創\t建\t聯\t隊";;
"clan/clan_type";"Squadron Type";"Type d'escadron";"Tipo di Squadriglia";"Kampfgruppen-Typ";"Tipo de Escuadrón";"Тип полка";"Typ Dywizjonu";"Tipo de esquadrão";"Filo Tipi";"비행대 유형";"联\t队\t类\t型";"部隊の\tタイプ";"聯\t隊\t類\t型";;
