"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"multiplayer/noSessionsFound";"No games available. Please try again later.";"Aucune partie disponible. Veuillez réessayer plus tard.";"Nessuna partita disponibile. Riprova più tardi.";"Keine Spielsitzungen verfügbar. Probiere es später erneut.";"No hay juegos disponibles. Inténtalo más tarde.";"Игры не найдены. Повторите попытку позже.";"Ігри не знайдені. Спробуйте ще раз пізніше.";"Brak dostępnych gier. Spróbuj ponownie później.";"Não há jogos disponíveis. Por favor, tente novamente mais tarde.";"Uygun oyun yok. Lütfen daha sonra tekrar dene.";"K dispozici nejsou žádné hry, zkus to později";"Δεν υπάρχουν διαθέσιμα παιχνίδια. Προσπαθήστε ξανά αργότερα.";"Tidak ada permainan yang tersedia. Coba lagi nanti.";"ไม่มีเกมที่เข้าร่วมได้ กรุณาลองใหม่ในภายหลัง";"참여할 수 있는 방이 없습니다. 나중에 다시 시도해 주십시오.";"没\t有\t可\t用\t游\t戏。\t请\t稍\t后\t重\t试。";"参加できる\tゲームが\t見つかりません";"沒\t有\t可\t用\t遊\t戲。\t請\t稍\t後\t重\t試。";;
"multiplayer/onJoinError";"Join error. Please try again later.";"Erreur pour rejoindre. Veuillez réessayer plus tard.";"Errore partecipazione. Riprova più tardi.";"Fehler beim Beitreten. Bitte versuche es später erneut.";"Error al unirse. Inténtalo más tarde";"Ошибка подключения. Повторите попытку позже.";"Помилка підключення. Спробуйте ще раз пізніше.";"Błąd podczas dołączania. Spróbuj ponownie później.";"Erro ao entrar. Por favor tente novamente mais tarde.";"Giriş hatası. Lütfen daha sonra tekrar dene.";"Chyba připojení, zkus to později";"Σφάλμα συμμετοχής. Προσπαθήστε ξανά αργότερα.";"Terjadi kesalahan saat bergabung. Coba lagi nanti.";"เกิดข้อผิดพลาดขณะเข้าร่วม กรุณาลองใหม่ในภายหลัง";"입장 오류. 잠시 후 다시 시도해 주십시오.";"加\t入\t失\t败。\t请\t稍\t候\t再\t试。";"ゲームに\t参加できませんでした。\tしばらくしてから\t再試行してください";"加\t入\t失\t敗。\t請\t稍\t候\t再\t試。";;
"multiplayer/place";"Place";"Place";"Posizione";"Platz";"Lugar";"Место";"Місце";"Miejsce";"Lugar";"Yer";"Místo";"Place";"Posisi";"Place";"순위";"排\t名";"順位";"排\t名";;
"multiplayer/kills";"Kills";"Tués";"Uccisioni";"Abschüsse";"Matanzas";"Уничтожено";"Знищено";"Zabici";"Mortes";"Öldürülen";"Zničeno";"Kills";"Kill";"ฆ่า";"격파";"歼\t敌\t数\t量";"撃墜/撃破数";"殲\t敵\t數\t量";;
"multiplayer/score";"Score";"Score";"Punti";"Punkte";"Puntaje";"Очки";"Очки";"Wynik";"Pontuação";"Puan";"Skóre";"Βαθμολογία";"Skor";"คะแนน";"점수";"分\t数";"スコア";"分\t數";;
"multiplayer/lifetime";"Life time";"Durée de vie";"Tempo di attività";"Überlebensszeit";"Tiempo de vida";"Время жизни";"Час життя";"Czas życia";"Tempo de vida";"Yaşam süresi";"Čas přežití";"Life time";"Waktu hidup";"Life time";"생존시간";"存\t活\t时\t间";"累計";"存\t活\t時\t長";;
"wait/leaderboard";"Loading leaderboard";"Chargement du classement";"Caricamento classifica";"Lade Bestenliste";"Cargando tabla de clasificación";"Загрузка таблицы рекордов";"Завантаження таблиці рекордів";"Wczytywanie rankingu";"Carregando tabela da classificação";"Liderlik Tablosu yükleniyor";"Načítání žebříčku";"Φόρτωση πίνακα κατάταξης";"Memuat papan peringkat";"กำลังโหลดกระดานผู้นำ";"순위표를 불러오는 중";"正\t在\t载\t入\t排\t行\t榜";"リーダーボードを\tロード\t中";"正\t在\t載\t入\t排\t行\t榜";;
"multiplayer/btnStart";"Start";"Commencer";"Inizia";"Start";"Iniciar";"Начать";"Почати";"Start";"Iniciar";"Başla";"Start";"Έναρξη";"Mulai";"เริ่ม";"시작";"开\t始";"出撃";"開\t始";;
"lb/rating";"Rating";"Classement";"Valutazione";"Wertung";"Puntuación";"Рейтинг";"Рейтинг";"Ocena";"Classificação";"Puan";"Hodnocení";"Αξιολόγηση";"Rating";"คะแนนจัดอันดับ";"등급";"评\t分";"評価";"評\t分";;
"lb/overall_rating";"Common rating";"Classement standard";"Classifica comune";"Allgemeine Bewertung";"Clasificación común";"Общий рейтинг";"Загальний рейтинг";"Ocena ogólna";"Classificação geral";"Ortak puan";"Běžné hodnocení";"Συνολική αξιολόγηση";"Rating umum";"คะแนนทั่วไป";"현재 레이팅";"整\t体\t评\t分";"コモンレート";"整\t體\t評\t分";;
"lb/wins";"Wins";"Victoires";"Vittorie";"Siege";"Victorias";"Победы";"Перемог";"Zwycięstwa";"Vitórias";"Galibiyetler";"Vítězství";"Νίκες";"Kemenangan";"ชนะ";"승리";"胜\t利\t场\t次";"勝利数";"勝\t利\t場\t次";;
"lb/battles";"Battles";"Combats";"Battaglie";"Schlachten";"Batallas";"Бои";"Битви";"Bitwy";"Batalhas";"Çarpışmalar";"Bitvy";"Μάχες";"Pertempuran";"การต่อสู้";"전투";"战\t斗\t场\t次";"バトル";"任\t務\t總\t數";;
"lb/prize";"Expected prize";"Prix à gagner";"Premi previsti";"Voraussichtlicher Preis";"Premio previsto";"Ожидаемый приз";"Очікуваний приз";"Przewidywana nagroda";"Prémio esperado";"Tahmini ödül";"Předpokládaná výhra";"Αναμενόμενο έπαθλο";"Hadiah yang diinginkan";"รางวัลคาดการณ์";"예상되는 보상";"预\t计\t奖\t励";"予定賞品";"預\t計\t獎\t勵";;
