"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"options/info";"Info";"Info";"Informazioni";"Info";"Información";"Информация";"Інформація";"Informacje";"Informações";"Bilgi";"Informace";"Πληροφορίες";"Info";"ข้อมูล";"정보";"信\t息";"情報";"訊\t息";;
"options/vibration";"Vibration";"Vibration";"Vibrazione";"Vibration";"Vibración";"Вибрация";"Вібрація";"Wibracje";"Vibração";"Titreşim";"Vibration";"Κραδασμοί";"Getaran";"การสั่น";"진동";"振\t动";"バイブレーション";"振\t動";;
"options/vibration_on_shoot";"Vibration on shoot";"Vibration lors des tirs";"Vibrazione allo sparo";"Vibration beim Schießen";"Vibración al disparar";"Вибрация от выстрела";"Вібрація від пострілу";"Wibracje przy strzale";"Vibração ao disparar";"Ateş edildiğinde titreşim";"Vibrace při výstřelu";"Κραδασμοί κατά τη βολή";"Getaran saat menembak";"การสั่นเมื่อยิง";"사격 시 진동";"开\t火\t震\t荡";"射撃時の\t振動";"開\t火\t震\t盪";;
"options/vibration_on_hero_get_shot";"Vibration from hit";"Vibration lors d'impact";"Vibrazione da colpo ricevuto";"Vibration durch Treffer";"Vibración por impacto";"Вибрация от попадания";"Вібрація від влучення";"Wibracje po otrzymaniu uszkodzeń";"Vibração ao ser atingido";"İsabet ettiğinde titreşim";"Vibrace při zásahu";"Κραδασμοί από χτύπημα";"Getaran dari tembakan yang menghantam";"การสั่นเมื่อถูกยิง";"피격 시 진동";"被\t弹\t震\t荡";"命中による\t振動";"被\t彈\t震\t盪";;
"options/vibration_on_collision";"Vibration on collision";"Vibration lors d'une collision";"Vibrazione in collisione";"Vibration beim Aufprall";"Vibración por colisión";"Вибрация от столкновения";"Вібрація від зіткнення";"Wibracje podczas kolizji";"Vibração ao colidir";"Çarpıştığında titreşim";"Vibrace při kolizi";"Κραδασμοί κατά τη σύγκρουση";"Getaran saat menabrak";"การสั่นเมื่อกระทบ";"충돌 시 진동";"碰\t撞\t震\t荡";"衝突時の\t振動";"碰\t撞\t震\t盪";;
"options/volume_master";"General Volume";"Volume";"Volume";"Gesamt";"Volumen";"Общая громкость";"Гучність";"Głośność";"Volume";"Ses Düzeyi";"Hlasitost";"Γενική ένταση";"Volume Umum";"ระดับเสียงทั่วไป";"음량";"主\t音\t量";"音量";"主\t音\t量";;
"options/volume_music";"Music Volume";"Volume de la musique";"Volume musica";"Musik";"Volumen de Música";"Громкость музыки";"Гучність музики";"Głośność muzyki";"Volume da música";"Müzik Ses Düzeyi";"Hlasitost hudby";"Ένταση μουσικής";"Volume Musik";"ระดับเสียงดนตรี";"음악 음량";"背\t景\t音\t乐\t音\t量";"ゲーム\t内\tBGMの\t音量";"背\t景\t音\t樂\t音\t量";;
"options/volume_sfx";"SFX Volume";"Volume SFX";"Volume eff. sonori";"Soundeffekte";"Volumen de Efectos Especiales";"Громкость эффектов";"Гучність ефектів";"Głośność efektów dźwiękowych";"Volume SFX";"SFX Ses Düzeyi";"Hlasitost efektů";"Ένταση SFX";"Volume SFX";"ระดับเสียงเอฟเฟกต์";"효과음 음량";"音\t效\t音\t量";"効果音の\t音量";"音\t效\t音\t量";;
"options/volume_radio_messages";"Radio Messages Volume";"Volume des messages radio";"Volume Messaggi Radio";"Lautstärke der Funknachrichten";"Volumen de los Mensajes de Radio";"Громкость радиосообщений";"Гучність радіоповідомлень";"Głośność komunikatów radiowych";"Volume das mensagens rádio";"Telsiz Mesajı Ses Seviyesi";"Hlasitost vysílačky";"Ένταση μηνυμάτων ασυρμάτου";"Volume Pesan Radio";"ระดับเสียงข้อความวิทยุ";"라디오 메시지 음량";"无\t线\t电\t消\t息\t音\t量";"無線\tメッセージ\t音量";"無\t線\t電\t訊\t息\t音\t量";;
"options/volume_dialogs";"Crew Speech Volume";"Volume des voix de l'équipage";"Volume Dialoghi Equipaggio";"Sprachlautstärke der Besatzung";"Volumen de Voz de la Tripulación";"Громкость диалогов экипажа";"Гучність діалогів екіпажу";"Głośność mowy i animacji";"Volume da voz da tripulação";"Mürettebat Konuşması Sesi Seviyesi";"Hlasitost posádky";"Ένταση ομιλίας πληρώματος";"Volume Suara Kru";"ระดับเสียงพูดกำลังพล";"승무원 음성의 음량";"乘\t员\t组\t语\t音\t音\t量";"クルー\t音声音量";"乘\t員\t組\t語\t音\t音\t量";;
