"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>"
"MF_TooLong";"It took you too long.";"Ça vous a pris trop de temps.";"Hai impiegato troppo.";"Du hast zu lange gebraucht.";"Te ha llevado demasiado tiempo.";"Слишком много времени прошло.";"Занадто багато часу пройшло.";"Zajęło Ci to zbyt wiele czasu.";"Demorou muito tempo.";"Çok uzun sürdü.";"시간이 얼마 남지 않았습니다.";"已\t耗\t时\t太\t久";"時間が\t掛かり\t過ぎたようです";"已\t耗\t時\t太\t久"
"MF_NoAttempts";"Your flight was destroyed.";"Votre groupe a été détruit.";"Il tuo stormo è stato distrutto.";"Deine Staffel wurde zerstört.";"Tu escuadrón ha sido destruido.";"Ваш отряд уничтожен.";"Ваш загін знищено.";"Twoja eskadra została zniszczona";"O teu avião foi destruído.";"Uçuş filon yok edildi.";"편대원 전원이 격추당했습니다.";"飞\t机\t被\t击\t毁";"飛行小隊が\t殲滅されました。";"飛\t機\t被\t擊\t毀"
"MF_WrongActions";"Try again";"Réessayer";"Riprova";"Versuche es erneut.";"Vuelve a intentarlo";"Попробуйте еще раз";"Спробуйте ще раз";"Spróbuj ponownie.";"Tente novamente";"Tekrar dene";"재시도";"再\t试\t一\t次";"再挑戦してください。";"再\t試\t一\t次"
"MF_MOFailed";"You have failed your mission.";"Vous avez perdu la mission.";"Hai fallito la tua missione.";"Du hast versagt.";"Has fracasado en tu misión.";"Вы не смогли выполнить задание.";"Вам не вдалося виконати завдання.";"Misja nie została wykonana.";"Falhou a sua missão.";"Görev başarısız.";"임무에 실패하였습니다.";"任\t务\t失\t败";"作戦失敗です。";"任\t務\t失\t敗"
"MF_Empty";;;;;;;;;;;;;;
"MF_Base_Destroyed";"All base defenders were destroyed.";"Tous les défenseurs de le base ont été détruits.";"Tutte le unità di difesa della base sono state distrutte.";"Alle Verteidiger wurden zerstört.";"Todos los defensores de la base fueron destruidos.";"Все защитники базы погибли.";"Усі захисники бази загинули.";"Wszyscy obrońcy bazy zostali zniszczeni.";"Todos os defensores da base foram destruídos.";"Üssü savunan tüm birimler yok edildi.";"모든 기지 방어병력이 궤멸되었습니다.";"所\t有\t基\t地\t防\t御\t设\t施\t均\t被\t摧\t毁";"拠点防衛部隊が\t全滅しました。";"所\t有\t基\t地\t防\t禦\t設\t施\t均\t被\t摧\t毀"
"MF_Civilian_killed";"Collateral damage will not be tolerated.";"Les dommages collatéraux ne seront pas tolérés.";"I danni collaterali non saranno tollerati.";"Kollateralschaden wird nicht toleriert.";"No se tolerarán daños colaterales.";"Нанесение вреда союзникам недопустимо.";"Нанесення шкоди союзникам неприпустимо.";"Zniszczenia i straty wśród ludności cywilnej nie będą tolerowane.";"Danos colaterais não serão tolerados.";"Sivil kayıplara tolerans gösterilmeyecek.";"2차 피해는 용납되지 않습니다.";"你\t造\t成\t了\t附\t带\t平\t民\t损\t害";"巻き\t添えによる\t被害が\t深刻です";"你\t造\t成\t了\t附\t帶\t平\t民\t損\t害"
"MF_flee";"The enemy escaped.";"L'ennemi s'est sauvé.";"Il nemico è fuggito.";"Der Feind ist entkommen.";"El enemigo ha escapado.";"Враг сбежал.";"Враг втік.";"Wróg uciekł.";"O inimigo escapou.";"Düşman kaçtı.";"적이 탈출했습니다.";"敌\t人\t逃\t掉\t了";"敵は\t逃亡しました";"敵\t人\t逃\t掉\t了"
"MF_To_many_ally_died";"We have lost too many allies.";"Vous avez perdu trop d'alliés.";"Abbiamo perso troppi alleati.";"Wir haben zu viele Verbündete verloren.";"Hemos perdido demasiados aliados.";"Мы потеряли слишком много союзников.";"Ми втратили занадто багато союзників.";"Straciliśmy zbyt wielu sojuszników.";"Perdemos muitos aliados.";"Çok fazla müttefik kaybettik.";"너무 많은 아군을 잃었습니다.";"友\t军\t损\t失\t过\t于\t严\t重";"味方を\t多く\t失い\t過ぎたようです";"友\t軍\t損\t失\t過\t於\t嚴\t重"
"MF_spotted";"You were detected by the enemy.";"Vous avez été détecté par l'ennemi.";"Sei stato individuato dal nemico.";"Der Feind hat dich entdeckt.";"El enemigo te ha detectado.";"Вы были замечены противником.";"Ви були помічені противником.";"Wróg Cię wykrył.";"Foste detectado pelo inimigo.";"Düşman tarafından farkedildin.";"적에게 발각되었습니다.";"已\t被\t敌\t军\t发\t现";"敵に\t発見されました";"已\t被\t敵\t軍\t發\t現"
