"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"aircraft_repaired";"Vehicle repaired";"Véhicule réparé";"Unità Riparata";"Fahrzeug repariert";"Vehículo reparado";"Техника отремонтирована";"Техніка відремонтована";"Naprawa zakończona";"Veículo reparado";"Araç onarıldı";"Letoun opraven";"Το όχημα επισκευάστηκε";"Kendaraan diperbaiki";"ซ่อมพาหนะแล้ว";"수리 완료";"载\t具\t已\t修\t复";"機体が\t修理されました";"載\t具\t已\t修\t復";;
"aircraft_rearmed";"Vehicle rearmed";"Véhicule réarmé";"Unità Riarmata";"Fahrzeug neu bewaffnet";"Vehículo rearmado";"Боезапас восполнен";"Боєзапас заповнено";"Uzbrojenie uzupełnione";"Veículo rearmado";"Araca mühimmat yüklendi";"Letoun přezbrojen";"Το όχημα επανοπλίστηκε";"Kendaraan dipersenjatai ulang";"เติมอาวุธให้พาหนะแล้ว";"재무장 완료";"弹\t药\t已\t补\t充";"機体が\t再武装されました";"彈\t藥\t已\t補\t充";;
"aircraft_refueled";"Vehicle refuelled";"Véhicule ravitaillé";"Unità Rifornita";"Fahrzeug aufgetankt";"Vehículo reabastecido";"Техника заправлена";"Техніка заправлена";"Paliwo uzupełnione";"Veículo reabastecido";"Araca yakıt ikmali yapıldı";"Letoun dotankován";"Το όχημα ανεφοδιάστηκε με καύσιμα";"Bahan bakar kendaraan diisi ulang";"เติมเชื้อเพลิงให้พาหนะแล้ว";"재급유 완료";"燃\t油\t已\t补\t充";"機体の\t燃料が\t補給されました";"燃\t油\t已\t補\t充";;
"hints/objective_success";"Mission objective completed";"Objectif de la mission atteint";"Obiettivo missione completato";"Missionsziel abgeschlossen";"Objetivo de la misión completado";"Задание выполнено";"Завдання виконано";"Cel misji osiągnięty";"Objetivo da missão completo";"Verilen görev tamamlandı";"Úkol splněn";"Ο στόχος της αποστολής επετεύχθη";"Target misi selesai";"เป้าหมายภารกิจเสร็จสิ้น";"임무 목표 달성";"任\t务\t目\t标\t完\t成";"ミッション\t目標を\t達成しました";"任\t務\t目\t標\t完\t成";;
"hints/objective_fail";"Mission objective failed";"Objectif de la mission échoué";"Obiettivo missione fallito";"Missionsziel gescheitert";"Objetivo de la misión fallido";"Задание провалено";"Завдання провалене";"Cel misji nieosiągnięty";"Objectivo da missão falhado";"Verilen görev başarısız oldu";"Úkol nesplněn";"Ο στόχος της αποστολής δεν επετεύχθη";"Target misi gagal";"เป้าหมายภารกิจล้มเหลว";"임무 실패";"任\t务\t目\t标\t失\t败";"ミッション\t目標を\t達成できませんでした";"任\t務\t目\t標\t失\t敗";;
"hints/secondary_added";"Secondary objective received";"Objectif secondaire reçu";"Obiettivo secondario ricevuto";"Sekundäres Missionsziel empfangen";"Objetivo secundario recibido";"Получено второстепенное задание";"Отримане другорядне завдання";"Otrzymano cel poboczny";"Objetivo secundário recebido";"Tali görev alındı";"Nový vedlejší úkol";"Ελήφθη δευτερεύων στόχος";"Target cadangan didapatkan";"ได้รับเป้าหมายรอง";"추가 목표 하달";"接\t到\t次\t要\t任\t务";"第二の\t任務を\t受信しました";"接\t到\t次\t要\t任\t務";;
"hints/secondary_success";"Secondary objective completed";"Objectif secondaire complété";"Obiettivo secondario completato";"Sekundäres Missionsziel abgeschlossen";"Objetivo secundario completado";"Второстепенное задание выполнено";"Другорядне завдання виконано";"Cel poboczny osiągnięty";"Objetivo secundário concluído";"Tali görev tamamlandı";"Vedlejší úkol splněn";"Επετεύχθη ο δευτερεύων στόχος";"Target cadangan selesai";"เป้าหมายรองเสร็จสิ้น";"추가 목표 완료";"已\t完\t成\t次\t要\t任\t务";"第二の\t任務を\t達成しました";"已\t完\t成\t次\t要\t任\t務";;
"hints/secondary_fail";"Secondary objective failed";"Objectif secondaire manqué";"Obiettivo secondario fallito";"Sekundäres Missionsziel fehlgeschlagen";"Objetivo secundario fallido";"Второстепенное задание провалено";"Другорядне завдання провалене";"Cel poboczny nieosiągnięty";"Objetivo secundário falhado";"İkincil görev başarısız oldu";"Vedlejší úkol nesplněn";"Δεν επετεύχθη ο δευτερεύων στόχος";"Target cadangan gagal";"เป้าหมายรองล้มเหลว";"추가 목표 실패";"次\t要\t任\t务\t已\t失\t败";"第二の\t任務に\t失敗しました";"次\t要\t任\t務\t已\t失\t敗";;
"hints/objective_success_extended";"Mission objective: {missionObj} completed";"Objectif de mission: {missionObj} réussi";"Obiettivo missione: {missionObj} completato";"Missionsziel: {missionObj} abgeschlossen";"Objetivo de misión: {missionObj} completado";"Задание: {missionObj} выполнено";"Завдання: {missionObj} виконано";"Cel misji: {missionObj} został wykonany";"Objetivo da missão: {missionObj} completado";"Görev hedefi: {missionObj} tamamlandı";"Úkol: {missionObj} splněn";"Ο στόχος της αποστολής «{missionObj}» επετεύχθη";"Target misi: {missionObj} selesai";"เป้าหมายภารกิจ: {missionObj} เสร็จสิ้น";"임무 목표: {missionObj} 완료됨";"任\t务\t目\t标\t已\t完\t成：\t{missionObj}";"ミッション\t目標：\t{missionObj}完了";"任\t務\t目\t標\t已\t完\t成：\t{missionObj}";;
"hints/objective_fail_extended";"Mission objective: {missionObj} failed";"Objectif de mission: {missionObj} échoué";"Obbiettivo missione: {missionObj} failed";"Missionsziel: {missionObj} fehlgeschlagen";"Objetivo de misión: {missionObj} fallido";"Задание: {missionObj} провалено";"Завдання: {missionObj} провалено";"Cel misji: {missionObj} nie został wykonany";"Objetivo da missão: {missionObj} falhado";"Görev hedefi: {missionObj} başarısız oldu";"Úkol: {missionObj} nesplněn";"Ο στόχος της αποστολής «{missionObj}» δεν επετεύχθη";"Target misi: {missionObj} gagal";"เป้าหมายภารกิจ: {missionObj} ล้มเหลว";"임무 목표: {missionObj} 실패함";"任\t务\t目\t标\t已\t失\t败：\t{missionObj}";"ミッション\t目標：\t{missionObj}失敗";"任\t務\t目\t標\t已\t失\t敗：\t{missionObj}";;
