"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"arcade_destroy_airplanes";"Destroy enemy aircraft";"Détruisez l'avion ennemi";"Distruggi gli aerei nemici";"Zerstöre feindliche Flugzeuge";"Destruye los aviones enemigos";"Уничтожайте самолёты противника";"Знищте ворожий літак";"Zniszcz wrogie samoloty";"Abater aeronaves inimigas";"Düşman uçaklarını yok edin";"Znič nepřátelské letouny";"Καταστρέψτε εχθρικά αεροσκάφη";"Hancurkan pesawat musuh";"ทำลายอากาศยานศัตรู";"적기를 격추하라";"摧\t毁\t敌\t军\t战\t机";"敵の\t航空機を\t撃墜せよ";"摧\t毀\t敵\t方\t戰\t機";;
"t1_arcade_destroy_airplanes";"Destroy enemy aircraft";"Détruisez l'avion ennemi";"Distruggi gli aerei nemici";"Zerstöre feindliche Flugzeuge";"Destruye los aviones enemigos";"Уничтожайте самолёты противника";"Знищте ворожий літак";"Zniszcz wrogie samoloty";"Abater aeronaves inimigas";"Düşman uçaklarını yok edin";"Znič nepřátelské letouny";"Καταστρέψτε εχθρικά αεροσκάφη";"Hancurkan pesawat musuh";"ทำลายอากาศยานศัตรู";"적기를 격추하라";"摧\t毁\t敌\t军\t战\t机";"敵の\t航空機を\t撃墜せよ";"摧\t毀\t敵\t方\t戰\t機";;
"t2_arcade_destroy_airplanes";"Destroy enemy aircraft";"Détruisez l'avion ennemi";"Distruggi gli aerei nemici";"Zerstöre feindliche Flugzeuge";"Destruye los aviones enemigos";"Уничтожайте самолёты противника";"Знищте ворожий літак";"Zniszcz wrogie samoloty";"Abater aeronaves inimigas";"Düşman uçaklarını yok edin";"Znič nepřátelské letouny";"Καταστρέψτε εχθρικά αεροσκάφη";"Hancurkan pesawat musuh";"ทำลายอากาศยานศัตรู";"적기를 격추하라";"摧\t毁\t敌\t军\t战\t机";"敵の\t航空機を\t撃墜せよ";"摧\t毀\t敵\t方\t戰\t機";;
"t1_arcade_destroy_land_units";"Destroy ground targets";"Détruisez les cibles au sol";"Distruggi i bersagli terrestri";"Zerstöre Bodenziele";"Destruye los objetivos terrestres";"Уничтожайте наземные цели";"Знищте наземні цілі";"Zniszcz cele naziemne";"Abater alvos terrestres";"Kara hedeflerini yok edin";"Znič pozemní cíle";"Καταστρέψτε επίγειους στόχους";"Hancurkan target darat";"ทำลายเป้าหมายภาคพื้นดิน";"지상 목표물을 파괴하라";"摧\t毁\t地\t面\t单\t位";"地上目標を\t破壊せよ";"摧\t毀\t地\t面\t目\t標";;
"t2_arcade_destroy_land_units";"Destroy ground targets";"Détruisez les cibles au sol";"Distruggi i bersagli terrestri";"Zerstöre Bodenziele";"Destruye los objetivos terrestres";"Уничтожайте наземные цели";"Знищте наземні цілі";"Zniszcz cele naziemne";"Abater alvos terrestres";"Kara hedeflerini yok edin";"Znič pozemní cíle";"Καταστρέψτε επίγειους στόχους";"Hancurkan target darat";"ทำลายเป้าหมายภาคพื้นดิน";"지상 목표물을 파괴하라";"摧\t毁\t地\t面\t单\t位";"地上目標を\t破壊せよ";"摧\t毀\t地\t面\t目\t標";;
"t1_destroy_bomb_areas";"Destroy bomb targets";"Détruisez les bases ennemies";"Bombarda i bersagli";"Bombenziele zerstören";"Destruye los objetivos de bombas";"Уничтожайте цели для бомбардировки";"Знищте бомбардувальні цілі";"Zniszcz cele nalotu bombowego";"Destruir alvos de bombardeamento";"Bombardıman hedeflerini imha edin";"Znič nepřátelské základny";"Καταστρέψτε στόχους βομβαρδισμών";"Hancurkan target bom";"ทำลายเป้าหมายทิ้งระเบิด";"폭격 목표물을 파괴하라";"摧\t毁\t轰\t炸\t目\t标";"爆撃目標を\t破壊せよ";"摧\t毀\t轟\t炸\t目\t標";;
"t2_destroy_bomb_areas";"Destroy bomb targets";"Détruisez les bases ennemies";"Bombarda i bersagli";"Bombenziele zerstören";"Destruye los objetivos de bombas";"Уничтожайте цели для бомбардировки";"Знищте бомбардувальні цілі";"Zniszcz cele nalotu bombowego";"Destruir alvos de bombardeamento";"Bombardıman hedeflerini imha edin";"Znič nepřátelské základny";"Καταστρέψτε στόχους βομβαρδισμών";"Hancurkan target bom";"ทำลายเป้าหมายทิ้งระเบิด";"폭격 목표물을 파괴하라";"摧\t毁\t轰\t炸\t目\t标";"爆撃目標を\t破壊せよ";"摧\t毀\t轟\t炸\t目\t標";;
"t1_destroy_airfield";"Destroy enemy airfield";"Détruisez l'aérodrome ennemi";"Distruggi l'aeroporto nemico";"Zerstöre den feindlichen Flugplatz";"Destruye el aeródromo enemigo";"Уничтожьте вражеский аэродром";"Знищте ворожий аеродром";"Zniszcz lotnisko wroga";"Destruir a base aérea inimiga";"Düşman havaalanını yok et";"Znič nepřátelské letiště";"Καταστρέψτε το εχθρικό αεροδρόμιο";"Hancurkan lapangan terbang musuh";"ทำลายลานบินศัตรู";"적의 비행장을 파괴하라";"摧\t毁\t敌\t军\t机\t场";"敵の\t飛行場を\t破壊せよ";"摧\t毀\t敵\t軍\t機\t場";;
"t2_destroy_airfield";"Destroy enemy airfield";"Détruisez l'aérodrome ennemi";"Distruggi l'aeroporto nemico";"Zerstöre den feindlichen Flugplatz";"Destruye el aeródromo enemigo";"Уничтожьте вражеский аэродром";"Знищте ворожий аеродром";"Zniszcz lotnisko wroga";"Destruir a base aérea inimiga";"Düşman havaalanını yok et";"Znič nepřátelské letiště";"Καταστρέψτε το εχθρικό αεροδρόμιο";"Hancurkan lapangan terbang musuh";"ทำลายลานบินศัตรู";"적의 비행장을 파괴하라";"摧\t毁\t敌\t军\t机\t场";"敵の\t飛行場を\t破壊せよ";"摧\t毀\t敵\t軍\t機\t場";;
"t1_arcade_destroy_all_airplanes";"Destroy all enemy aircraft";"Détruisez tous les avions ennemis";"Distruggi tutti gli aerei nemici";"Zerstöre alle feindlichen Flugzeuge";"Destruye todos los aviones enemigos";"Уничтожьте все самолёты противника";"Знищте всі ворожі літаки";"Zniszcz wszystkie wrogie samoloty";"Abater todas as aeronaves inimigas";"Tüm düşman uçaklarını düşürün";"Znič všechna nepřátelská letadla";"Καταστρέψτε όλα τα εχθρικά αεροσκάφη";"Hancurkan semua pesawat musuh";"ทำลายอากาศยานศัตรูทั้งหมด";"모든 적기를 격추하라";"摧\t毁\t所\t有\t敌\t机";"敵の\t全航空機を\t撃墜せよ";"摧\t毀\t所\t有\t敵\t方\t戰\t機";;
