"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"coop/Bot0";"Boris";"Boris";"Boris";"Boris";"Boris";"Boris";"Борис";"Borys";"Boris";"Boris";"Boris";"Boris";"Boris";"Boris";"보리스";"鲍\t里\t斯";"ボリス";"伯\t里\t斯";;
"coop/Bot1";"John";"John";"John";"John";"John";"John";"Джон";"John";"John";"John";"John";"John";"John";"John";"존";"约\t翰";"ジョン";"約\t翰";;
"coop/Bot2";"Vladimir";"Vladimir";"Vladimir";"Wladimir";"Vladimir";"Vladimir";"Володимир";"Władimir";"Vladimir";"Vladimir";"Vladimir";"Vladimir";"Vladimir";"Vladimir";"블라디미르";"弗\t拉\t基\t米\t尔";"ウラジミール";"弗\t拉\t基\t米\t爾";;
"coop/Bot3";"Sam";"Sam";"Sam";"Sam";"Sam";"Sam";"Сем";"Sam";"Sam";"Sam";"Sam";"Sam";"Sam";"Sam";"샘";"山\t姆";"サム";"山\t姆";;
"coop/Bot4";"Pedro";"Pedro";"Pedro";"Pedro";"Pedro";"Pedro";"Педро";"Pedro";"Pedro";"Pedro";"Pedro";"Pedro";"Pedro";"Pedro";"페드로";"佩\t德\t罗";"ペドロ";"佩\t德\t羅";;
"coop/Bot5";"Samuel";"Samuel";"Samuel";"Samuel";"Samuel";"Samuel";"Семюел";"Samuel";"Samuel";"Samuel";"Samuel";"Samuel";"Samuel";"Samuel";"새뮤얼";"塞\t缪\t尔";"サミュエル";"撒\t母\t耳";;
"coop/Bot6";"Haru";"Haru";"Haru";"Haru";"Haru";"Haru";"Хару";"Haru";"Haru";"Haru";"Haru";"Haru";"Haru";"Haru";"하루";"哈\t鲁";"ハル";"哈\t魯";;
"coop/Bot7";"Lucy";"Lucy";"Lucia";"Lucy";"Lucy";"Lucy";"Люсі";"Lucy";"Lucy";"Lucy";"Lucy";"Lucy";"Lucy";"Lucy";"루시";"露\t西";"ルーシー";"露\t西";;
"coop/Bot8";"Harry";"Harry";"Harry";"Harry";"Harry";"Harry";"Гаррі";"Harry";"Harry";"Harry";"Harry";"Harry";"Harry";"Harry";"해리";"哈\t利";"ハリー";"哈\t利";;
"coop/Bot9";"Leo";"Leo";"Leo";"Leo";"Leo";"Leo";"Лео";"Leo";"Leo";"Leo";"Leo";"Leo";"Leo";"Leo";"레오";"利\t奥";"リオ";"利\t奧";;
"coop/Bot10";"Max";"Max";"Max";"Max";"Max";"Max";"Макс";"Max";"Max";"Max";"Max";"Max";"Max";"Max";"맥스";"马\t克\t斯";"マックス";"馬\t克\t斯";;
"coop/Bot11";"Adam";"Adam";"Adam";"Adam";"Adam";"Adam";"Адам";"Adam";"Adam";"Adam";"Adam";"Adam";"Adam";"Adam";"애덤";"亚\t当";"アダム";"亞\t當";;
"coop/Bot12";"Luke";"Luke";"Luca";"Luke";"Luke";"Luke";"Люк";"Luke";"Luke";"Luke";"Luke";"Luke";"Luke";"Luke";"루크";"卢\t克";"ルーク";"盧\t克";;
"coop/Bot13";"Henry";"Henry";"Henry";"Henry";"Henry";"Henry";"Генрі";"Henry";"Henry";"Henry";"Henry";"Henry";"Henry";"Henry";"헨리";"亨\t利";"ヘンリー";"亨\t利";;
"coop/Bot14";"Ryan";"Ryan";"Ryan";"Ryan";"Ryan";"Ryan";"Раян";"Ryan";"Ryan";"Ryan";"Ryan";"Ryan";"Ryan";"Ryan";"라이언";"瑞\t恩";"ライアン";"瑞\t恩";;
"coop/Bot15";"Alex";"Alex";"Alex";"Alex";"Alex";"Alex";"Алекс";"Alex";"Alex";"Alex";"Alex";"Alex";"Alex";"Alex";"알렉스";"亚\t历\t克\t斯";"アレックス";"亞\t曆\t克\t斯";;
"coop/Bot16";"Ryo";"Ryo";"Ryo";"Ryo";"Ryo";"Ryo";"Рьо";"Ryo";"Ryo";"Ryo";"Ryo";"Ryo";"Ryo";"Ryo";"료";"亮";"リョウ";"亮";;
"coop/Bot17";"Shinya";"Shinya";"Shinya";"Shinya";"Shinya";"Shinya";"Шинья";"Shinya";"Shinya";"Shinya";"Šinja";"Shinya";"Shinya";"Shinya";"신야";"慎\t也";"シンヤ";"慎\t也";;
"coop/Bot18";"Tetsuo";"Tetsuo";"Tetsuo";"Tetsuo";"Tetsuo";"Tetsuo";"Тетсуо";"Tetsuo";"Tetsuo";"Tetsuo";"Tecuo";"Tetsuo";"Tetsuo";"Tetsuo";"테츠오";"哲\t生";"テツオ";"哲\t生";;
"coop/Bot19";"Shoji";"Shoji";"Shoji";"Shoji";"Shoji";"Shoji";"Сьодзі";"Shoji";"Shoji";"Shoji";"Šoji";"Shoji";"Shoji";"Shoji";"쇼지";"庄\t司";"ショウジ";"莊\t司";;
"coop/Bot20";"Akira";"Akira";"Akira";"Akira";"Akira";"Akira";"Акіра";"Akira";"Akira";"Akira";"Akira";"Akira";"Akira";"Akira";"아키라";"彰";"アキラ";"彰";;
"coop/Bot21";"Yasushi";"Yasushi";"Yasushi";"Yasushi";"Yasushi";"Yasushi";"Ясуші";"Yasushi";"Yasushi";"Yasushi";"Jasuši";"Yasushi";"Yasushi";"Yasushi";"야스시";"康";"ヤスシ";"康";;
"coop/Bot22";"Jun";"Jun";"Giu";"Jun";"Jun";"Jun";"Джун";"Jun";"Jun";"Jun";"Jun";"Jun";"Jun";"Jun";"준";"纯";"ジュン";"純";;
"coop/Bot23";"Kenji";"Kenji";"Kenji";"Kenji";"Kenji";"Kenji";"Кендзі";"Kenji";"Kenji";"Kenji";"Kendži";"Kenji";"Kenji";"Kenji";"켄지";"健\t二";"ケンジ";"健\t二";;
"coop/Bot24";"Kirill";"Kirill";"Kirill";"Kirill";"Kirill";"Kirill";"Кирило";"Kirył";"Kirill";"Kirill";"Kirill";"Kirill";"Kirill";"Kirill";"키릴";"基\t里\t尔";"キリル";"基\t里\t爾";;
"coop/Bot25";"Vasiliy";"Vasiliy";"Vasiliy";"Wasiliy";"Vasiliy";"Vasiliy";"Василь";"Wasilij";"Vasiliy";"Vasiliy";"Vasilij";"Vasiliy";"Vasiliy";"Vasiliy";"바실리";"瓦\t西\t里";"ワシリー";"瓦\t西\t裡";;
"coop/Bot26";"Sergey";"Sergey";"Sergey";"Sergey";"Sergey";"Sergey";"Сергій";"Siergiej";"Sergey";"Sergey";"Sergej";"Sergey";"Sergey";"Sergey";"세르게이";"谢\t尔\t盖";"セルゲイ";"謝\t爾\t蓋";;
"coop/Bot27";"Ivan";"Ivan";"Ivan";"Ivan";"Ivan";"Ivan";"Іван";"Iwan";"Ivan";"İvan";"Ivan";"Ivan";"Ivan";"Ivan";"이반";"伊\t万";"イヴァン";"伊\t萬";;
