"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>"
"missionType/";;;;;;;;;;;;;;
"missions/training_guadalcanal";"Guadalcanal";"Guadalcanal";"Guadalcanal";"Guadalcanal";"Guadalcanal";"Гуадалканал";"Гуадалканал";"Guadalcanal";"Guadalcanal";"Guadalcanal";"과달카날";"瓜\t达\t尔\t卡\t纳\t尔\t岛";"ガダルカナル";"瓜\t達\t爾\t卡\t納\t爾\t島"
"missions/training_honolulu";"Oahu";"Oahu";"Oahu";"Oahu";"Oahu";"Оаху";"Оаху";"Oahu";"Oahu";"Oahu";"오아후";"瓦\t胡\t岛";"オアフ\t島";"瓦\t胡\t島"
"missions/training_midway";"Midway";"Midway";"Midway";"Midway";"Midway";"Мидуэй";"Мідвей";"Midway";"Midway";"Midway";"미드웨이";"中\t途\t岛";"ミッドウェー\t島";"中\t途\t島"
"missions/training_wake_island";"Wake Island";"Atoll de Wake";"Isola di Wake";"Wake Island";"Isla Wake";"Остров Уэйк";"Острів Вейк";"Wyspa Wake";"Ilha Wake";"Wake Adası";"웨이크 섬";"威\t克\t岛";"ウェーク\t島";"威\t克\t島"
"missions/training_britain";"Britain";"Grande-Bretagne";"Gran Bretagna";"Großbritannien";"Gran Bretaña";"Британия";"Британія";"Anglia";"Grã-Bretanha";"Britanya";"영국";"不\t列\t颠";"イギリス";"不\t列\t顛"
"missions/training_berlin";"Berlin";"Berlin";"Berlino";"Berlin";"Berlín";"Берлин";"Берлін";"Berlin";"Berlim";"Berlin";"베를린";"柏\t林";"ベルリン";"柏\t林"
"missions/training_bulge";"Bulge";"Ardennes";"Ardenne";"Ardennen";"Ardenas";"Арденны";"Арденни";"Ardeny";"Ardenas";"Bulge";"벌지";"突\t出\t部";"バルジ";"突\t出\t部"
"missions/training_korsun";"Korsun";"Korsun";"Korsun";"Korsun";"Korsun";"Корсунь";"Корсунь";"Korsuń";"Korsun";"Korsun";"코르순";"科\t尔\t松";"コルスン";"科\t爾\t松"
"missions/training_sicily";"Sicily";"Sicile";"Sicilia";"Sizilien";"Sicilia";"Сицилия";"Сицилія";"Sycylia";"Sicília";"Sicilya";"시칠리아";"西\t西\t里";"シシリー\t島";"西\t西\t里"
"missions/training_stalingrad";"Stalingrad";"Stalingrad";"Stalingrado";"Stalingrad";"Stalingrado";"Сталинград";"Сталінград";"Stalingrad";"Estalinegrado";"Stalingrad";"스탈린그라드";"斯\t大\t林\t格\t勒";"スターリングラード";"史\t達\t林\t格\t勒"
"missions/training_stalingrad_w";"Stalingrad W";"Stalingrad O";"Stalingrado d'inverno";"Stalingrad (West)
";"Stalingrado, invierno";"Сталинград З";"Сталінград З";"Stalingrad zimą";"Estalinegrado Inv.";"Batı Stalingrad";"스탈린그라드 서부";"冬\t季\t斯\t大\t林\t格\t勒";"スターリングラード\t冬";"冬\t季\t史\t達\t林\t格\t勒"
"missions/training_malta";"Malta";"Malte";"Malta";"Malta";"Malta";"Мальта";"Мальта";"Malta";"Malta";"Malta";"몰타";"马\t耳\t他";"マルタ\t島";"馬\t爾\t他"
"missions/training_ruhr";"Ruhr";"Ruhr";"Ruhr";"Ruhrgebiet";"Ruhr";"Рур";"Рур";"Zagłębie Ruhry";"Ruhr";"Ruhr";"루어";"鲁\t尔";"ルールの\t戦い";"魯\t爾"
"missions/training_krymsk";"Kuban";"Kuban";"Kuban";"Kuban";"Kubán";"Кубань";"Кубань";"Kubań";"Kuban";"Kuban";"쿠반";"克\t雷\t姆\t斯\t卡\t亚";"クバン";"庫\t班"
"missions/training_moresby";"Port Moresby";"Port Moresby";"Port Moresby";"Port Moresby";"Puerto Moresby";"Порт-Морсби";"Порт-Морсбі";"Port Moresby";"Porto Moresby";"Port Moresby";"포트 모르즈비";"莫\t尔\t兹\t比\t港";"ポートモレスビー";"莫\t爾\t斯\t貝\t港"
"missions/testFlight";"Test Flight";"Vol test";"Volo di prova";"Testflug";"Vuelo de prueba";"Пробный вылет";"Пробний виліт";"Lot próbny";"Teste de voo";"Test Uçuşu";"시험 비행";"试\t飞";"テスト\t飛行";"試\t飛"
"missions/testSail";"Test Sail";"Essai en mer";"Navigazione di prova";"Testfahrt";"Zarpe de prueba";"Пробный выход";"Пробний вихід";"Rejs próbny";"Testar embarcação";"Gemi Kullanma Testi";"시험 항해";"试\t航";"テスト\t航海";"試\t航"
"missions/testDrive";"Test Drive";"Essai";"Guida di Prova";"Testfahrt";"Prueba de manejo";"Пробный выезд";"Пробний виїзд";"Jazda próbna";"Teste de Condução";"Test Sürüşü";"시험 주행";"试\t驾";"テストドライブ";"試\t駕"
"missions/aerobatic_smoke_preview";"Aerobatic smoke preview";"Aperçu de la fumée acrobatique ";"Anteprima fumi acrobatici";"Vorschau des Kunstflugrauches";"Previsualización del humo acrobático";"Предпросмотр пилотажного дыма";"Попередній перегляд пілотажного диму";"Podgląd dymu akrobatycznego";"Previsualização do fumo acrobático";"Akrobasi dumanı ön izlemesi";"공중곡예용 연막 미리보기";"试\t用\t特\t技\t飞\t行\t烟\t雾";"高等飛行\tスモークプレビュー";"試\t用\t特\t技\t飛\t行\t煙\t霧"
"missions/tutorial_ship_basic";"Ship Control Basics";"Contrôles de base des navires";"Controlli Base Navi";"Grundlagen der Schiffssteuerung";"Controles Básicos de Barcos";"Основы управления кораблём";"Основи управління кораблем";"Podstawy sterowania okrętem";"Elementos básicos de controlo de navios";"Gemi Kontrolü Temelleri";"함선 조종 기초";"舰\t船\t基\t础\t操\t控";"艦船\tコントロールの\t基本";"艦\t船\t基\t礎\t操\t控"
"missions/tutorial_ship_basic/desc";"

A short tutorial on basic ship controls";"

Un court tutoriel sur les commandes de base d'un navire";"

A short tutorial on basic ship controls";"

Ein kurzes Tutorial zur grundlegenden Schiffssteuerung";"

Un breve tutorial sobre los controles básicos del barco";"

Краткий курс обучения основным элементам управления корабля";"

Коротке навчання основам керування кораблем";"

Krótki samouczek na temat podstawowego sterowania okrętem";"

Um breve tutorial sobre os controlos básicos do navio";"

Temel gemi kontrolleri üzerine kısa bir eğitim";"

함선 조종을 위한 단기 기본 훈련 과정";"

A short tutorial on basic ship controls";"

艦船の\t基本操作に\t関する\t短い\tチュートリアル";"

A short tutorial on basic ship controls"
"missions/tutorial_tank_basic";"Tank Control Basics";"Contrôles de base des chars";"Controlli Base Carro Armato";"Grundlagen der Panzersteuerung";"Controles Básicos de Tanques";"Основы управления танком";"Основи управління танком";"Podstawy sterowania czołgiem";"Elementos básicos de controlo de tanques";"Tank Kontrolü Temelleri";"전차 조종 기초";"坦\t克\t基\t础\t操\t控";"戦車\tコントロールの\t基本";"坦\t克\t基\t礎\t操\t控"
"missions/tutorial_tank_basic/desc";"

A short tutorial on basic tank controls";"

Un court tutoriel sur les commandes de base d'un char";"

A short tutorial on basic tank controls";"

Ein kurzes Tutorial zur grundlegenden Panzersteuerung";"

Un breve tutorial sobre los controles básicos del tanque";"

Краткий курс обучения основным элементам управления танком";"

Коротке навчання основам керування танком";"

Krótki samouczek na temat podstawowego sterowania czołgiem";"

Um breve tutorial sobre os controlos básicos do tanque";"

Temel tank kontrolleri üzerine kısa bir eğitim";"

전차 조종을 위한 단기 기본 훈련 과정";"

A short tutorial on basic tank controls";"

戦車の\t基本操作に\t関する\t短い\tチュートリアル";"

A short tutorial on basic tank controls"
"missions/tutorial_tank_basic_v2";"Tank Control Basics";"Contrôles de base des chars";"Controlli Base Carro Armato";"Grundlagen der Panzersteuerung";"Controles Básicos de Tanques";"Основы управления танком";"Основи управління танком";"Podstawy sterowania czołgiem";"Elementos básicos de controlo de tanques";"Tank Kontrolü Temelleri";"전차 조종 기초";"坦\t克\t基\t础\t操\t控";"戦車\tコントロールの\t基本";"坦\t克\t基\t礎\t操\t控"
