"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"missions/_Dom";"[Domination]";"[Domination]";"[Predominio]";"[Vorherrschaft]";"Dominación";"[Превосходство]";"[Панування]";"[Dominacja]";"[Domination]";"[Domination]";"[Nadvláda]";"[Κυριαρχία]";"[Dominasi]";"[ยึดครอง]";"[우세 점령]";"【战\t区\t控\t制\t】";"支配";"【戰\t區\t控\t制\t】";;
"missions/_Dom1";"[Domination #1]";"[Domination #1]";"[Predominio #1]";"[Vorherrschaft #1]";"[Dominación #1]";"[Превосходство #1]";"[Домінування #1]";"[Dominacja #1]";"[Domínio #1]";"[Hakimiyet #1]";"[Nadvláda #1]";"[Domination #1]";"[Dominasi #1]";"[Domination #1]";"[우세 점령 #1]";"【战\t区\t控\t制\t】\t#1";"[支配 #1]";"【戰\t區\t控\t制 #1\t】";;
"missions/_Dom2";"[Domination #2]";"[Domination #2]";"[Predominio #2]";"[Vorherrschaft #2]";"[Dominación #2]";"[Превосходство #2]";"[Домінування #2]";"[Dominacja #2]";"[Domínio #2]";"[Hakimiyet #2]";"[Nadvláda #2]";"[Domination #2]";"[Dominasi #2]";"[Domination #2]";"[우세 점령 #2]";"【战\t区\t控\t制\t】\t#2";"[支配 #2]";"【戰\t區\t控\t制 #2\t】";;
"missions/_Dom3";"[Domination #3]";"[Domination #3]";"[Predominio #3]";"[Vorherrschaft #3]";"[Dominación #3]";"[Превосходство #3]";"[Домінування #3]";"[Dominacja #3]";"[Domínio #3]";"[Hakimiyet #3]";"[Nadvláda #3]";"[Domination #3]";"[Dominasi #3]";"[Domination #3]";"[우세 점령 #3]";"【战\t区\t控\t制\t】\t#3";"[支配 #3]";"【戰\t區\t控\t制 #3\t】";;
"missions/_Dom/desc";"

In [Domination] mode teams fight for control over three strategic points in the location.

Ground forces objectives:
- Capture and keep the advantage in points captured ╸,╹,╺";"

En mode [Domination], les équipes s'affrontent pour le contrôle des trois points stratégiques de la zone.

Objectifs des forces terrestres :

-Capturez et conservez des points capturés ╸, ╹, ╺";"

In modalità [Predominio] le squadre combattono per il controllo di tre punti strategici sulla mappa.

Obbiettivi Esercito:

- Cattura e mantieni il vantaggio sui punti ╸,╹,╺";"

In 'Vorherrschaft' kämpfen die Teams um die Kontrolle über drei Zielgebiete auf der Karte.

Missionsziele:
- Erobere und Halte die Zielgebiete ╸,╹,╺";"

En modo [Domination] los equipos luchan por el control de tres puntos estratégicos en el mapa.

Objetivos de las fuerzas de tierra:
- Capturar y mantener la ventaja por puntos capturados ╸,╹,╺";"

В режиме [Превосходство] команды сражаются за контроль над тремя стратегическими точками локации.

Задачи сухопутных войск:
- Захватите и удержите превосходство по точкам ╸,╹,╺";"

В режимі [Панування] команди б'ються за контроль над трьома стратегічними точками локації.

Задачі сухопутних військ:
- Захопіть стратегічні точки та зберігайте перевагу утримуючи їх ╸,╹,╺";"

W trybie [Dominacja] drużyny walczą o kontrolę nad trzema punktami strategicznymi lokacji.

Zadania wojsk lądowych:
- Zajmij i utrzymaj przewagę w zajętych punktach ╸, ╹, ╺";"

Em modo [Domination] as equipes combatem pelo controlo de três pontos estratégicos.

Objetivos das forças terrestres:
- Capturar e assegurar a vantagem via pontos capturados ╸,╹,╺";"

[Domination] modunda takımlar konumun üç stratejik noktasının kontrolü için savaşır.

Kara kuvvetleri görevleri:
- Noktaları ele geçir ve avantajı elinde tut ╸,╹,╺";"Při získávání nadvlády bojují armády o ovládnutí strategických oblastí.

Úkoly pozemních sil:
- Obsaďte a udržte oblasti ╸,╹,╺";"

Στη λειτουργία [Κυριαρχία] οι ομάδες μάχονται για τον έλεγχο τριών στρατηγικών σημείων στην τοποθεσία.

Στόχοι των χερσαίων δυνάμεων:
- Κατάληψη και διατήρηση του πλεονεκτήματος στα σημεία που έχουν καταληφθεί ╸,╹,╺";"

Dalam mode [Dominasi], tim akan bertarung untuk menguasai tiga titik strategis di lokasi.

Target angkatan darat:
- Merebut dan mempertahankan dominasi di titik-titik yang direbut ╸, ╹, ╺.";"

ในโหมด [ยึดครอง] ทีมจะสู้กันเพื่อยึดครองจุดยุทธศาสตร์สามแห่งในสถานที่

เป้าหมายของทัพบก:
- ยึดและรักษาการครอบครองตำแหน่ง ╸,╹,╺";"

[우세 점령] 모드에서 각 편은 세 개의 전략적 지점을 점령하기 위해 싸우게 된다.

지상군 목표:
- ╸,╹,╺ 지점을 점령하고 우세를 유지하라";"

在\t【战\t区\t控\t制\t】\t模\t式\t中，\t玩\t家\t的\t主\t要\t任\t务\t是\t占\t领\t并\t守\t住\t战\t区。\t当\t一\t方\t占\t领\t了\t更\t多\t战\t区\t时，\t另\t一\t方\t便\t会\t逐\t渐\t减\t分。\t分\t数\t耗\t尽\t的\t一\t方\t落\t败。

任\t务\t目\t标：
• 摧\t毁\t敌\t方\t的\t地\t面\t部\t队
• 攻\t占\t并\t防\t守\t战\t区 ╸,╹,╺";"

[支配] モードでは、\tチーム\t同士で\t3ヵ\t所の\t地上\tゾーンの\t支配権をめぐって\t戦います。\t

地上部隊の\t目標: 
- ゾーン ╸,╹,╺ を\t占領して\t維持せよ";"

在\t【戰\t區\t控\t制\t】\t模\t式\t中，\t玩\t家\t的\t主\t要\t任\t務\t是\t佔\t領\t並\t守\t住\t戰\t區。\t當\t一\t方\t佔\t領\t了\t更\t多\t戰\t區\t時，\t另\t一\t方\t便\t會\t逐\t漸\t減\t分。\t分\t數\t耗\t盡\t的\t一\t方\t落\t敗。

任\t務\t目\t標：
• 摧\t毀\t敵\t方\t的\t地\t面\t部\t隊
• 攻\t占\t並\t防\t守\t戰\t區 ╸,╹,╺";;
"missions/_Conq";"[Conquest]";"[Conquest]";"[Conquista]";"[Eroberung]";"Conquista";"[Захват]";"[Захоплення]";"[Podbój]";"[Conquest]";"[Fetih]";"[Obsazování]";"[Κατάκτηση]";"[Penaklukan]";"[พิชิต]";"[거점 점령]";"【战\t区\t争\t夺\t】";"制圧";"【戰\t區\t爭\t奪\t】";;
"missions/_Conq/desc";"

In [Conquest] mode teams fight for control over one strategic point.

Ground forces objectives:
- Capture and hold the point ╸";"

En mode [Conquest], chaque équipe combat pour le contrôle d'un point stratégique.

Objectifs des forces terrestres :
- Capturer et maintenir le point ╸";"

In modalità [Conquista] le squadre combattono per il controllo di un punto strategico.

Obbiettivi Esercito:
- Cattura e mantieni il punto ╸";"

In 'Eroberung' kämpfen die Teams um die Kontrolle über ein Zielgebiet auf der Karte.

Missionsziele:
- Erobere und Halte das Zielgebiet ╸";"

En modo [Conquest] los equipos luchan por el control de un punto estratégico.

Objetivos de las fuerzas de tierra:
- Capturar y asegurar el punto ╸";"

В режиме [Захват] команды сражаются за контроль над одной стратегической точкой.

Задачи сухопутных войск:
- Захватить и удержать под контролем точку ╸";"

В режимі [Захоплення] команди б'ються за контроль над однією стратегічною точкою.

Задачі сухопутних військ:
- Захопіть і утримайте стратегічну точку ╸";"

W trybie [Podbój] drużyny walczą o kontrolę nad pojedynczym punktem strategicznym.

Cele wojsk lądowych:
- Zajmij i utrzymaj punkt strategiczny –";"

E modo [Conquest] as equipes lutam pelo controlo sobre um ponto estratégico.

Objetivos das forças terrestres:
- Capturar e segurar o ponto ╸";"

[Fetih] modunda takımlar bir stratejik noktanın kontrolü için savaşır.

Kara kuvvetleri görevleri:
-Noktayı ele geçir ve elde tut ╸";"Při obsazování bojují armády o ovládnutí pozemní oblasti.

Úkoly pozemních sil:
- Obsaďte a udržte oblast ╸";"

Στη λειτουργία [Κατάκτηση] οι ομάδες μάχονται για τον έλεγχο ενός στρατηγικού σημείου.

Στόχοι των χερσαίων δυνάμεων:
- Κατάληψη και διατήρηση του σημείου ╸";"

Dalam mode [Penaklukan], tim akan bertarung untuk menguasai satu titik strategis.

Target angkatan darat:
- Merebut dan mempertahankan titik ╸";"

ในโหมด [พิชิต] ทีมจะสู้กันเพื่อยึดครองจุดยุทธศาสตร์หนึ่งแห่ง

เป้าหมายของทัพบก:
- ยึดและรักษาการครอบครองตำแหน่ง ╸";"[거점 점령] 모드에서 각 편은 하나의 전략적 지점을 점령하기 위해 싸우게 된다.

지상군 목표:
- ╸ 지점을 점령하고 사수하라";"

在\t【战\t区\t争\t夺\t】\t模\t式\t中，\t玩\t家\t的\t主\t要\t任\t务\t是\t占\t领\t并\t守\t住\t战\t区。\t丧\t失\t战\t区\t的\t一\t方\t会\t逐\t渐\t减\t分。\t分\t数\t耗\t尽\t的\t一\t方\t落\t败。
本\t任\t务\t的\t重\t生\t基\t地\t在\t战\t斗\t开\t始\t后\t的\t两\t分\t钟\t内\t不\t可\t用。

任\t务\t目\t标：
• 摧\t毁\t敌\t方\t的\t地\t面\t部\t队
• 攻\t占\t并\t防\t守\t战\t区 ╸";"

[制圧] モードでは、\tチーム\t同士で\t1\tカ\t所の\t地上\tゾーンの\t支配権をめぐって\t戦います。\t

 地上部隊の\t目標:
- ゾーン ╸ を\t占領して\t維持せよ";"

在\t【戰\t區\t爭\t奪\t】\t模\t式\t中，\t玩\t家\t的\t主\t要\t任\t務\t是\t佔\t領\t並\t守\t住\t戰\t區。\t喪\t失\t戰\t區\t的\t一\t方\t會\t逐\t漸\t減\t分。\t分\t數\t耗\t盡\t的\t一\t方\t落\t敗。

任\t務\t目\t標：
• 摧\t毀\t敵\t方\t的\t地\t面\t部\t隊
• 攻\t占\t並\t防\t守\t戰\t區 ╸";;
"missions/_Bttl";"[Battle]";"[Battle]";"[Battaglia]";"[Schlacht]";"Batalla";"[Сражение]";"[Битва]";"[Bitwa]";"[Battle]";"[Muharebe]";"[Bitva]";"[Μάχη]";"[Pertempuran]";"[ต่อสู้]";"[전투]";"【战\t区\t攻\t陷\t】";"バトル";"【戰\t區\t攻\t陷\t】";;
"missions/_Bttl/desc";"

In [Battle] mode, each of the teams begins with one strategic point captured. If one of the teams manages to re-capture another team's point, it wins instantly.

Ground forces objectives:
- Capture the enemy point <color=@teamRedColor>╶</color>
- Prevent the capture of the allied point <color=@teamBlueColor>╶</color>";"

En mode [Battle], chaque équipe commence avec un point stratégique capturé. Si l'une des équipes arrive à capturer le point de l'autre équipe, elle gagne immédiatement.

Objectifs des forces terrestres :
- Capturer le point ennemi <color=@teamRedColor>╶</color>
- Empêcher la capture du point allié <color=@teamBlueColor>╶</color>";"

In modalità [Battaglia] ogni squadra inizia con un punto strategico catturato. Se una delle due squadre ricattura il punto, vince istantaneamente.

Obbiettivi Esercito:
- Cattura il punto nemico <color=@teamRedColor>╶</color>
- Impedisci la cattura del punto alleato <color=@teamBlueColor>╶</color>";"

In 'Schlacht' starten beide Teams mit je einem verbündeten Gebiet. Ein Team gewinnt, indem es das feindliche Zielgebiet erobert.

Missionsziele:
- Erobere das feindliche Zielgebiet <color=@teamRedColor>╶</color>
- Halte das verbündete Gebiet <color=@teamBlueColor>╶</color>";"

En modo [Battle] cada equipo empieza con un punto estratégico capturado. Si uno de los equipos consigue capturar el punto contrario, gana instantáneamente.

Objetivos de las fuerzas terrestres:
- Capturar el punto enemigo <color=@teamRedColor>╶</color>
- Prevenir la captura del punto aliado <color=@teamBlueColor>╶</color>";"

В режиме [Сражение] команды изначально имеют по одной стратегической точке. Захват точки, принадлежащей противоположной команде, приносит мгновенную победу.

Задачи сухопутных войск:
- Захватите вражескую точку <color=@teamRedColor>╶</color>
- Не допустите захвата союзной точки <color=@teamBlueColor>╶</color>";"

В режимі [Битва] команди з самого початку мають по одній стратегічній точці. Захоплення точки, що належить протилежній команді, приносить миттєву перемогу.

Задачі сухопутних військ:
- Захопіть точку ворога <color=@teamRedColor>╶</color>
- Не допустіть захоплення союзної точки <color=@teamBlueColor>╶</color>";"

W trybie [Bitwa] dwa zespoły walczą o przejęcie punktu strategicznego. Wygrywa drużyna, której uda się przejąć wrogą strefę.

Cele wojsk lądowych:
- Zajmij wrogi punkt <color=@teamRedColor>╶</color>
- Nie pozwól na zajęcie sojuszniczej strefy <color=@teamBlueColor>╶</color>";"

Em modo [Battle] cada uma das duas equipes começa com um ponto estratégico capturado. Se uma das equipas recapturar a zona da adversária, ganha instantaneamente.

Objetivos das forças terrestres:
- Capturar o ponto inimigo <color=@teamRedColor>╶</color>
- Evitar a captura do ponto aliado <color=@teamBlueColor>╶</color>";"

[Muharebe] modunda her takım bir stratejik nokta ele geçirilmiş olarak başlar. Eğer takımlardan biri diğer takımın bölgesini ele geçirirse hemen kazanır.

Kara kuvvetleri görevleri:
-Düşman noktasını ele geçir<color=@teamRedColor>-</color>
-Müttefik noktasının ele geçirilmesini engelle <color=@teamBlueColor>-</color>";"V bitvě začíná každá armáda s obsazenou oblastí. Jestliže se jedné z nich podaří obsadit oblast nepřítele, okamžitě vyhrává.

Úkoly pozemních sil:
- Obsaďte nepřátelskou oblast <color=@teamRedColor>╶</color>
- Udržte spojeneckou oblast <color=@teamBlueColor>╶</color>";"

Στη λειτουργία [Μάχη], κάθε ομάδα ξεκινά έχοντας καταλάβει ένα στρατηγικό σημείο. Αν μία από τις ομάδες καταφέρει να καταλάβει ξανά το σημείο μιας άλλης ομάδας, κερδίζει αμέσως.

Στόχοι των χερσαίων δυνάμεων:
- Κατάληψη του εχθρικού σημείου <color=@teamRedColor>╶</color>
- Να μην καταληφθεί το συμμαχικό σημείο <color=@teamBlueColor>╶</color>";"

Dalam mode [Pertempuran], masing-masing tim akan memulai dengan merebut satu titik strategis. Jika salah satu tim berhasil merebut kembali titik tim lain, maka tim itu akan menang secara instan.

Target angkatan darat:
- Merebut titik musuh <color=@teamRedColor>╶</color>
- Mencegah perebutan titik sekutu <color=@teamBlueColor>╶</color>";"

ในโหมด [ต่อสู้] แต่ละทีมจะเริ่มต้นโดยยึดครองจุดยุทธศาสตร์ฝ่ายละจุด หากทีมใดทีมหนึ่งยึดตำแหน่งจากอีกทีมได้ก็จะชนะทันที

เป้าหมายของทัพบก:
- ยึดตำแหน่งของศัตรู <color=@teamRedColor>╶</color>
- ป้องกันไม่ให้ตำแหน่งของพันธมิตรถูกยึด <color=@teamBlueColor>╶</color>";"

[전투] 모드에서 각 편은 하나씩의 전략적 지점을 점령한 채로 시작한다. 만약 어떤 편이 다른 편의 지점을 점령하면 곧바로 승리하게 된다.

지상군 목표:
- 적의 지점(<color=@teamRedColor>╶</color>) 을 점령하라
- 아군 지점(<color=@teamBlueColor>╶</color>) 이 점령되지 않게 하라";"

在\t【战\t区\t攻\t陷\t】\t模\t式\t中，\t开\t局\t时\t双\t方\t各\t持\t一\t初\t始\t战\t区。\t此\t后，\t成\t功\t占\t领\t对\t方\t战\t区\t的\t一\t方\t立\t即\t获\t胜。

任\t务\t目\t标：
• 摧\t毁\t敌\t方\t的\t地\t面\t部\t队
• 防\t守\t己\t方\t战\t区 <color=@teamBlueColor>\t╶\t</color>
• 攻\t占\t敌\t方\t战\t区 <color=@teamRedColor>\t╶\t</color>";"

[戦闘] モードでは\t各\tチームは\t制圧済みの\t地点から\tスタートします。\tいずれかの\tチームが\t相手\tチームの\tゾーンを\t再制圧できると、\t制圧した\tチームの\t勝利となります。\t

地上部隊の\t目標: 
- 敵\tチームの\tゾーン <color=@teamRedColor>╶</color> を\t占領せよ
- 味方\tチームの\tゾーン <color=@teamBlueColor>╶</color> を\t防衛せよ";"

在\t【戰\t區\t攻\t陷\t】\t模\t式\t中，\t開\t局\t時\t雙\t方\t各\t持\t一\t初\t始\t戰\t區。\t此\t後，\t成\t功\t佔\t領\t對\t方\t戰\t區\t的\t一\t方\t立\t即\t獲\t勝。

任\t務\t目\t標：
• 摧\t毀\t敵\t方\t的\t地\t面\t部\t隊
• 防\t守\t己\t方\t戰\t區 <color=@teamBlueColor>\t╶\t</color>
• 攻\t占\t敵\t方\t戰\t區 <color=@teamRedColor>\t╶\t</color>";;
"missions/_Conq1";"[Conquest #1]";"[Conquest #1]";"[Conquista] #1";"[Eroberung #1]";"[Conquista] #1";"[Захват #1]";"[Захоплення №1]";"[Podbój #1]";"[Conquest #1]";"[Fetih #1]";"[Obsazování #1]";"[Κατάκτηση #1]";"[Penaklukan #1]";"[พิชิต #1]";"[거점 점령 #1]";"【战\t区\t争\t夺\t】\t#1";"[制圧] #1";"【戰\t區\t爭\t奪\t】\t#1";;
