"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"charServer/chapter/subscriptions";"Subscriptions";"Abonnements";"Iscrizioni";"Abonnements";"Subscripciones";"Подписки";"Підписки";"Abonamenty";"Assinaturas";"Üyelikler";"Předplatné";"Συνδρομές";"Langganan";"สมัครสมาชิก";"구독";"订\t阅";"サブスクリプション";"訂\t閱";;
"charServer/chapter/subscriptions/desc";"Subscriptions - various improvements, active for a limited period of time.";"Abonnements - diverses améliorations, actives pendant une période de temps limitée.";"Iscrizioni: vari miglioramenti, attivi per un periodo di tempo limitato.";"Abonnements - verschiedene Verbesserungen, die für einen gewissen Zeitraum aktiv sind.";"Subscripciones: diversas mejoras, activas durante un período de tiempo limitado.";"Подписки — различные улучшения, действующие ограниченное количество времени.";"Підписки – різноманітні покращення, що діють тимчасово.";"Abonamenty - różne ulepszenia, aktywne przez ograniczony okres czasu.";"Assinaturas - várias melhorias, ativo durante um período limitado de tempo.";"Üyelikler - sınırlı bir süre için etkin olan çeşitli geliştirmeler.";"Předplatné - různá vylepšení, aktivní po omezenou dobu";"Συνδρομές - διάφορες βελτιώσεις, ενεργές για περιορισμένο χρονικό διάστημα.";"Langganan - berbagai peningkatan, aktif untuk jangka waktu terbatas.";"สมัครสมาชิก - การปรับปรุงหลายประการ ส่งผลตามระยะเวลาจำกัด";"구독하기 - 다양한 기능향상 제공, 제한된 시간동안만 활성화";"订\t阅\t—\t—\t各\t种\t游\t戏\t改\t进，\t仅\t在\t一\t段\t时\t间\t内\t有\t效。";"サブスクリプション ―さまざまな\t改良版、\t限定期間のみ\tアクティブ。";"訂\t閱\t—\t—\t各\t種\t遊\t戲\t改\t進，\t僅\t在\t一\t段\t時\t間\t內\t有\t效。";;
"charServer/chapter/eagles";"Golden Eagles";"Golden Eagles";"Monete-aquila";"Golden Eagles";"Águilas de oro";"Золотые орлы";"Золоті орли";"Złote orły";"Golden Eagles";"Altın Kartal";"GE (Golden Eagles)";"Χρυσοί Αετοί";"Elang Emas";"อินทรีทอง";"골든 이글";"金\t鹰";"ゴールデンイーグル";"金\t鷹";;
"charServer/chapter/eagles/desc";"<color=@currencyGoldColor>▽</color> (Golden Eagles) is the currency which can be spent on premium accounts, vehicles and other premium content, as well as <color=@currencyWpColor>▻</color> (Silver Lions).";"<color=@currencyGoldColor>▽</color> (Golden Eagles) est la monnaie qui peut être dépensée pour acheter un compte premium, des véhicules et d'autres contenus premium, ainsi que des <color=@currencyWpColor>▻</color> (Lions).";"<color=@currencyGoldColor>▽</color> (Aquile d'Oro) è la valuta spendibile per account premium, mezzi e altri contenuti premium, oltre che per
<color=@currencyWpColor>▻</color> (Leoni Argentati).";"<color=@currencyGoldColor>▽</color> (Golden Eagles) ist die Währung, die für Premium-Konten, Premium-Fahrzeuge und andere Premium-Inhalte sowie für <color=@currencyWpColor>▻</color> (Silver Lions) ausgegeben werden kann.";"<color=@currencyGoldColor>▽</color> (Águilas de Oro) es la moneda que se puede gastar en cuentas premium, vehículos y otro contenido premium, así como en <color=@currencyWpColor>▻</color> (Leones de Plata).";"<color=@currencyGoldColor>▽</color> (Золотые орлы) — валюта, за которую можно приобрести Премиум-аккаунт, технику и прочий премиум-контент, а также <color=@currencyWpColor>▻</color> (Серебряные львы).";"<color=@currencyGoldColor>▽</color> (Золоті орли) - валюта, за яку можна придбати Преміум-акаунт, техніку та інший преміум-контент, а також <color=@currencyWpColor>▻</color> (Срібні леви).";"<color=@currencyGoldColor>▽</color> (Złote Orły) to waluta, którą można wydawać na konta premium, maszyny oraz inną zawartość premium, jak również na <color=@currencyWpColor>▻</color> (Lwy).";"<color=@currencyGoldColor>▽</color> (Golden Eagles) é a moeda que pode ser gasta em contas premium, veículos e outro conteúdo premium, assim como <color=@currencyWpColor>▻</color> (Silver Lions).";"<color=@currencyGoldColor>▽</color> (Altın Kartal) premium hesaplar, araçlar, diğer premium içerik ve <color=@currencyWpColor>▻</color> (Gümüş Aslan) almak için kullanılabilen para birimidir.";"<color=@currencyGoldColor>▽</color> (Ge) je měna, která může být použita na nákup prémiového účtu, licencí nebo jiného prémiového obsahu, stejně tak na nákup <color=@currencyWpColor>▻</color> (Sl).";"<color=@currencyGoldColor>▽</color> (Χρυσοί Αετοί) είναι το νόμισμα που μπορεί να δαπανηθεί σε premium λογαριασμούς, οχήματα και άλλο premium περιεχόμενο, καθώς και για <color=@currencyWpColor>▻</color> (Ασημένια Λιοντάρια).";"<color=@currencyGoldColor>▽</color> (Elang Emas) adalah mata uang yang bisa digunakan untuk membeli akun premium, kendaraan, dan konten premium lainnya, serta <color=@currencyWpColor>▻</color> (Singa Perak).";"<color=@currencyGoldColor>▽</color> (อินทรีทอง) เป็นสกุลเงินที่สามารถใช้กับบัญชีพรีเมียม พาหนะพรีเมียม และเนื้อหาพรีเมียมอื่นๆ รวมถึงแลกเป็น <color=@currencyWpColor>▻</color> (สิงโตเงิน) ด้วย";"<color=@currencyGoldColor>▽</color>(골든 이글) 은 프리미엄 계정, 차량 및 다른 프리미엄 콘텐츠뿐만 아니라 <color=@currencyWpColor>▻</color>(라이온) 구매를 위해 사용할 수 있는 게임 머니입니다.";"<color=@currencyGoldColor>\t▽\t</color>\t（金\t鹰）\t是\t游\t戏\t中\t的\t高\t级\t货\t币，\t可\t用\t于\t购\t买\t高\t级\t账\t号、\t高\t级\t载\t具\t等\t进\t阶\t内\t容。\t金\t鹰\t也\t能\t兑\t换 <color=@currencyWpColor>\t▻\t</color>\t（银\t狮）。";"<color=@currencyGoldColor>▽</color> （ゴールデンイーグル）\tは\tプレミアムアカウント、\t機体、\tその\t他の\tプレミアムコンテンツだけでなく<color=@currencyWpColor>▻</color> （シルバーライオン）\tの\t購入にも\t使用することができる\t通貨です。";"<color=@currencyGoldColor>\t▽\t</color> (金\t鷹) 是 War Thunder 的\t高\t級\t貨\t幣，\t可\t用\t於\t購\t買\t高\t級\t帳\t號、\t高\t級\t載\t具\t等\t進\t階\t內\t容。\t金\t鷹\t也\t能\t兌\t換 <color=@currencyWpColor>\t▻\t</color> (銀\t獅)。";;
"charServer/chapter/warpoints";"Silver Lions";"Lions";"Leoni Argentati";"Silver Lions";"Leones";"Серебряные львы";"Срібні леви";"Lwy";"Silver Lions";"Gümüş Aslan";"SL (Silver Lions)";"Ασημένια Λιοντάρια";"Singa Perak";"สิงโตเงิน";"라이온";"银\t狮";"ライオン";"銀\t獅";;
"charServer/chapter/warpoints/desc";"<color=@currencyWpColor>▻</color> (Silver Lions) is the in-game currency which can be spent on vehicles, armament, immediate repair etc. The <color=@currencyWpColor>▻</color> (Silver Lions) cannot be spent on premium content.";"<color=@currencyWpColor>▻</color> (Lions) est la monnaie du jeu pouvant être dépensée pour acheter des véhicules, de l'armement, une réparation immédiate, etc.. Les <color=@currencyWpColor>▻</color> (Lions) ne peuvent pas être dépensés pour du contenu premium.";"I <color=@currencyWpColor>▻</color> (Leoni Argentati) sono la valuta del gioco; è possibile spenderli per l'acquisto di unità, armamenti, riparazioni immediate e così via. I <color=@currencyWpColor>▻</color> (Leoni Argentati) non possono essere utilizzati per l'acquisto di contenuti premium.";"<color=@currencyWpColor>▻</color> (Silver Lions) ist die spielinterne Währung, die für Fahrzeuge, Munition, sofortige Reparaturen und andere Dinge ausgegeben werden kann. Mit <color=@currencyWpColor>▻</color> können keine Premium-Inhalte erworben werden.";"Los <color=@currencyWpColor>▻</color> (Leones de Plata) son la moneda del juego, que se puede gastar en aeronaves, armamento, reparaciones inmediatas, etc. Los <color=@currencyWpColor>▻</color> (Leones de Plata) no se pueden gastar en contenidos premium.";"<color=@currencyWpColor>▻</color> (Серебряные львы) — внутриигровая валюта, за которую можно покупать технику, боеприпасы, ускоренный ремонт и прочее. За <color=@currencyWpColor>▻</color> (Серебряные львы) нельзя приобрести премиум-контент.";"<color=@currencyWpColor>▻</color> (Срібні леви) - внутрішньоігрова валюта, за яку можна купувати техніку, боєприпаси, прискорений ремонт та інше. За <color=@currencyWpColor>▻</color> (Срібні леви) не можна придбати преміум-контент.";"<color=@currencyWpColor>▻</color> (Lwy) to waluta, którą można wydawać na nowe pojazdy, samoloty, okręty, uzbrojenie czy natychmiastowe naprawy itp. <color=@currencyWpColor>▻</color> (Lwy) nie mogą być wydawane na zawartość premium.";"<color=@currencyWpColor>▻</color> (Silver Lions) é a moeda que pode ser gasta em veículos, armamento, armamento, reparações imediatas, etc. Os <color=@currencyWpColor>▻</color> (Silver Lions) não podem ser gastos em conteúdo premium.";"<color=@currencyWpColor>▻</color> (Aslan), uçak, teçhizat, anlık onarım, vs. almak için kullanılabilen oyun içi para birimidir. <color=@currencyWpColor>▻</color> (Aslan) premium içerik için harcanamaz.";"<color=@currencyWpColor>▻</color> (Sl) je herní měna, kterou lze utratit za letadla a tanky, výzbroj, okamžité opravy atd. <color=@currencyWpColor>▻</color> (Sl) nelze utrácet za prémiový obsah.";"<color=@currencyWpColor>▻</color> (Ασημένια Λιοντάρια) είναι το νόμισμα του παιχνιδιού που μπορεί να δαπανηθεί για οχήματα, οπλισμό, άμεση επισκευή κ.λπ. Δεν μπορείτε να δαπανήσετε τα <color=@currencyWpColor>▻</color> (Ασημένια Λιοντάρια) σε premium περιεχόμενο.";"<color=@currencyWpColor>▻</color> (Singa Perak) adalah mata uang dalam game yang bisa digunakan untuk membeli kendaraan, persenjataan, perbaikan langsung, dll. <color=@currencyWpColor>▻</color> (Singa Perak) tidak bisa dipakai untuk konten premium.";"<color=@currencyWpColor>▻</color> (สิงโตเงิน) เป็นสกุลเงินภายในเกมที่สามารถใช้กับพาหนะ อาวุธ การซ่อมแซมเร่งด่วน ฯลฯ ไม่สามารถใช้ <color=@currencyWpColor>▻</color> (สิงโตเงิน) กับเนื้อหาพรีเมียมได้";"<color=@currencyWpColor>▻</color>(라이온)은 장비, 무장, 즉각수리 등을 위해 사용할 수 있는 게임 머니입니다. 하지만 <color=@currencyWpColor>▻</color>으로 프리미엄 콘텐츠를 구매할 수는 없습니다.";"<color=@currencyWpColor>\t▻\t</color>\t（银\t狮）\t是\t游\t戏\t中\t的\t基\t础\t货\t币，\t可\t用\t于\t购\t买\t银\t币\t载\t具、\t武\t器\t装\t备\t与\t支\t付\t维\t修\t费\t用\t等\t用\t途。\t<color=@currencyWpColor>\t▻\t</color>\t（银\t狮）\t不\t能\t购\t买\t进\t阶\t内\t容。";"<color=@currencyWpColor>▻</color>（シルバーライオン）\tは\t機体、\t武装、\t緊急修理等に\t使用できる\t通貨です。\t <color=@currencyWpColor>▻</color>（シルバーライオン）\tは\tプレミアムコンテンツには\t使用できません。";"<color=@currencyWpColor>\t▻\t</color>\t（銀\t獅）\t是 War Thunder 的\t基\t礎\t貨\t幣，\t可\t用\t於\t購\t買\t飛\t機、\t武\t器\t裝\t備\t和\t改\t裝\t項\t目\t等。 <color=@currencyWpColor>\t▻\t</color>\t（銀\t獅）\t不\t能\t購\t買\t進\t階\t內\t容。";"COMMON FOR PLANES AND TANKS";
"charServer/chapter/warpoints/expireWarning";"Please note that the exchanged Silver Lions will be valid for {days} days. Exchanged Silver Lions will be spent first.";"Veuillez noter que les Lions échangées seront valables pendant {days} jours. Les Lions échangées seront dépensées en premier.";"I Leoni Argentati scambiati saranno validi per {days} giorni. I leoni scambiati saranno spesi per primi.";"Bitte beachte, dass die getauschten Lions für {days} Tage gültig sind. Getauschte Lions werden zuerst ausgegeben.";"Tenga en cuenta que los leones intercambiados serán validos durante {days} días. Los leones intercambiados serán los primeros en gastarse.";"Имейте в виду, что обменянные Серебряные львы будут действительны в течение {days} дней. Обменянные Серебряные львы будут потрачены в первую очередь.";"Майте на увазі, що обміняні Срібні леви будуть дійсні протягом {days} днів. Обміняні Срібні леви будуть витрачені в першу чергу.";"Należy pamiętać, że wymienialne Lwy będą ważne przez {days} dni. Wymienialne Lwy zostaną wydane w pierwszej kolejności.";"Por favor, note que os Silver Lions trocados são válidos por {days} dias. Os Silver Lions trocados serão gastos primeiro.";"Unutmayın ki takas edilen Gümüş Aslanlar {days} gün için geçerli olacak. Takas edilen Gümüş Aslanlar önce harcanır.";"Vezměte prosím na vědomí, že vyměněné SL budou platné {days} dny a budou utraceny jako první";"Να θυμάστε ότι τα Ασημένια Λιοντάρια που έχετε ανταλλάξει ισχύουν για {days} ημέρες. Τα Ασημένια Λιοντάρια που έχετε ανταλλάξει θα δαπανηθούν πρώτα.";"Ingat, Singa Perak yang ditukarkan akan berlaku selama {days} hari. Singa Perak yang ditukarkan akan dipakai dulu.";"โปรดจำไว้ว่าสิงโตเงินที่แลกเปลี่ยนแล้วจะใช้งานได้ {days} วัน ระบบจะเลือกใช้สิงโตเงินที่แลกเปลี่ยนมาก่อนสิงโตเงินในเกม";"환전한 라이온은 {days} 일 동안 사용 가능합니다. 환전한 라이온이 먼저 소모됩니다.";"请\t注\t意\t兑\t换\t获\t得\t的\t银\t狮\t存\t在 {days} 天\t的\t有\t效\t期\t限。\t在\t需\t要\t花\t费\t银\t狮\t的\t场\t合\t将\t会\t优\t先\t消\t耗\t兑\t换\t的\t银\t狮。";"交換した\tシルバーライオンは {days} 日間のみ\t有効となりますのでご\t注意ください。\tまた、\tシルバーライオンは\t交換で\t所得したものから\t最初に\t使用されます。";"請\t注\t意\t兌\t換\t獲\t得\t的\t銀\t獅\t存\t在 {days} 天\t的\t有\t效\t期\t限。\t在\t需\t要\t花\t費\t銀\t獅\t的\t場\t合\t將\t會\t優\t先\t消\t耗\t兌\t換\t的\t銀\t獅。";;
"charServer/entitlement/PremiumAccount";"Premium Account";"Compte premium";"Account premium";"Premium-Konto";"Cuenta premium";"Премиум-аккаунт";"Преміум-акаунт";"Konto premium";"Conta Premium";"Premium Hesap";"Prémiový účet";"Λογαριασμός Premium";"Akun Premium";"บัญชีพรีเมียม";"프리미엄 계정";"高\t级\t账\t号";"プレミアムアカウント";"高\t級\t帳\t號";;
"charServer/entitlement/PremiumAccount/desc";"* {bonusPlayerExp} ▉ (Player experience) in all game modes
* {bonusUnitExp} ▉ (Unit experience) in all game modes
* {bonusWp} ▻ (Silver Lions) reward in all game modes
* {bonusGold} ▽ (Gold Eagles) reward in aviation campaign";"* {bonusPlayerExp} ▉ (Expérience de joueur) dans tous les modes de jeu
* {bonusUnitExp} ▉ (Expérience d'unité) dans tous les modes de jeu
* {bonusWp} ▻ (Silver Lions) de récompense dans tous les modes de jeu
* {bonusGold} ▽ (Golden Eagles) récompense dans la campagne des avions";"* {bonusPlayerExp} ▉ (Esperienza Giocatore) in tutte le modalità di gioco
* {bonusUnitExp} ▉ (Esperienza Unità) in tutte le modalità di gioco
* {bonusWp} ▻ (Leoni Argentati) ricompensa in tutte le modalità di gioco
* {bonusGold} ▽ (Aquile Dorate) ricompensa nella campagna aerea";"* {bonusPlayerExp} ▉ (Spielererfahrung) in allen Spielmodi
* {bonusUnitExp} ▉ (Einheitenerfahrung) in allen Spielmodi
* {bonusWp} ▻ (Silver Lions) Belohnung in allen Spielmodi
* {bonusGold} ▽ (Golden Eagles) Belohnung in der Flugkampagne";"* {bonusPlayerExp} ▉ (Experiencia de jugador) en todos los modos de juego
* {bonusUnitExp} ▉ (Experiencia de unidad) en todos los modos de juego
* {bonusWp} ▻ (Leones de Plata) de recompensa en todos los modos de juego
* {bonusGold} ▽ (Águilas de Oro) de recompensa en campaña de aviación";"* {bonusPlayerExp} ▉ (Очков опыта) во всех игровых режимах
* {bonusUnitExp} ▉ (Опыт техники) к награде во всех игровых режимах
* {bonusWp} ▻ (Серебряных львов) к награде во всех игровых режимах
* {bonusGold} ▽ (Золотых орлов) к награде в самолетной кампании";"* {bonusPlayerExp} ▉ (досвід гравця) у всіх режимах гри
* {bonusUnitExp} ▉ (досвід бойової одиниці) у всіх режимах гри
* {bonusWp} ▻ (Срібні леви) нагорода у всіх режимах гри
* {bonusGold} ▽ (Золоті орли) нагорода в авіаційній кампанії";"* {bonusPlayerExp} ▉ (doświadczenie gracza) we wszystkich trybach gry
* {bonusUnitExp} ▉ (doświadczenie jednostki) we wszystkich trybach gry
* {bonusWp} ▻ nagrody (Srebrnych Lwów) we wszystkich trybach gry
* {bonusGold} ▽ (Złote Orły) nagroda w kampanii samolotów";"* {bonusPlayerExp} ▉ (Experiência do jogador) em todos os modos de jogo
* {bonusUnitExp} ▉ (Experiência da unidade) em todos os modos de jogo
* {bonusWp} ▻ (Silver Lions) recompensa em todos os modos de jogo
* {bonusGold} ▽ (Golden Eagles) recompensa na campanha de aviação";"* {bonusPlayerExp} ▉ (Oyuncu deneyimi) tüm oyun modlarında
* {bonusUnitExp} ▉ (Birim deneyimi) tüm oyun modlarında 
* {bonusWp} ▻ (Gümüş Aslan) ödülü tüm oyun modlarında 
* {bonusGold} ▽ (Altın Kartal) havacılık harekatında";"* {bonusPlayerExp} ▉ (zkušenosti hráče) ve všech herních režimech
* {bonusUnitExp} ▉ (zkušenosti stroje) ve všech herních režimech
* {bonusWp} ▻ (Stříbrní lvi) odměna ve všech herních režimech
* {bonusGold} ▽ (Zlaté orlice) odměna v letecké kampani";"* {bonusPlayerExp} ▉ (Εμπειρία παίκτη) σε όλες τις λειτουργίες παιχνιδιού
* {bonusUnitExp} ▉ (Εμπειρία μονάδας) σε όλες τις λειτουργίες παιχνιδιού
* {bonusWp} ▻ (Ασημένια λιοντάρια) ανταμοιβή σε όλες τις λειτουργίες παιχνιδιού
* {bonusGold} ▽ (Χρυσοί Αετοί) ανταμοιβή σε αεροπορική εκστρατεία";"* {bonusPlayerExp} ▉ (EXP pemain) dalam semua mode game
* {bonusUnitExp} ▉ (EXP unit) dalam semua mode game
* {bonusWp} ▻ Imbalan (Singa Perak) dalam semua mode game
* {bonusGold} ▽ Imbalan (Elang Emas) dalam kampanye penerbangan";"* {bonusPlayerExp} ▉ (ประสบการณ์ผู้เล่น) ในทุกโหมดเกม
* {bonusUnitExp} ▉ (ประสบการณ์พาหนะ) ในทุกโหมดเกม
* {bonusWp} ▻ รางวัล (สิงโตเงิน) ในทุกโหมดเกม
* {bonusGold} ▽ รางวัล (อินทรีทอง) ในแคมเปญอากาศยาน";"* 모든 게임모드에서 {bonusPlayerExp} ▉ (플레이어 경험치) 추가
* 모든 게임모드에서 {bonusUnitExp} ▉ (유닛 경험치) 추가
* 모든 게임모드에서 {bonusWp} ▻ (실버 라이온) 지급
* 공군 캠페인에서 {bonusGold} ▽ (골든 이글) 지급";"* 所\t有\t模\t式\t下 {bonusPlayerExp} ▉ (玩\t家\t个\t人\t经\t验)
* 所\t有\t模\t式\t下 {bonusUnitExp} ▉ (载\t具\t经\t验)
* 所\t有\t模\t式\t下 {bonusWp} ▻ (银\t狮) 收\t益
* 空\t战\t模\t式\t下 {bonusGold} ▽ (金\t鹰) 收\t益";"* {bonusPlayerExp} ▉ （プレイヤー\t経験値）\t全\tゲームモード\t内
* {bonusUnitExp} ▉ （ユニット\t経験値）\t全\tゲームモード\t内
* {bonusWp} ▻ （シルバーライオン）\t全\tゲームモード\t内の\t報酬
* {bonusGold} ▽ （ゴールデンイーグル）\t航空\tキャンペーン\t内の\t報酬";"*{bonusPlayerExp}\t▉ 所\t有\t遊\t戲\t模\t式\t的 (玩\t家\t經\t驗\t值)
* {bonusUnitExp}\t▉ 所\t有\t遊\t戲\t模\t式\t的 (單\t位\t經\t驗\t值)
* {bonusWp}\t▻ 所\t有\t遊\t戲\t模\t式\t的 (銀\t獅) 獎\t勵
* {bonusGold} ▽ 空\t戰\t模\t式\t的 (金\t鷹) 獎\t勵";;
"charServer/entitlement/PremiumAccount/header";"Premium account for {days} days";"Compte premium pendant {days} jours";"Account premium per {days} giorni";"Premiumkontozeit für {days} Tage";"Cuenta premium durante {days} días";"Премиум-аккаунт на {days} дней";"Преміум-аккаунт на {days} днів";"Konto premium na {days} dni";"Conta premium para {days} dias";"{days} günlük Premium hesap";"Prémiový účet na {days} dní";"Λογαριασμός Premium για {days} ημέρες";"Akun premium selama {days} hari";"บัญชีพรีเมียม {days} วัน";"프리미엄 계정 {days}일";"{days} 天\t高\t级\t账\t号";"プレミアムアカウント{days}日分";"{days} 天\t高\t級\t帳\t號";;
