"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"HUD_SCREENSHOT_LINK";;;;;;;;;;;;;;;;;;;;
"HUD_STALL";;;;;;;;;;;;;;;;;;;;
"HUD_CRIT_ALT";"PULL UP!";"REMONTEZ!";"CABRA!";"HOCHZIEHEN!";"¡TIRA DEL ELEVADOR HACIA ARRIBA!";"ОПАСНАЯ ВЫСОТА!";"ПОТЯГНІТЬ ВГОРУ!";"DO GÓRY!";"LEVANTE!";"YUKARI ÇEK!";"Stoupej";"ΑΝΕΒΕΙΤΕ!";"NAIK!";"เชิดหัวขึ้น!";"기수를 올리십시오!";"快\t拉\t起\t机\t头！";"上昇しろ！";"快\t拉\t起\t機\t頭！";;
"HUD_CRIT_SPEED";"CRITICAL SPEED, PUSH NOSE DOWN!";"DÉCROCHAGE, POUSSEZ LE MANCHE!";"VELOCITÀ CRITICA! SPINGI IL MUSO GIÙ!";"GESCHWINDIGKEIT KRITISCH, NASE RUNTER!";"¡VELOCIDAD CRÍTICA, EMPUJA EL MORRO HACIA ABAJO!";"ОПАСНО МАЛАЯ СКОРОСТЬ!";"КРИТИЧНО НИЗЬКА ШВИДКІСТЬ, ОПУСТІТЬ НІС!";"PRĘDKOŚĆ KRYTYCZNA, POPCHNIJ NOS W DÓŁ!";"VELOCIDADE CRÍTICA, PUXE O NARIZ PARA BAIXO!";"KRİTİK HIZ, BURNUNU AŞAĞI VER!";"Pádová rychlost";"ΚΡΙΣΙΜΗ ΤΑΧΥΤΗΤΑ, ΚΑΤΕΒΑΣΤΕ ΤΗ ΜΥΤΗ!";"KECEPATAN KRITIS, ARAHKAN HIDUNG KE BAWAH!";"ถึงค่าความเร็ววิกฤติ กดจมูกลง!";"속도가 너무 낮습니다. 기수를 내리십시오!";"已\t达\t临\t界\t速\t度，\t快\t压\t下\t机\t头！";"限界速度だ！\t機首を\t下げろ！\t！";"已\t達\t臨\t界\t速\t度，\t快\t壓\t下\t機\t頭！";;
"HUD_TOO_HEAVY_FOR_VTOL";"TOO HEAVY FOR VTOL!";"TROP LOURD POUR LE VTOL!";"TROPPO PESANTE PER IL VTOL!";"ZU SCHWER FÜR VTOL!";"¡MUY PESADO PARA VTOL!";"ВЫСОКАЯ МАССА ДЛЯ ВЕРТИКАЛЬНОГО ВЗЛЕТА!";"ВИСОКА МАСА ДЛЯ ВЕРТИКАЛЬНОГО ЗЛЬОТУ!";"ZBYT CIĘŻKI DO PIONOWEGO STARTU!";"DEMASIADO PESADO PARA VTOL!";"TOO HEAVY FOR VTOL!";"TOO HEAVY FOR VTOL!";"ΠΟΛΥ ΒΑΡΥ ΓΙΑ VTOL!";"TERLALU BERAT UNTUK VTOL!";"หนักเกินไปสำหรับระบบ VTOL!";"VTOL 가능 중량을 초과했습니다!";"机\t体\t过\t重，\t无\t法\t垂\t直\t起\t降！";"重量過大で\t垂直離陸（VTOL）\t不可";"機\t體\t過\t重，\t無\t法\t垂\t直\t起\t降！";;
"HUD_CRIT_FLOOD";"CRITICAL FLOODING, SPEED RESTRICTED!";"VOIE D'EAU CRITIQUE, VITESSE LIMITÉE !";"ALLAGAMENTO CRITICO, VELOCITÀ LIMITATA!";"KRITISCHE ÜBERSCHWEMMUNG, GESCHWINDIGKEIT BEGRENZT!";"¡INUNDACIÓN CRÍTICA, VELOCIDAD REDUCIDA!";"СИЛЬНАЯ ТЕЧЬ, ХОД ОГРАНИЧЕН!";"СИЛЬНА ТЕЧА, ХОД ОБМЕЖЕНИЙ!";"PRZECIEK KRYTYCZNY, PRĘDKOŚĆ OGRANICZONA!";"INUNDAÇÃO CRÍTICA, VELOCIDADE REDUZIDA!";"KRİTİK SU TAŞKINLIĞI, SINIRLI HIZ!";"Kritické zaplavení";"ΚΡΙΣΙΜΗ ΠΛΗΜΜΥΡΑ, ΠΕΡΙΟΡΙΣΜΟΣ ΤΑΧΥΤΗΤΑΣ!";"BANJIR KRITIS, KECEPATAN DIBATASI!";"น้ำท่วมวิกฤติ จำกัดความเร็วแล้ว!";"누수가 심각하여 속도가 제한됩니다!";"进\t水\t严\t重，\t航\t速\t下\t降！";"浸水警報、\t速度低下！";"進\t水\t嚴\t重，\t航\t速\t下\t降！";;
"HUD_PAUSE";"PAUSE";"PAUSE";"PAUSA";"PAUSE";"PAUSA";"ПАУЗА";"ПАУЗА";"PAUZA";"PAUSA";"DURAKLAT";"PAUZA";"PAUSE";"PAUSE";"หยุดชั่วคราว";"일시 정지";"暂\t停";"一時停止";"暫\t停";;
"HUD_AUTOPILOT";"AUTOPILOT";"PILOTE AUTOMATIQUE";"PILOTA AUTOMATICO";"AUTOPILOT";"PILOTO AUTOMÁTICO";"АВТОПИЛОТ";"АВТОПІЛОТ";"AUTOPILOT";"PILOTO AUTOMÁTICO";"OTOPİLOT";"Autopilot";"ΑΥΤΟΜΑΤΟΣ ΠΙΛΟΤΟΣ";"AUTOPILOT";"ออโตไพลอต";"자동 조종";"自\t动\t驾\t驶";"自動操縦";"自\t動\t駕\t駛";;
"TXT_FOLLOW_THE_PATH";"FOLLOW THE SPECIFIED PATH!";"SUIVEZ LE CHEMIN INDIQUÉ!";"SEGUI IL PERCORSO STABILITO!";"FOLGEN SIE DEM ANGEGEBENEN PFAD!";"¡SIGUE EL CAMINO INDICADO!";"СЛЕДУЙТЕ ПО УКАЗАННОМУ ПУТИ!";"ДОТРИМУЙТЕСЯ ВКАЗАНОГО ШЛЯХУ!";"PODĄŻAJ WYZNACZONĄ TRASĄ!";"SIGA O CAMINHO ESPECIFICADO!";"FOLLOW THE SPECIFIED PATH!";"NÁSLEDUJTE VYZNAČENOU TRASU!";"ΑΚΟΛΟΥΘΗΣΤΕ ΤΗΝ ΚΑΘΟΡΙΣΜΕΝΗ ΔΙΑΔΡΟΜΗ!";"IKUTI JALUR YANG DITENTUKAN!";"ไปตามเส้นทางที่กำหนด!";"지정된 경로를 따라가십시오!";"沿\t着\t路\t线\t前\t进！";"指定された\t道を\t辿れ！";"沿\t著\t路\t線\t前\t進！";;
"HUD_RETURN";"RETURN TO THE BATTLEFIELD!";"RETOURNEZ SUR LE CHAMP DE BATAILLE!";"TORNA AL CAMPO DI BATTAGLIA!";"ZURÜCK ZUM SCHLACHTFELD!";"¡REGRESA AL CAMPO DE BATALLA!";"ВЕРНИТЕСЬ НА ПОЛЕ БОЯ!";"ПОВЕРНІТЬСЯ НА ПОЛЕ БОЮ!";"WRACAJ NA POLE BITWY!";"RETORNA AO CAMPO DE BATALHA!";"SAVAŞ ALANINA GERİ DÖN!";"Vrať se na bojiště";"ΕΠΙΣΤΡΕΨΤΕ ΣΤΟ ΠΕΔΙΟ ΤΗΣ ΜΑΧΗΣ!";"KEMBALI KE MEDAN TEMPUR!";"กลับไปเข้าสนามรบ!";"전장으로 복귀하십시오!";"返\t回\t战\t场！";"戦場に\t戻れ！";"返\t回\t戰\t場！";;
