"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"128mm_pzgr_ts";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"Pzgr.TS 12,8/8,8";"12,8/8,8 cm Pzgr.TS";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"12,8/8,8 Pzgr.TS";"128/88 毫\t米 PzGr. TS";"12.8/8.8 Pzgr.TS";"PzGr. TS";;
"76mm_gt4_he";"76/62 HE";"76/62 HE";"HE da 76/62";"76/62 HE";"76/62 HE";"76/62 ОФ";"76/62 ОФ";"76/62 HE";"76/62 HE";"76/62 HE";"76/62 HE";"76/62 HE";"76/62 HE";"76/62 HE";"76/62 고폭탄";"榴\t弹";"76/62 HE";"76/62 HE";;
"105mm_m900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";"M900";;
"25mm_type_87_api";"Type 87 AP";"Type 87 AP";"AP Tipo 87";"Typ 87 AP";"Tipo 87 AP";"Type 87 AP";"Type 87 AP";"Typ 87 AP";"Type 87 AP";"Type 87 AP";"Typ 87 AP";"Type 87 AP";"Type 87 AP";"Type 87 AP";"87식 AP";"穿\t甲\t弹";"Type 87 AP";"87 式\t穿\t甲\t彈";;
"25mm_type_87_he";"Type 87 HE";"Type 87 HE";"HE Tipo 87";"Typ 87 HE";"Tipo 87 HE";"Type 87 HE";"Type 87 HE";"Typ 87 HE";"Type 87 HE";"Type 87 HE";"Typ 87 HE";"Type 87 HE";"Type 87 HE";"Type 87 HE";"87식 HE";"榴\t弹";"Type 87 HE";"87 式\t高\t爆\t彈";;
"57mm_dky_1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKY-1";"DKYI 式\t预\t制\t破\t片\t榴\t弹";"DKY-1";"DKY-1";;
"ball/name";"Omni-purpose bullet";"Balle multi-usage";"Proiettile per tutti gli usi";"Mehrzweckgeschoss";"Bala multiuso";"Пуля общего назначения";"Куля загального призначення";"Pocisk uniwersalny";"Bala multiúso";"Çok maksatlı mermi";"Univerzální náboj";"Σφαίρα για όλες τις χρήσεις";"Peluru serbaguna";"กระสุนผสมผสาน";"다목적탄";"通\t用\t弹";"多目的弾";"通\t用\t彈";;
"ball/name/short";"Ball";"Balle";"Palla";"Kugel";"Bola";"П";"П";"Ball";"Ball";"Top";"Ball";"Σφαίρα";"Peluru";"กระสุน";"Ball";"Ball";"Ball";"Ball";;
"t_ball/name";"Tracer bullet";"Balle traçante";"Proiettile tracciante";"Leuchtspurgeschoss";"Bala trazadora";"Трассирующая пуля";"Трасуюча куля";"Pocisk Smugowy";"Bala tracejante";"İzli mermi";"Trasovací náboj";"Τροχιοδεικτική σφαίρα";"Peluru Tracer";"กระสุนส่องวิถี";"예광탄";"曳\t光\t弹";"曳光弾";"曳\t光\t彈";;
"t_ball/name/short";"T";"T";"T";"T";"T";"Т";"Т";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";;
