"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"attrib_section/ship_commander";"Ship commander";"Commandant de navire";"Comandante";"Kommandant";"Comandante de barco";"Командир корабля";"Командир корабля";"Dowódca okrętu";"Comandante do Navio";"Gemi komutanı";"Kapitán";"Πλοίαρχος";"Komandan kapal";"ผู้บังคับบัญชาเรือ";"함장";"舰\t船\t指\t挥";"艦長・\t艇長";"艦\t上\t指\t揮";;
"attrib_section/ship_artillery";"Guns";"Armes";"Cannoni";"Geschütze";"Armas";"Артиллерия";"Артилерія";"Działa";"Armas";"Silahçılar";"Děla";"Όπλα";"Senapan";"ปืน";"함포";"枪\t炮\t部\t门";"銃";"槍\t炮\t部\t門";;
"attrib_section/ship_engine_room";"Machinery";"Machinerie";"Sala Macchine";"Maschinenbestand";"Maquinaria";"Машины и механизмы";"Машини та механізми";"Maszyneria";"Máquinas";"Kazan Dairesi";"stroje";"Μηχανήματα";"Ruang mesin";"เครื่องจักร";"기계실";"轮\t机\t部\t门";"機械";"輪\t機";;
"attrib_section/ship_look_out_station";"Observers";"Observateurs";"Osservatori";"Beobachter";"Observadores";"Наблюдатели";"Спостерігачі";"Obserwatorzy";"Observadores";"Gözcüler";"Pozorovatelé";"Παρατηρητές";"Pengamat";"ตรวจการณ์";"견시";"敌\t情\t侦\t测";"見張員";"敵\t情\t偵\t測";;
"attrib_section/ship_damage_control";"Torpedoes";"Torpilles";"Siluri";"Torpedos";"Torpedos";"Торпеды";"Торпеди";"Torpedy";"Torpedos";"Torpidolar";"Torpéda";"Τορπίλες";"Torpedo";"ตอร์ปิโด";"어뢰";"鱼\t雷\t管\t理";"魚雷";"魚\t雷";;
"attrib_section/ship_missiles";"Missiles";"Missiles";"Missili";"Raketen";"Misiles";"Ракетное вооружение";"Керовані ракети";"Pociski rakietowe";"Mísseis";"Füzeler";"Rakety";"Πύραυλοι";"Rudal";"ขีปนาวุธ";"미사일";"导\t弹";"ミサイル";"飛\t彈";;
"attrib_section/tank_fire_power";"Fire power";"Puissance de feu";"Potenza di Fuoco";"Feuerkraft";"Potencia de fuego";"Огневая мощь";"Вогнева міць";"Siła ognia";"Poder de fogo";"Ateş gücü";"palebná síla";"Δύναμη πυρός";"Daya tembak";"กำลังยิง";"화력";"火\t力\t输\t出";"火力";"火\t力";;
"attrib_section/tank_mobility";"Mobility";"Mobilité";"Mobilità";"Mobilität";"Movilidad";"Подвижность";"Рухливість";"Mobilność";"Mobilidade";"Mobilite";"pohyblivost";"Ικανότητα κίνησης";"Mobilitas";"ความคล่องตัว";"주행성능";"机\t动\t性\t能";"機動力";"機\t動";;
"attrib_section/tank_protection";"Maintenance";"Maintenance";"Manutenzione";"Wartungsarbeiten";"Mantenimiento";"Обслуживание";"Обслуговування";"Prace konserwacyjne";"Manutenção";"Bakım";"Údržba";"Συντήρηση";"Pemeliharaan";"การบำรุงรักษา";"정비";"装\t甲\t防\t护";"メンテナンス";"後\t勤\t維\t護";;
"attrib_section/tank_crew";"Crew";"Équipage";"Equipaggio";"Besatzung";"Tripulación";"Экипаж";"Екіпаж";"Załoga";"Tripulação";"Mürettebat";"Osádka";"Πλήρωμα";"Kru";"กำลังพล";"승무원";"乘\t员\t组";"搭乗員";"乘\t員\t組";;
"attrib_section/plane_flight_performance";"Aeronautical engineer";"Ingénieur aéronautique";"Ingegnere Aeronautico";"Luftfahrttechniker";"Ingeniero aeronáutico";"Авиаинженер";"Авіаційний інженер";"Inżynier lotniczy";"Engenheiro aeronáutico";"Uçak mühendisi";"Letecký konstruktér";"Αεροναυπηγός μηχανικός";"Teknisi penerbangan";"วิศวกรการบิน";"항공 기술자";"航\t空\t工\t程\t师";"航空技術者";"航\t空\t工\t程\t師";;
"attrib_section/plane_crew";"Flight crew";"Équipage";"Equipaggio di Volo";"Flugzeugbesatzung";"Tripulación de vuelo";"Лётный экипаж";"Екіпаж літака";"Załoga lotnicza";"Tripulação da aeronave";"Uçuş mürettebatı";"Letová osádka";"Πλήρωμα πτήσης";"Kru penerbangan";"กำลังพลเครื่องบิน";"항공 승무원";"机\t组\t成\t员";"飛行\tクルー";"機\t組\t人\t員";;
"attrib_section/plane_weapon";"Weapon master";"Maître des armes";"Maestro d'Armi";"Waffenmeister";"Maestro de armas";"Оружейный мастер";"Майстер зброї";"Mistrz broni";"Mestre de armas";"Silah ustası";"Zbrojmistr";"Master όπλων";"Ahli senjata";"ผู้ชำนาญอาวุธ";"무장 전문가";"武\t器\t操\t纵";"武器\tマスター";"武\t器\t官";;
"attrib_he_shell_damage";"Shell Damage";"Dégâts des Obus";"Danni dei Colpi";"Geschossschaden";"Daño de Proyectil";"Урон снарядами";"Шкода снарядами";"Obrażenia pocisku";"Danos da munição";"Mermi Hasarı";"poškození střelou";"Ζημιές από βλήματα";"Damage Selongsong";"ความเสียหายจากลูกปืน";"포탄 데미지";"炮\t弹\t毁\t伤";"砲弾\tダメージ";"炮\t彈\t毀\t傷";;
"attrib_player_gun_accuracy";"Fire Accuracy";"Précision du Tir";"Precisione di tiro";"Treffsicherheit";"Precisión de Disparo";"Точность огня";"Точність стрільби";"Celność ostrzału";"Exatidão do tiro";"Atış İsabetliliği";"Přesnost střelby";"Ακρίβεια βολής";"Akurasi Tembakan";"ความแม่นยำการยิง";"사격 정확도";"射\t击\t精\t度";"射撃精度";"射\t擊\t精\t度";;
"attrib_player_gun_reload_rate";"Reload Rate";"Temps de Rechargement";"Ricarica";"Nachladerate";"Tiempo de Recarga";"Перезарядка";"Перезарядка";"Szybkość przeładowania";"Rapidez de Recarregamento";"Yeniden Yükleme Oranı";"Rychlost přebití";"Ρυθμός επαναγέμισης";"Kecepatan Isi Ulang";"อัตราเติมกระสุน";"재장전 속도";"主\t炮\t装\t填";"リロード\t率";"裝\t填\t速\t度";;
"attrib_ai_aa_accuracy";"Anti-Aircraft Fire Accuracy";"Précision du Tir Antiaérien";"Precisione Tiro Contraereo";"Flugabwehr-Genauigkeit";"Precisión del Fuego Antiaéreo";"Точность ПВО";"Точність ППО";"Celność przeciwlotnicza";"Precisão do Fogo Antiaéreo";"Uçaksavar Atış İsabetliliği";"Přesnost protiletadlové palby";"Ακρίβεια αντιαεροπορικής βολής";"Akurasi Tembakan Anti-Pesawat";"ความแม่นยำการยิงต่อต้านอากาศยาน";"대공 사격 정확도";"防\t空\t火\t力\t精\t度";"対空砲撃射撃精度";"防\t空\t火\t力\t精\t度";;
"attrib_ai_aa_distance";"Anti-Aircraft Fire Distance";"Distance du Tir Antiaérien";"Distanza Tiro Contraereo";"Flugabwehr-Reichweite";"Distancia de Fuego Antiaéreo";"Дальность ПВО";"Дальність ППО";"Zasięg przeciwlotniczy";"Distância de Fogo Antiaéreo";"Uçaksavar Atış Menzili";"Dosah protiletadlové palby";"Απόσταση αντιαεροπορικής βολής";"Jarak Tembak Anti-Pesawat";"ระยะยิงต่อต้านอากาศยาน";"대공 사격 거리";"防\t空\t火\t力\t射\t程";"対空砲撃射撃距離";"防\t空\t火\t力\t射\t程";;
"attrib_torpedo_distance";"Travel Distance";"Distance de Déplacement";"Distanza di Percorrenza";"Reichweite";"Distancia de Recorrido";"Дальность хода";"Дистанція ходу";"Zasięg podróży";"Alcance";"Seyahat Mesafesi";"Doba letu";"Απόσταση ταξιδιού";"Jarak Tempuh";"ระยะเคลื่อนที่";"사거리";"鱼\t雷\t射\t程";"走行距離﻿";"魚\t雷\t射\t程";;
"attrib_torpedo_count";"Torpedo Ammunition";"Torpilles de Rechange";"Siluri";"Torpedo-Munition";"Munición de Torpedo";"Боезапас торпед";"Боєзапас торпед";"Amunicja torpedowa";"Munições de Torpedo";"Torpido Mühimmatı";"Počet torpéd";"Πυρομαχικά τορπίλης";"Amunisi Torpedo";"กระสุนตอร์ปิโด";"휴행 어뢰 수";"鱼\t雷\t备\t弹";"魚雷弾薬";"魚\t雷\t備\t彈";;
"attrib_ship_endurance";"Endurance";"Endurance";"Durata";"Haltbarkeit";"Aguante";"Выносливость";"Витривалість";"Wytrzymałość";"Resistência";"Dayanıklılık";"Výdrž";"Αντοχή";"Ketahanan";"ความทนทาน";"내성";"续\t航\t能\t力";"耐性";"續\t航\t能\t力";;
"attrib_ship_max_speed";"Speed";"Vitesse";"Velocità";"Geschwindigkeit";"Velocidad";"Скорость";"Швидкість";"Prędkość";"Velocidade";"Hız";"Rychlost";"Ταχύτητα";"Kecepatan";"ความเร็ว";"속도";"航\t行\t极\t速";"速度";"速\t度";;
"attrib_ship_steering";"Steering";"Gouvernail";"Sterzo";"Steuerung";"Dirección";"Поворотливость";"Поворотливість";"Sterowanie";"Direção";"Dümen";"Řízení";"Σύστημα διεύθυνσης";"Kemudi";"เลี้ยว";"조향";"转\t向\t控\t制";"旋回";"轉\t向\t控\t制";;
"attrib_surface_detection_dist";"Target Detection Distance";"Distance de Détection des Cibles";"Distanza Rilevamento Bersagli";"Zielerfassungsentfernung";"Distancia de Detección de Objetivos";"Дистанция обнаружения целей";"Відстань виявлення цілі";"Zasięg wykrywania celów";"Distância de Deteção do Alvo";"Hedef Tespit Mesafesi";"Vzdálenost detekce cíle";"Απόσταση ανίχνευσης στόχου";"Jarak Deteksi Target";"ระยะตรวจจับเป้าหมาย";"표적 탐지 거리";"目\t标\t探\t测\t距\t离";"標的検出距離";"目\t標\t偵\t測\t距\t離";;
"attr_desc/attrib_he_shell_damage";"Increase damage of ship guns shells";"Augmente les dégâts des obus des canons des navires";"Aumenta i danni dei colpi dei cannoni navali";"Schaden von Schiffskanonen-Granaten erhöhen";"Aumenta el daño de los proyectiles de los cañones del barco";"Увеличение урона снарядами корабельных орудий";"Збільшити пошкодження снарядами корабельних гармат";"Zwiększenie obrażeń zadawanych przez pociski dział okrętowych";"Aumenta os danos dos projeteis das armas do navio";"Gemi silahlarının mermilerinin hasarını artır";"Zvýšení poškození munice lodních děl";"Αύξηση της ζημιάς από τα βλήματα των όπλων του πλοίου";"Meningkatkan damage selongsong senapan kapal";"เพิ่มความเสียหายของลูกปืนของเรือ";"함포탄의 피해량을 늘려줍니다";"提\t升\t舰\t炮\t伤\t害";"艦砲弾の\tダメージが\t増加";"提\t升\t艦\t炮\t傷\t害";;
"attr_desc/attrib_player_gun_accuracy";"Better ship gun accuracy precision";"Meilleure précision des canons du navire";"Miglior precisione dei cannoni navali";"Verbesserte Genauigkeit der Schiffsgeschütze";"Mejor precisión de los cañones del barco";"Увеличение кучности боя орудий. Снижение разброса снарядов в залпе.";"Збільшення купчастості бою гармат Зниження розкиду снарядів у залпі";"Lepsza celność dział okrętowych";"Maior precisão das armas do navio";"Gemi silahlarının isabetliliğini iyileştir";"Lepší přesnost lodních děl";"Βελτίωση της ακρίβειας των όπλων του πλοίου";"Meningkatkan akurasi senapan kapal";"ปรับปรุงความแม่นยำของปืนของเรือ";"함포탄의 정확성을 향상시킵니다";"提\t升\t舰\t炮\t精\t准\t度";"艦砲の\t精度が\t向上";"提\t升\t艦\t炮\t精\t準\t度";;
"attr_desc/attrib_player_gun_reload_rate";"Faster gun reload";"Rechargement plus rapide des armes";"Ricarica dei cannoni più veloce";"Schnelleres Nachladen";"Recarga más rápida de los cañones";"Снижение времени перезарядки орудий корабля";"Зниження часу перезарядки гармат корабля";"Szybsze przeładowanie";"Carregamento mais rápido das armas";"Silahların doldurulma süresini hızlandır";"Rychlejší dobíjení zbraní";"Πιο γρήγορη επαναγέμιση όπλου";"Isi ulang senjata lebih cepat";"เติมกระสุนปืนเร็วขึ้น";"재장전 속도가 빨라집니다";"加\t快\t火\t炮\t装\t填\t速\t度";"銃の\t再装填\tスピードが\t増加";"加\t快\t火\t炮\t裝\t填\t速\t度";;
