"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"modification/art_support";"Artillery Support";"Support d'artillerie";"Supporto di Artiglieria";"Sperrfeuer anfordern";"Soporte de Artillería";"Артиллерия";"Артилерійська підтримка";"Wsparcie artyleryjskie";"Suporte de Artilharia";"Topçu Desteği";"Palebná podpora";"Υποστήριξη πυροβολικού";"Dukungan Artileri";"สนับสนุนด้วยปืนใหญ่";"포격 지원";"火\t炮\t支\t援";"砲撃支援";"火\t炮\t支\t援";"max 20 symbols";
"modification/art_support/desc";"An ability to make a call for artillery strike on indicated square.
Range - 700 m
Accuracy - medium
Explosive force - medium";"Capacité à lancer un appel à l'artillerie sur une case donnée.
Portée - 700 m
Précision - moyenne
Force explosive - moyenne";"Possibilità di effettuare una chiamata di artiglieria sul riquadro indicato.
Raggio - 700 m
Precisione - media
Forza esplosiva - media";"Die Fähigkeit, einen Artillerieangriff auf ein bestimmtes Feld zu rufen.
Reichweite - 700 m
Genauigkeit - mittel
Sprengkraft - mittel";"La habilidad de solicitar un ataque de artillería en la casilla indicada.
Alcance - 700 m
Precisión - media
Fuerza explosiva - media";"Возможность вызова артиллерийского удара по указанному квадрату.
Дальность - 700 метров
Точность - средняя
Сила взрыва - средняя";"Можливість виклику артилерійського удару по вказаному квадрату.
Дальність — 700 м
Точність — середня
Вибухова сила — середня";"Możliwość wezwania ostrzału artyleryjskiego we wskazanym kwadracie.
Zasięg - 700 m
Dokładność - średnia
Siła rażenia - średnia";"Capacidade de pedir uma salva de artilharia sobre a quadrícula indicada.
Alcance - 700 m
Exatidão - média
Força explosiva - média";"İşaretlenen bölgeye ateş desteği çağırma becerisi.
Menzil - 700 m
İsabet - orta
Patlama kuvveti - orta";"Možnost přivolání dělostřelecké palby na vyznačený čtverec.
Dostřel - 700 m
Přesnost - střední
Výbušná síla - střední";"Δυνατότητα να ληφθεί απόφαση για χτύπημα πυροβολικού σε συγκεκριμένο τετράγωνο.
Εμβέλεια - 700 m
Ακρίβεια - μέτρια
Εκρηκτική δύναμη - μέτρια";"Kemampuan untuk meminta serangan artileri pada kotak yang ditunjukkan.
Jangkauan - 700 m
Akurasi - medium
Daya ledak - medium";"ความสามารถในการเรียกการจู่โจมด้วยปืนใหญ่บนเขตที่ระบุ
ระยะ - 700 ม.
ความแม่นยำ - ปานกลาง
แรงระเบิด - ปานกลาง";"정해진 범위에 지원 포격을 요청할 수 있습니다.
범위 - 700m
정확도 - 중간
폭발력 - 중간";"允\t许\t向\t地\t图\t中\t指\t定\t区\t域\t呼\t叫\t炮\t火\t打\t击。
呼\t叫\t范\t围：\t700 米
精\t确\t度：\t中\t等
爆\t炸\t威\t力：\t中\t等";"指定した\t地点に\t砲撃を\t要請する\t能力。\t
射程 - 700 m
精度 - 中
爆発力 - 中";"可\t在\t指\t定\t方\t形\t範\t圍\t內\t呼\t叫\t火\t砲\t攻\t擊\t的\t能\t力。
範\t圍：\t700 公\t尺
精\t準\t度：\t中\t等
爆\t炸\t強\t度：\t中\t等";;
"modification/art_support_highcaliber";"High calibre";"Gros calibre";"Grosso calibro";"Großkaliber";"Gran calibre";"Крупный калибр";"Великий калібр";"Duży kaliber";"Alto calibre";"Yüksek kalibre";"Velká ráže";"Μεγάλο διαμέτρημα";"Kaliber tinggi";"ประสิทธิภาพสูง";"대구경 포격";"大\t口\t径";"大口径";"大\t口\t徑";"max 20 symbols";
"modification/art_support_highcaliber/desc";"A high calibre artillery salvo. Effective against heavy vehicles.
Range - 700 m
Accuracy - low
Explosive force - high";"Une salve d'artillerie de gros calibre. Efficace contre les véhicules lourds.
Portée - 700 m
Précision - faible
Force explosive - élevée";"Una salva d'artiglieria d'alto calibro. Efficace contro mezzi pesanti.
Raggio - 700 m
Precisione - bassa
Forza esplosiva - alta";"Eine großkalibrige Artilleriesalve. Effektiv gegen schwere Fahrzeuge.
Reichweite – 700 m
Treffsicherheit – gering
Sprengkraft – hoch";"Una salva de artillería de alto calibre. Eficaz contra vehículos pesados.
Alcance - 700 m
Precisión - baja
Fuerza explosiva - alta";"Залп крупнокалиберной артиллерии. Эффективен против тяжёлой техники. 
Дальность - 700 метров
Точность - низкая
Сила взрыва - большая";"Великокаліберний артилерійський залп. Ефективний проти важкої техніки.
Дальність — 700 м
Точність — низька
Сила вибуху — висока";"Salwa artyleryjska dużego kalibru. Skuteczna przeciwko ciężkim pojazdom.
Zasięg - 700 m
Celność - niska
Siła rażenia - wysoka";"Salva de artilharia de alto calibre. Eficaz contra veículos pesados.
Alcance - 700 m
Exatidão - baixa
Força explosiva - alta";"Yüksek kalibre topçu salvosu. Ağır araçlara karşı etkili.
Menzil - 700 m
İsabet - düşük
Patlama gücü - yüksek";"Dělostřelecká salva velké ráže. Účinná proti těžkým vozidlům.
Dostřel - 700 m
Přesnost - nízká
Výbušná síla - vysoká";"Μια ομοβροντία πυροβολικού μεγάλου διαμετρήματος. Αποτελεσματικό ενάντια σε βαρέα οχήματα.
Εμβέλεια - 700 m
Ακρίβεια - χαμηλή
Εκρηκτική δύναμη - υψηλή";"Salvo artileri kaliber tinggi. Efektif terhadap kendaraan berat.
Jangkauan - 700 m
Akurasi - rendah
Daya ledak - tinggi";"ระดมยิงด้วยปืนใหญ่ประสิทธิภาพสูง ได้ผลดีกับพาหนะเกราะหนัก
ระยะ - 700 ม.
ความแม่นยำ - ต่ำ
แรงระเบิด - สูง";"대구경 포탄이 투하됩니다. 두꺼운 장갑을 지닌 장비에도 타격을 입힐 수 있습니다.
범위 - 700m
정확도 - 낮음
폭발력 - 높음";"呼\t叫\t大\t口\t径\t火\t炮\t齐\t射，\t可\t有\t效\t反\t制\t重\t型\t装\t甲\t单\t位。
呼\t叫\t范\t围：\t700 米
精\t确\t度：\t低
爆\t炸\t威\t力：\t高";"大口径砲一斉射撃。\t重車両に\t対して\t効果的。\t
射程 - 700 m
精度 - 低
爆発力 - 高";"呼\t叫\t大\t口\t徑\t火\t砲\t齊\t射，\t可\t有\t效\t反\t制\t重\t型\t裝\t甲\t單\t位。
呼\t叫\t範\t圍：\t700 公\t尺
精\t確\t度：\t低
爆\t炸\t威\t力：\t高";;
"modification/art_support_mortars";"Mortars";"Mortiers";"Mortai";"Mörser";"Morteros";"Миномёты";"Міномети";"Moździerze";"Morteiros";"Havan topu";"Minomety";"Όλμοι";"Mortir";"ปืนครก";"박격포격";"迫\t击\t炮";"迫撃砲";"迫\t擊\t砲";"max 20 symbols";
"modification/art_support_mortars/desc";"Saturation fire from mortars. Effective against light vehicles.
Range - 840 m
Accuracy - very high
Explosive force - low";"Tirs de saturation des mortiers. Efficace contre les véhicules légers.
Portée - 840 m
Précision - très élevée
Force explosive - faible";"Saturazione di fuoco dai mortai. Efficace contro mezzi leggeri.
Raggio - 840 m
Precisione - molto alta
Forza esplosiva - bassa";"Sperrfeuer aus Mörsern. Effektiv gegen leichte Fahrzeuge.
Reichweite – 840 m
Treffsicherheit – sehr hoch
Sprengkraft – gering";"Fuego de saturación de morteros. Eficaz contra vehículos ligeros.
Alcance - 840 m
Precisión - muy alta
Fuerza explosiva - baja";"Массированный огонь из миномётов. Эффективен против лёгкой техники. 
Дальность - 840 метров
Точность - очень высокая
Сила взрыва - малая";"Щільний вогонь із мінометів. Ефективний проти легкої техніки.
Дальність — 840 м
Точність — дуже висока
Сила вибуху — низька";"Ostrzał z moździerzy. Skuteczny przeciwko lekkim pojazdom.
Zasięg - 840 m
Celność - bardzo wysoka
Siła rażenia - niska";"Fogo de saturação de morteiros. Eficaz contra veículos ligeiros.
Alcance - 840 m
Exatidão - muito alta
Força explosiva - baixa";"Havanlardan satürasyon ateşi. Hafif araçlara karşı etkili
Menzil - 840 m
İsabet - çok yüksek
Patlama gücü - düşük";"Saturační palba z minometů. Účinná proti lehkým vozidlům.
Dostřel - 840 m
Přesnost - velmi vysoká
Výbušná síla - nízká";"Πυρά κορεσμού από όλμους. Αποτελεσματικά ενάντια σε ελαφριά οχήματα.
Εμβέλεια - 840 m
Ακρίβεια - πολύ υψηλή
Εκρηκτική δύναμη - χαμηλή";"Tembakan saturasi dari mortir. Efektif terhadap kendaraan ringan.
Jangkauan - 840 m
Akurasi - sangat tinggi
Daya ledak - rendah";"การยิงย้ำจุดจากปืนครก ได้ผลดีกับพาหนะเกราะเบา
ระยะ - 840 ม.
ความแม่นยำ - สูงมาก
แรงระเบิด - ต่ำ";"박격포를 사용해 포화 공격을 진행합니다. 얇은 장갑을 지닌 장비에 타격을 입힐 수 있습니다.
범위 - 840m
정확도 - 매우 높음
폭발력 - 낮음";"呼\t叫\t迫\t击\t炮\t对\t指\t定\t区\t域\t展\t开\t饱\t和\t炮\t击，\t对\t于\t轻\t装\t甲\t单\t位\t尤\t其\t致\t命。
呼\t叫\t范\t围：\t840 米
精\t确\t度：\t非\t常\t高
爆\t炸\t威\t力：\t低";"迫撃砲による\t飽和攻撃。\t軽車両に\t対して\t効果的。\t
射程 - 840 m
精度 - 超高
爆発力 - 低";"呼\t叫\t迫\t擊\t砲\t對\t指\t定\t區\t域\t展\t開\t飽\t和\t砲\t擊，\t對\t於\t輕\t裝\t甲\t單\t位\t尤\t其\t致\t命。
呼\t叫\t範\t圍：\t840 公\t尺
精\t確\t度：\t非\t常\t高
爆\t炸\t威\t力：\t低";;
"modification/art_support_smoke";"Smoke shells";"Obus fumigènes";"Granate fumogene";"Rauchmunition";"Proyectiles de humo";"Дымовые снаряды";"Димові снаряди";"Pociski dymne";"Projéteis de fumaça";"Sis Mermisi";"Dýmovnice";"Βλήματα καπνού";"Selongsong asap";"ลูกปืนควัน";"연막 포격";"烟\t雾\t弹";"発煙弾";"煙\t霧\t彈";"max 20 symbols";
"modification/art_support_smoke/desc";"Non-lethal artillery. Covers an area with an aimed smoke screen.
Range - 525 m
Accuracy - high
Explosive force - very low";"Artillerie non létale. Couvre une zone d'un écran de fumée ciblé.
Portée - 525 m
Précision - élevée
Force explosive - très faible";"Artiglieria non letale. Copre l'area puntata con una cortina fumogena.
Raggio - 525m
Precisione - alta
Forza esplosiva - molto bassa";"Nicht-tödliche Artillerie. Deckt ein Gebiet mit einer gezielten Nebelvorhang ab.
Reichweite – 525 m
Treffsicherheit – hoch
Sprengkraft – sehr gering";"Artillería no letal. Cubre una zona con una pantalla de humo apuntada.
Alcance - 525 m
Precisión - alta
Fuerza explosiva - muy baja";"Нелетальная артиллерия. Накрывает участок местности дымовой завесой.
Дальность - 525 метров
Точность - высокая
Сила взрыва - очень маленькая";"Нелетальна артилерія. Укриває територію прицільною димовою завісою.
Дальність — 525 м
Точність — висока
Сила вибуху — дуже низька";"Nieśmiercionośna artyleria. Pokrywa obszar zasłoną dymną.
Zasięg - 525 m
Dokładność - wysoka
Siła rażenia - bardzo niska";"Artilharia não mortífera. Cobre uma área com uma cortina de fumaça.
Alcance - 525 m
Exatidão - alta
Força explosiva - muito baixa";"Öldürücü olmayan topçu ateşi. Nişan alınan alanı sis perdesi ile kaplar.
Menzil - 525 m
İsabet - yüksek
Patlama gücü - çok düşük";"Nesmrtící dělostřelectvo. Pokrývá oblast cílenou kouřovou clonou.
Dostřel - 525 m
Přesnost - vysoká
Výbušná síla - velmi nízká";"Μη θανατηφόρο πυροβολικό. Καλύπτει μια περιοχή με ένα στοχευμένο προπέτασμα καπνού.
Εμβέλεια - 525 m
Ακρίβεια - υψηλή
Εκρηκτική δύναμη - πολύ χαμηλή";"Artileri yang tidak mematikan. Mencakup area dengan tabir asap yang terarah.
Jangkauan - 525 m
Akurasi - tinggi
Daya ledak - sangat rendah";"กระสุนปืนใหญ่ที่ไม่สร้างความเสียหาย ปกคลุมพื้นที่เป้าหมายด้วยฉากควัน
ระยะ - 525 ม.
ความแม่นยำ - สูง
แรงระเบิด - ต่ำมาก";"지정한 위치에 살상력이 없는 연막탄을 투하합니다.
범위 - 525m
정확도 - 높음
폭발력 - 매우 낮음";"呼\t叫\t火\t炮\t阵\t地\t对\t指\t定\t区\t域\t进\t行\t烟\t幕\t覆\t盖，\t无\t法\t对\t敌\t方\t装\t甲\t车\t辆\t造\t成\t伤\t害。
呼\t叫\t范\t围：\t525 米
精\t确\t度：\t高
爆\t炸\t威\t力：\t非\t常\t低";"非致死性砲撃。\t煙幕で\tエリアを\t覆う。\t
射程 - 525 m
精度 - 高
爆発力 - 超低";"呼\t叫\t火\t砲\t陣\t地\t對\t指\t定\t區\t域\t進\t行\t煙\t幕\t覆\t蓋，\t無\t法\t對\t敵\t方\t裝\t甲\t車\t輛\t造\t成\t傷\t害。
呼\t叫\t範\t圍：\t525 公\t尺
精\t確\t度：\t高
爆\t炸\t威\t力：\t非\t常\t低";;
"modification/smoke";"Smoke screen";"Écran de fumée";"Cortina fumogena";"Nebelvorhang";"Cortina de humo";"Дымовая завеса";"Димова завіса";"Zasłona dymna";"Cortina de fumaça";"Sis perdesi";"Kouřová clona";"Προπέτασμα καπνού";"Tabir asap";"ฉากควัน";"연막 차장";"释\t放\t烟\t雾";"煙幕";"煙\t霧";"max 20 symbols";
"modification/tank_smoke_screen_low_cooldown";"Reload system";"Système de rechargement";"Ricarica il sistema";"Nachladen des Systems";"Sistema de recarga";"Система перезарядки";"Система перезаряджання";"Przeładowanie systemu";"Sistema de recarregamento";"Yükleme sistemi";"Systém dobíjení";"Σύστημα επαναγέμισης";"Sistem isi ulang";"ระบบเติมกระสุน";"재장전 시스템";"复\t装\t系\t统";"リロードシステム";"复\t裝\t系\t統";"max 20 symbols";
