"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"weapons_types/short/guns";"M";"M";"M";"M";"M";"M";"M";"M";"M";"M";"M";"M";"M";"มัค";"M";"M";"M";"M";;
"weapons_types/short/cannons";"C";"C";"C";"K";"C";"C";"C";"C";"C";"U_C";"C";"C";"C";"C";"C";"C";"C";"C";;
"weapons_types/short/turrets";"T";"T";"T";"G";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";;
"weapons_types/short/rockets";"R";"R";"R";"R";"R";"R";"R";"R";"R";"R";"R";"R";"R";"R";"R";"R";"R";"R";;
"weapons_types/short/bombs";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";;
"weapons_types/short/torpedoes";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";;
"weapons_types/short/separator";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"／";"/";"／";;
"weapons_types/short/separatorVertical";"|";"|";"|";"|";"|";"|";"|";"|";"|";"|";"|";"|";"|";"|";"|";"|";"|";"|";;
"weapons_types/guns";"MG";"MG";"MG";"MG";"MG";"пулемёт";"кулемет";"KM";"MTR";"MT";"kulomet";"MG";"MG";"MG";"기관총";"机\t枪";"機関銃";"機\t槍";;
"weapons_types/additional gun";"MG";"MG";"MT";"MG";"MG";"пулемёт";"кулемет";"KM";"MTR";"MT";"přídavný kanón";"MG";"MG";"MG";"기관총";"机\t枪";"機関銃";"機\t槍";;
"weapons_types/cannons";"cannon";"Canon";"Cannone";"Kanone";"cañón";"пушка";"гармата";"Działko";"Canhão";"makineli top";"kanón";"πυροβόλο";"meriam";"ปืนใหญ่";"포";"炮";"機関砲";"炮";;
"weapons_types/turrets";"turret";"tourelle";"torretta";"Kanzel";"torreta";"турель";"турель";"wieżyczka";"torre";"taret";"střílna";"πυργίσκος";"turret";"ป้อมปืน";"방어기총";"炮\t塔";"銃座";"炮\t塔";;
"weapons_types/in_turret";"in turret";"dans la tourelle";"in torretta";"in Kanzel";"en la torreta";"в турели";"в турелі";"w wieżyczce";"na torre";"tarette";"ve střílně";"στον πυργίσκο";"dalam turret";"ในป้อมปืน";"방어총좌 안";"炮\t塔\t内";"銃座で";"炮\t塔\t內";;
"weapons_types/bombs";"bomb";"bombe";"Bomba";"Bombe";"bomba";"бомба";"бомба";"bomba";"bomba";"bomba";"puma";"βόμβα";"bom";"ระเบิด";"폭탄";"炸\t弹";"爆弾";"炸\t彈";;
"weapons_types/torpedoes";"torpedo";"torpille";"Siluro";"Torpedo";"torpedo";"торпеда";"торпеда";"torpeda";"torpedo";"torpido";"torpédo";"τορπίλη";"torpedo";"ตอร์ปิโด";"어뢰";"鱼\t雷";"魚雷";"魚\t雷";;
"weapons_types/rockets";"rocket";"Roquette";"Razzo";"Raketen";"cohete";"ракета";"ракета";"rakieta";"rocket";"roket";"raketa";"ρουκέτα";"roket";"จรวด";"로켓";"火\t箭\t弹";"ロケット";"火\t箭\t彈";;
"weapons/counter";" x%d";" x%d";" x%d";" x%d";" x%d";" - %d шт.";"- %d шт.";" x %d";" x%d";" x%d";" ×%d";" x%d";" x%d";" x%d";" x%d";" ×%d";"x %d";" ×%d";;
"weapons/counter/left/short";"%dx";"%dx";"%dx";"%dx";"%dx";"%dx";"%dx";"%d x";"%dx";"%dx";"%d×";"%dx";"%dx";"%dx";"%dx";"%d×";"%d x";"%d×";;
