"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"streaks/first_blood";"First strike!";"Première frappe !";"Primo attacco!";"Erstschlag!";"¡Ataque inicial!";"Первый удар!";"Перший удар!";"Pierwsze uderzenie!";"Primeiro ataque!";"İlk darbe!";"První úder!";"Πρώτο χτύπημα!";"First Strike!";"จู่โจมเปิดฉาก!";"선취점!";"先\t拔\t头\t筹！";"先制撃破";"先\t拔\t頭\t籌！";;
"streaks/first_blood/other";"has delivered the first strike!";"a terminé la première frappe !";"ha sferrato il primo attacco!";"hat den Erstschlag ausgeführt!";"¡Ha realizado el ataque inicial!";"ударил первым!";"завдав першого удару!";"zadaje pierwsze uderzenie!";"fez o primeiro ataque!";"ilk darbeyi vurdu!";"uštědřil první úder!";"κατάφερε το πρώτο χτύπημα!";"melancarkan serangan pertama!";"ทำการจู่โจมเปิดฉาก!";"(이)가 선취점을 달성했습니다!";"率\t先\t摧\t毁\t敌\t方\t单\t位！";"最初の\t一撃を\t与えました！";"率\t先\t摧\t毀\t敵\t方\t單\t位！";;
"streaks/first_blood/desc";"First to destroy an enemy vehicle.";"Premier à détruire un véhicule ennemi.";"Primo nel distruggere un mezzo nemico.";"Zerstöre als Erster ein feindliches Fahrzeug.";"Primero en destruir un vehículo enemigo.";"Первым уничтожил вражескую технику.";"Першим знищив ворожу техніку.";"Jako pierwszy zniszcz pojazd wroga.";"Primeiro a destruir um veículo inimigo.";"Bir düşman aracı yok eden ilk oyuncu ol.";"Jako první znič nepřátelský stroj.";"Κατέστρεψε το πρώτο εχθρικό όχημα.";"Yang pertama menghancurkan kendaraan musuh.";"ทำลายพาหนะศัตรูได้เป็นคนแรก";"적 장비를 가장 먼저 격파하였습니다.";"率\t先\t摧\t毁\t敌\t方\t载\t具！";"最初に\t敵車両を\t破壊しました。";"率\t先\t摧\t毀\t敵\t方\t載\t具！";;
"streaks/final_blow";"Final blow!";"Coup de grâce !";"Colpo finale!";"Entscheidender Schlag!";"¡Golpe final!";"Последний удар!";"Останній удар!";"Ostateczny cios!";"Golpe final!";"Son darbe!";"Poslední úder!";"Τελειωτικό χτύπημα!";"Final Blow!";"นัดสังหาร!";"마지막 한 방!";"最\t后\t一\t击！";"決定打";"最\t後\t一\t擊！";;
"streaks/final_blow/other";"has delivered the final blow!";"a donné le coup de grâce !";"ha inflitto il colpo finale!";"hat den entscheidenden Schlag ausgeführt!";"¡has asestado el golpe final!";"нанёс последний удар!";"завдав останнього удару!";"zadał ostateczny cios!";"deu o golpe final!";"son darbeyi vurdu!";"uštědřil poslední úder!";"κατάφερε το τελειωτικό χτύπημα!";"melancarkan serangan terakhir!";"เป็นผู้ยิงนัดสังหาร!";"이(가) 마지막 한 방을 날렸습니다!";"完\t成\t了\t最\t后\t一\t击！";"最後の\t一撃を\t与えました！";"完\t成\t了\t最\t後\t一\t擊！";;
"streaks/final_blow/desc";"Destroyed the last enemy vehicle.";"Détruisez le dernier véhicule ennemi.";"Per aver distrutto l'ultimo mezzo nemico.";"Das letzte gegnerische Fahrzeug zerstört.";"Destruido el último vehículo enemigo.";"Уничтожил последнюю вражескую технику.";"Знищив останню одиницю ворожої техніки.";"Zniszczono ostatni pojazd wroga.";"Último a destruir um veículo inimigo.";"Son düşman aracını yok et.";"Znič poslední nepřátelský stroj.";"Κατέστρεψε το τελευταίο εχθρικό όχημα.";"Menghancurkan kendaraan musuh terakhir.";"ทำลายพาหนะศัตรูคันสุดท้าย";"가장 마지막으로 적 장비를 격파하였습니다.";"取\t得\t最\t后\t一\t个\t战\t果。";"最後の\t敵車両を\t破壊しました。";"取\t得\t最\t後\t一\t個\t戰\t果。";;
"streaks/heroic_mission_maker";"Mission Maker";"Faiseur de mission";"Uomo Partita";"Missionsentscheider";"Creador de Misiones";"Альфа и омега";"Альфа і омега";"Główny Rozgrywający";"Herói da Missão";"Görev Yapıcı";"Tvůrce misí";"Δημιουργός αποστολής";"Mission Maker";"ยอดวีรชนคนแบกภารกิจ";"미션 메이커";"任\t务\t达\t人";"ミッションメーカー";"任\t務\t達\t人";;
"streaks/heroic_mission_maker/other";;;;;;;;;;;;;;;;;;;;
"streaks/heroic_mission_maker/desc";"Destroyed both the first and the last enemy vehicle.";"Détruisez le premier et le dernier véhicule ennemi.";"Per aver distrutto sia il primo che l'ultimo mezzo nemico.";"Sowohl das erste als auch das letzte feindliche Fahrzeug zerstört.";"Destruidos tanto el primer como el último vehículo enemigo.";"Уничтожил первую и последнюю вражескую технику.";"Знищив першу й останню одиниці ворожої техніки.";"Zniszczono pierwszy i ostatni pojazd wroga.";"Abatido o primeiro e o último veículos inimigo da partida.";"Hem ilk hem son düşman aracı imha edildi.";"Zničení prvního i posledního nepřátelského stroje.";"Κατέστρεψε και το πρώτο και το τελευταίο εχθρικό όχημα.";"Menghancurkan kendaraan musuh pertama dan terakhir.";"ทำลายพาหนะศัตรูทั้งคันแรกและคันสุดท้าย";"처음과 마지막으로 적 장비를 격파하였습니다.";"在\t同\t场\t战\t斗\t中\t获\t得\t“先\t拔\t头\t筹”\t与\t“最\t后\t一\t击”\t嘉\t奖。";"最初と\t最後の\t敵車両を\t破壊しました。";"在\t同\t場\t戰\t鬥\t中\t獲\t得\t“先\t拔\t頭\t籌”\t與\t“最\t後\t一\t擊”\t嘉\t獎。";;
"streaks/trophy_near_tankman";"Heavy Metal Fury";"Héros d'acier";"Furia Metallica";"Stahlkoloss";"Furia Acorazada";"Машина войны";"Машина війни";"Stalowa Furia";"Fúria Heavy Metal";"Ağır Metal Gazabı";"Tanková Nemesis";"Heavy Metal Μανία";"Heavy Metal Fury";"คนเหล็กมหาประลัย";"강철의 분노";"装\t甲\t克\t星";"鋼鉄の\t猛威";"裝\t甲\t剋\t星";;
