"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"hints/wait_for_aiming";"Wait till guns are aimed";"Attendez que les canons soient pointés";"Aspetta finchè i cannoni non siano puntati";"Warte, bis die Waffen ausgerichtet sind";"Espera a que los cañones apunten";"Подождите, пока орудия наведутся";"Зачекайте, поки гармати наведуть";"Zaczekaj, aż działa zostaną wycelowane";"Aguarde até que as armas sejam apontadas";"Silahlar nişan alana kadar bekle";"Počkej na namíření zbraní";"Περιμένετε μέχρι τα όπλα να στοχεύσουν";"Tunggu hingga senjata dibidikkan";"รอจนกว่าปืนจะเล็งเป้าหมาย";"조준이 완료될 때 까지 기다리십시오";"等\t待\t武\t器\t瞄\t准";"銃が\t照準を\t合わせるまでお\t待ちください";"等\t待\t武\t器\t瞄\t準";;
"hints/guns_in_deadzone";"Guns cannot aim, turn the ship";"Canons dans un angle mort, tournez le navire";"I cannoni non possono essere puntati, gira la nave";"Zielen der Bewaffnung nicht möglich, drehe das Schiff";"Los cañones no pueden apuntar, gira la nave";"Пушки не могут навестись, разверните корабль";"Гармати не можуть навестися, розверніть корабель";"Działa nie mogą wycelować, obróć okręt";"Não é possível apontar as armas, vire o navio";"Silahlar nişan alamıyor. Gemiyi döndür";"Děla nemohou být namířena, otoč lodí";"Τα όπλα δεν μπορούν να στοχεύσουν, γυρίστε το πλοίο";"Senapan tidak bisa membidik, putar kapal";"ปืนไม่สามารถเล็งได้ ต้องหันเรือ";"함포를 조준할 수 없는 구역입니다. 함선을 선회하십시오.";"武\t器\t射\t界\t受\t限，\t请\t转\t动\t船\t身";"銃では\t狙えません、\t船を\t旋回してください";"武\t器\t射\t界\t受\t限，\t請\t轉\t動\t船\t身";;
"hints/torpedoes_in_deadzone";"Torpedoes cannot aim, turn the ship";"Torpilles dans un angle mort, tournez le navire";"I siluri non possono puntare, gira la nave";"Zielen der Torpedos nicht möglich, drehe das Schiff";"Los torpedos no pueden apuntar, gira la nave";"Торпедные аппараты не могут навестись, разверните корабль";"Торпедні апарати не можуть навестися, розверніть корабель";"Torpedy nie mogą wycelować, obróć okręt";"Não é possível apontar os torpedos, vire o navio";"Torpidolar nişan alamıyor. Gemiyi döndür";"Torpéda nemohou být namířena, otoč lodí";"Οι τορπίλες δεν μπορούν να στοχεύσουν, γυρίστε το πλοίο";"Torpedo tidak bisa membidik, putar kapal";"ตอร์ปิโดไม่สามารถเล็งได้ ต้องหันเรือ";"어뢰를 조준할 수 없는 구역입니다. 함선을 선회하십시오.";"鱼\t雷\t射\t界\t受\t限，\t请\t转\t动\t船\t身";"魚雷では\t狙えません、\t船を\t旋回してください";"魚\t雷\t射\t界\t受\t限，\t請\t轉\t動\t船\t身";;
"hints/select_enemy_to_aim";"Select the enemy to aim";"Choisir l'ennemi à viser";"Scegli il nemico da puntare";"Wähle den Feind zum Anvisieren aus";"Selecciona el enemigo al que apuntar";"Выдели противника, чтобы прицелиться";"Виділи противника, щоб прицілитися";"Wybierz wroga, aby wycelować";"Selecione o inimigo para apontar";"Nişan alınacak düşman seç";"Vyber protivníka a zamiř na něj";"Επιλέξτε τον εχθρό που θα στοχεύσετε";"Pilih musuh yang akan dibidik";"เลือกศัตรูที่จะเล็งเป้าหมาย";"조준할 적을 선택하십시오";"选\t择\t瞄\t准\t对\t象";"狙う\t敵を\t選択してください";"選\t擇\t瞄\t準\t對\t象";;
"hints/aiming_not_available_for_weapon";"Aiming is not available for the selected weapon";"La visée est indisponible pour l'arme sélectionnée";"Puntamento non disponibile per l'arma scelta";"Zielen ist für die ausgewählte Waffe nicht möglich";"La puntería no está disponible para el arma seleccionada";"Прицеливание недоступно для выбранного оружия";"Прицілювання недоступне для вибраної зброї";"Celowanie nie jest dostępne dla wybranej broni";"A mira não está disponível para a arma selecionada";"Seçilen silahta nişan alma yok";"Míření není dostupné s vybranou zbraní";"Η στόχευση δεν είναι διαθέσιμη στο επιλεγμένο όπλο";"Pembidikan tidak tersedia untuk senjata yang dipilih";"อาวุธที่เลือกไม่สามารถทำการเล็งได้";"선택된 무장으로는 조준할 수 없습니다";"所\t选\t择\t武\t器\t无\t法\t进\t行\t瞄\t准";"選択した\t武器では\t狙えません";"所\t選\t擇\t武\t器\t無\t法\t進\t行\t瞄\t準";;
"hints/select_enemy_to_shoot";"Select the enemy to shoot";"Choisir l'ennemi sur lequel tirer";"Scegli il nemico da colpire";"Wähle den Feind zum Beschießen aus";"Selecciona el enemigo a disparar";"Выдели противника, чтобы выстрелить";"Виділи противника, щоб вистрілити";"Wybierz wroga, aby strzelić";"Selecione o inimigo para atirar";"Ateş edecek düşman seç";"Vyber protivníka a vystřel na něj";"Επιλέξτε τον εχθρό που θα πυροβολήσετε";"Pilih musuh yang akan ditembak";"เลือกศัตรูที่จะยิง";"사격할 적을 선택하십시오";"选\t择\t瞄\t准\t对\t象";"撃つ\t敵を\t選択してください";"選\t擇\t瞄\t準\t對\t象";;
"hints/target_is_far_for_effective_hit";"Target is farther than {dist} km, torpedoes are not effective";"La cible est à plus de {dist} km, les torpilles sont inefficaces";"Il bersaglio è più lontano di {dist} km, i siluri non sono efficaci";"Ziel ist weiter als {dist} km entfernt, Torpedos sind unwirksam";"El objetivo está a más de {dist} km, los torpedos no son efectivos";"Цель находится дальше {dist} км, торпеды не эффективны";"Ціль знаходиться далі {dist} км, торпеди не ефективні";"Cel jest dalej niż {dist} km, torpedy są nieefektywne";"O alvo está a mais de {dist} km, os torpedos não são eficazes";"Hedef {dist} km'den daha uzakta. Torpidolar etkisiz.";"Cíl je dále než {dist} km, torpéda nebudou účinná";"Ο στόχος είναι πιο μακριά από {dist} km. Οι τορπίλες δεν είναι αποτελεσματικές";"Target lebih jauh dari {dist} km, torpedo tidak efektif";"เป้าหมายอยู่ไกลเกิน {dist} กม. ตอร์ปิโดไม่ได้ผล";"목표물이 {dist} km보다 먼 거리에 있어 어뢰로 타격하기엔 부적절합니다.";"目\t标\t距\t离\t超\t过 {dist} 千\t米，\t鱼\t雷\t无\t法\t命\t中";"標的は{dist} kmより\t遠くにいるため、\t魚雷は\t効果がありません";"目\t標\t距\t離\t超\t過 {dist} 公\t里，\t魚\t雷\t無\t法\t命\t中";;
"hints/select_cooldown_rocket";"Wait for selection completion";"Attendez la fin de la sélection";"Attendi il completamento della selezione";"Warte, bis die Auswahl abgeschlossen ist";"Espera a que finalice la selección";"Дождитесь захвата цели";"Дочекайтеся завершення вибору";"Poczekaj na zakończenie wyboru";"Esperar pela conclusão da seleção";"Seçimin tamamlanmasını bekleyin";"Počkej na dokončení výběru";"Περιμένετε για την ολοκλήρωση της επιλογής";"Tunggu hingga pemilihan selesai";"รอให้การเลือกเสร็จสิ้น";"완료될 때 까지 기다려 주십시오.";"等\t待\t武\t器\t切\t换\t完\t成";"選択完了を\t待ってください";"等\t待\t武\t備\t切\t換\t完\t成";;
"return_to_port";"Return to Port";"Retourner au Port";"Torna al Porto";"Zurück zum Hafen";"Volver al Puerto";"Вернуться в порт";"Повернутися до порту";"Wróć do portu";"Retornar ao Porto";"Limana geri dön";"Návrat do přístavu";"Επιστροφή στο λιμάνι";"Kembali ke Pelabuhan";"กลับไปยังท่า";"항구로 돌아가기";"返\t回\t港\t口";"港に\t戻る";"返\t回\t港\t口";;
"return_to_port/short";"To Port";"Au Port";"Al Porto";"Zum Hafen";"Al Puerto";"В порт";"У порт";"Do portu";"Para o Porto";"Limana git";"Do přístavu";"Στο λιμάνι";"Ke Pelabuhan";"ไปยังท่า";"항구로 가기";"回\t港";"港へ";"回\t港";;
